,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,N,-2147483648,2007-07-10,Lehman Brothers,Not Provided,5,overwt/positive,43.660000
1,-0.000000,N,-2147483648,2007-07-09,Morgan Stanley,12 month,5,Overwt/Attractive,44.570000
2,-0.000000,N,-2147483648,2007-07-09,Oscar Gruss & Son Inc,12 month,5,buy,48.890000
3,-0.000000,N,-2147483648,2007-07-02,J.P. Morgan,Not Provided,3,neutral,-0.000000
4,-0.000000,N,-2147483648,2007-08-16,Bear Stearns & Co,Not Provided,5,outperform,46.390000
5,-0.000000,M,-2147483648,2007-08-09,BMO Capital Markets,Not Provided,3,market perform,41.840000
6,-0.000000,M,-2147483648,2007-08-09,Morgan Stanley,12 month,5,Overwt/Attractive,43.660000
7,-0.000000,N,-2147483648,2007-07-10,Lehman Brothers,Not Provided,5,overwt/positive,43.660000
8,-0.000000,N,-2147483648,2007-07-09,Oscar Gruss & Son Inc,12 month,5,buy,48.890000
9,-0.000000,N,-2147483648,2007-07-02,J.P. Morgan,Not Provided,3,neutral,-0.000000
10,-0.000000,M,-2147483648,2007-09-27,BMO Capital Markets,Not Provided,3,market perform,41.840000
11,-0.000000,N,-2147483648,2007-08-16,Bear Stearns & Co,Not Provided,5,outperform,46.390000
12,-0.000000,M,-2147483648,2007-08-09,Morgan Stanley,12 month,5,Overwt/Attractive,43.660000
13,-0.000000,N,-2147483648,2007-07-10,Lehman Brothers,Not Provided,5,overwt/positive,43.660000
14,-0.000000,N,-2147483648,2007-07-09,Oscar Gruss & Son Inc,12 month,5,buy,48.890000
15,-0.000000,N,-2147483648,2007-07-02,J.P. Morgan,Not Provided,3,neutral,-0.000000
16,-0.000000,M,-2147483648,2007-10-23,BMO Capital Markets,Not Provided,3,market perform,41.840000
17,-0.000000,N,-2147483648,2007-08-16,Bear Stearns & Co,Not Provided,5,outperform,46.390000
18,-0.000000,M,-2147483648,2007-08-09,Morgan Stanley,12 month,5,Overwt/Attractive,43.660000
19,-0.000000,N,-2147483648,2007-07-10,Lehman Brothers,Not Provided,5,overwt/positive,43.660000
20,-0.000000,N,-2147483648,2007-07-09,Oscar Gruss & Son Inc,12 month,5,buy,48.890000
21,-0.000000,N,-2147483648,2007-07-02,J.P. Morgan,Not Provided,3,neutral,-0.000000
22,-0.000000,M,-2147483648,2007-11-30,BMO Capital Markets,Not Provided,3,market perform,41.840000
23,-0.000000,M,-2147483648,2007-11-23,Credit Suisse,12 month,5,outperform,43.660000
24,-0.000000,M,-2147483648,2007-11-08,Morgan Stanley,12 month,5,Overwt/Attractive,43.660000
25,-0.000000,N,-2147483648,2007-08-16,Bear Stearns & Co,Not Provided,5,outperform,46.390000
26,-0.000000,N,-2147483648,2007-07-10,Lehman Brothers,Not Provided,5,overwt/positive,43.660000
