,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,R,-2147483648,2005-12-22,JMP Securities,Not Provided,5,strong buy,287.78,0.0
1,1,-0.0,M,-2147483648,2005-12-21,Morgan Stanley,Not Provided,5,Overwt/Attractive,-0.0,1.0
2,2,-0.0,M,-2147483648,2005-12-21,RBC Capital Markets,Not Provided,5,outperform,237.73,2.0
3,3,-0.0,M,-2147483648,2005-12-21,Credit Suisse,12 month,5,outperform,237.73,3.0
4,4,-0.0,N,-2147483648,2005-12-21,WR Hambrecht + Co,12 month,5,buy,240.23,4.0
5,5,-0.0,R,-2147483648,2005-12-21,Gleacher & Company,Not Provided,5,buy,237.73,5.0
6,6,-0.0,M,-2147483648,2005-12-21,Piper Jaffray,Not Provided,5,outperform,-0.0,6.0
7,7,-0.0,M,-2147483648,2005-12-19,Jefferies,12 month,5,buy,237.73,7.0
8,8,-0.0,M,-2147483648,2005-12-19,Thomas Weisel Partners,Not Provided,5,outperform,-0.0,8.0
9,9,-0.0,M,-2147483648,2005-12-19,Caris & Company,Not Provided,4,above average,-0.0,9.0
10,10,-0.0,M,-2147483648,2005-12-06,Pacific Crest Securities,12 month,5,outperform,250.24,10.0
11,11,-0.0,M,-2147483648,2005-12-05,Cowen,Not Provided,-2147483648,no rating system,-0.0,11.0
12,12,-0.0,N,-2147483648,2005-12-01,Stifel,Not Provided,3,hold,-0.0,12.0
13,13,-0.0,U,-2147483648,2005-12-01,EVA Dimensions,Not Provided,5,buy,-0.0,13.0
14,14,-0.0,D,-2147483648,2005-11-29,Stanford Group,12 month,3,hold,212.71,14.0
15,15,-0.0,M,-2147483648,2005-11-22,UBS,12 month,5,buy 2,250.24,15.0
16,16,-0.0,M,-2147483648,2005-11-10,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,16.0
17,17,-0.0,M,-2147483648,2005-10-26,Pacific Growth Equities,Not Provided,5,buy,-0.0,17.0
18,18,-0.0,M,-2147483648,2005-10-21,BMO Capital Markets,Not Provided,3,neutral,170.16,18.0
19,19,-0.0,R,-2147483648,2005-10-21,"Broadpoint Capital, Inc",Not Provided,5,buy,225.22,19.0
20,20,-0.0,U,-2147483648,2005-10-21,Needham & Co,Not Provided,5,buy,185.18,20.0
21,21,-0.0,M,-2147483648,2005-10-21,CIBC World Markets,12 month,5,sector outperform,200.19,21.0
22,22,-0.0,M,-2147483648,2005-10-21,Guzman & Company,Not Provided,1,underperform,130.13,22.0
23,23,-0.0,M,-2147483648,2005-10-21,Susquehanna Financial,Not Provided,4,Positive,-0.0,23.0
24,24,-0.0,R,-2147483648,2005-10-21,Prudential Equity Group Inc,Not Provided,5,overweight,200.19,24.0
25,25,-0.0,M,-2147483648,2005-10-21,Howe Barnes Hoefer & Arnett Inc,Not Provided,5,buy,212.71,25.0
26,26,-0.0,M,-2147483648,2005-10-21,Barclays,Not Provided,5,overwt/neutral,225.22,26.0
27,27,-0.0,M,-2147483648,2005-08-22,ThinkEquity LLC,12 month,5,buy,175.17,27.0
28,28,-0.0,M,-2147483648,2005-07-22,Goldman Sachs,Not Provided,5,outperform,-0.0,28.0
29,29,-0.0,D,-2147483648,2005-06-27,Argus Research Corp,Not Provided,3,hold,-0.0,29.0
30,30,-0.0,M,-2147483648,2005-05-24,First Global Stockbroking,Not Provided,5,sector outperform,-0.0,30.0
31,31,-0.0,M,-2147483648,2005-04-22,Soleil Securities,Not Provided,3,hold,-0.0,31.0
32,32,-0.0,N,-2147483648,2005-04-01,William Blair & Co,Not Provided,5,outperform,-0.0,32.0
33,33,-0.0,N,-2147483648,2004-09-28,J.P. Morgan,Not Provided,5,overweight,-0.0,33.0
34,34,-0.0,M,-2147483648,2006-02-01,BMO Capital Markets,Not Provided,3,neutral,256.75,34.0
35,35,-0.0,M,-2147483648,2006-02-01,Morgan Stanley,Not Provided,5,Overwt/Attractive,-0.0,35.0
36,36,-0.0,M,-2147483648,2006-02-01,RBC Capital Markets,Not Provided,5,outperform,217.71,36.0
37,37,-0.0,U,-2147483648,2006-02-01,Argus Research Corp,Not Provided,5,buy,-0.0,37.0
38,38,-0.0,M,-2147483648,2006-02-01,Credit Suisse,12 month,5,outperform,250.24,38.0
39,39,-0.0,D,-2147483648,2006-02-01,UBS,12 month,3,neutral 2,212.71,39.0
40,40,-0.0,R,-2147483648,2006-02-01,Jefferies,12 month,5,buy,238.73,40.0
41,41,-0.0,R,-2147483648,2006-02-01,Needham & Co,Not Provided,5,buy,220.21,41.0
42,42,-0.0,M,-2147483648,2006-02-01,Pacific Crest Securities,12 month,5,outperform,250.24,42.0
43,43,-0.0,M,-2147483648,2006-02-01,FBR Capital Markets,12 month,5,outperform,270.26,43.0
44,44,-0.0,M,-2147483648,2006-02-01,Stifel,Not Provided,1,sell,-0.0,44.0
45,45,-0.0,M,-2147483648,2006-02-01,Guzman & Company,Not Provided,1,underperform,155.15,45.0
46,46,-0.0,M,-2147483648,2006-02-01,Thomas Weisel Partners,Not Provided,5,outperform,-0.0,46.0
47,47,-0.0,R,-2147483648,2006-02-01,WR Hambrecht + Co,12 month,5,buy,227.72,47.0
48,48,-0.0,M,-2147483648,2006-02-01,Cowen,Not Provided,-2147483648,no rating system,-0.0,48.0
49,49,-0.0,M,-2147483648,2006-02-01,Stanford Group,12 month,5,buy,245.24,49.0
50,50,-0.0,R,-2147483648,2006-02-01,JMP Securities,Not Provided,5,strong buy,275.27,50.0
51,51,-0.0,M,-2147483648,2006-02-01,Gleacher & Company,Not Provided,5,buy,237.73,51.0
52,52,-0.0,R,-2147483648,2006-02-01,Prudential Equity Group Inc,Not Provided,5,overweight,250.24,52.0
53,53,-0.0,M,-2147483648,2006-02-01,Soleil Securities,Not Provided,3,hold,-0.0,53.0
54,54,-0.0,R,-2147483648,2006-02-01,Piper Jaffray,Not Provided,5,outperform,300.29,54.0
55,55,-0.0,M,-2147483648,2006-01-31,Pacific Growth Equities,Not Provided,5,buy,-0.0,55.0
56,56,-0.0,M,-2147483648,2006-01-31,Caris & Company,Not Provided,5,buy,-0.0,56.0
57,57,-0.0,R,-2147483648,2006-01-30,Oppenheimer & Co,12 month,5,buy,270.26,57.0
58,58,-0.0,M,-2147483648,2006-01-30,Susquehanna Financial,Not Provided,4,Positive,-0.0,58.0
59,59,-0.0,M,-2147483648,2006-01-30,Howe Barnes Hoefer & Arnett Inc,Not Provided,5,buy,275.27,59.0
60,60,-0.0,M,-2147483648,2006-01-23,CIBC World Markets,12 month,5,sector outperform,270.26,60.0
61,61,-0.0,M,-2147483648,2006-01-06,Goldman Sachs,Not Provided,5,outperf/attractive,-0.0,61.0
62,62,-0.0,U,-2147483648,2006-01-04,Bear Stearns & Co,Not Provided,5,outperform,275.27,62.0
63,63,-0.0,U,-2147483648,2005-12-01,EVA Dimensions,Not Provided,5,buy,-0.0,63.0
64,64,-0.0,R,-2147483648,2005-10-21,"Broadpoint Capital, Inc",Not Provided,5,buy,225.22,64.0
65,65,-0.0,M,-2147483648,2005-10-21,Barclays,Not Provided,5,overwt/neutral,225.22,65.0
66,66,-0.0,M,-2147483648,2005-08-22,ThinkEquity LLC,12 month,5,buy,175.17,66.0
67,67,-0.0,M,-2147483648,2005-05-24,First Global Stockbroking,Not Provided,5,sector outperform,-0.0,67.0
68,68,-0.0,N,-2147483648,2005-04-01,William Blair & Co,Not Provided,5,outperform,-0.0,68.0
69,69,-0.0,N,-2147483648,2004-09-28,J.P. Morgan,Not Provided,5,overweight,-0.0,69.0
70,70,-0.0,M,-2147483648,2006-03-01,UBS,12 month,3,neutral 2,212.71,70.0
71,71,-0.0,M,-2147483648,2006-03-01,Howe Barnes Hoefer & Arnett Inc,Not Provided,5,buy,275.27,71.0
72,72,-0.0,R,-2147483648,2006-02-28,Oppenheimer & Co,12 month,5,buy,270.26,72.0
73,73,-0.0,M,-2147483648,2006-02-28,Gleacher & Company,Not Provided,3,hold,-0.0,73.0
74,74,-0.0,M,-2147483648,2006-02-27,Susquehanna Financial,Not Provided,4,Positive,-0.0,74.0
75,75,-0.0,N,-2147483648,2006-02-21,Cowen,Not Provided,5,outperform,-0.0,75.0
76,76,-0.0,R,-2147483648,2006-02-21,Prudential Equity Group Inc,Not Provided,5,overweight,250.24,76.0
77,77,-0.0,M,-2147483648,2006-02-17,ThinkEquity LLC,Not Provided,5,buy,275.27,77.0
78,78,-0.0,M,-2147483648,2006-02-15,Pacific Crest Securities,12 month,5,outperform,250.24,78.0
79,79,-0.0,M,-2147483648,2006-02-14,Credit Suisse,12 month,5,outperform,250.24,79.0
80,80,-0.0,M,-2147483648,2006-02-13,RBC Capital Markets,Not Provided,5,outperform,217.71,80.0
81,81,-0.0,M,-2147483648,2006-02-13,Caris & Company,Not Provided,5,buy,-0.0,81.0
82,82,-0.0,R,-2147483648,2006-02-10,WR Hambrecht + Co,12 month,5,buy,227.72,82.0
83,83,-0.0,U,-2147483648,2006-02-06,Stifel,Not Provided,3,hold,-0.0,83.0
84,84,-0.0,M,-2147483648,2006-02-02,EVA Dimensions,Not Provided,5,buy,-0.0,84.0
85,85,-0.0,M,-2147483648,2006-02-01,BMO Capital Markets,Not Provided,3,neutral,256.75,85.0
86,86,-0.0,M,-2147483648,2006-02-01,Morgan Stanley,Not Provided,5,Overwt/Attractive,-0.0,86.0
87,87,-0.0,U,-2147483648,2006-02-01,Argus Research Corp,Not Provided,5,buy,-0.0,87.0
88,88,-0.0,R,-2147483648,2006-02-01,Jefferies,12 month,5,buy,238.73,88.0
89,89,-0.0,R,-2147483648,2006-02-01,Needham & Co,Not Provided,5,buy,220.21,89.0
90,90,-0.0,M,-2147483648,2006-02-01,FBR Capital Markets,12 month,5,outperform,270.26,90.0
