,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,-0.000000,M,-2147483648,2010-07-30,BMO Capital Markets,Not Provided,3,market perform,30.000000
1,-0.000000,N,-2147483648,2010-07-27,Macquarie,12 month,5,outperform,33.000000
2,-0.000000,N,-2147483648,2010-07-26,Credit Suisse,Not Provided,3,neutral,27.000000
3,-0.000000,N,-2147483648,2010-07-26,UBS,Not Provided,3,neutral,29.000000
4,-0.000000,N,-2147483648,2010-07-26,J.P. Morgan,6 month,3,neutral,26.000000
5,-0.000000,N,-2147483648,2010-07-26,"Keefe, Bruyette & Woods",12 month,3,market perform,30.000000
6,-0.000000,N,-2147483648,2010-07-26,Raymond James,Not Provided,3,market perform,-0.000000
7,-0.000000,N,-2147483648,2010-07-26,"Sandler O'Neill & Partners, LP",Not Provided,3,hold,29.000000
8,-0.000000,N,-2147483648,2010-07-26,Barclays,Not Provided,3,equalwt/neutral,27.000000
9,-0.000000,N,-2147483648,2010-07-25,Goldman Sachs,12 month,3,neutral/neutral,30.000000
10,-0.000000,M,-2147483648,2010-07-15,Ticonderoga Securities LLC,12 month,1,sell,24.500000
11,-0.000000,N,-2147483648,2010-07-02,Stifel,Not Provided,3,hold,-0.000000
12,-0.000000,N,-2147483648,2010-06-15,IPOfinancial.com,Not Provided,5,buy,-0.000000
13,-0.000000,M,-2147483648,2010-09-01,BMO Capital Markets,Not Provided,3,market perform,27.000000
14,-0.000000,M,-2147483648,2010-09-01,Credit Suisse,Not Provided,3,neutral,27.000000
15,-0.000000,M,-2147483648,2010-09-01,"Sandler O'Neill & Partners, LP",12 month,3,hold,23.000000
16,-0.000000,M,-2147483648,2010-09-01,Ticonderoga Securities LLC,12 month,1,sell,20.000000
17,-0.000000,M,-2147483648,2010-08-18,IPOfinancial.com,Not Provided,5,buy,-0.000000
18,-0.000000,M,-2147483648,2010-08-17,Macquarie,12 month,5,outperform,29.000000
19,-0.000000,M,-2147483648,2010-08-10,Stifel,Not Provided,3,hold,-0.000000
20,-0.000000,N,-2147483648,2010-08-09,Oppenheimer & Co,18 month,5,outperform,31.000000
21,-0.000000,M,-2147483648,2010-08-06,UBS,Not Provided,3,neutral,27.000000
22,-0.000000,M,-2147483648,2010-08-06,J.P. Morgan,6 month,3,neutral,23.000000
23,-0.000000,M,-2147483648,2010-08-06,"Keefe, Bruyette & Woods",12 month,3,market perform,27.000000
24,-0.000000,M,-2147483648,2010-08-06,Raymond James,Not Provided,3,market perform,-0.000000
25,-0.000000,M,-2147483648,2010-08-06,Barclays,Not Provided,3,equalwt/neutral,25.000000
26,-0.000000,M,-2147483648,2010-08-05,Goldman Sachs,12 month,3,neutral/neutral,27.000000
27,-0.000000,M,-2147483648,2010-10-01,BMO Capital Markets,Not Provided,3,market perform,27.000000
28,-0.000000,M,-2147483648,2010-10-01,Macquarie,12 month,5,outperform,29.000000
29,-0.000000,M,-2147483648,2010-09-24,"Sandler O'Neill & Partners, LP",12 month,3,hold,23.000000
30,-0.000000,M,-2147483648,2010-09-22,Goldman Sachs,12 month,3,neutral/neutral,25.000000
31,-0.000000,M,-2147483648,2010-09-20,Barclays,Not Provided,3,equalwt/neutral,24.000000
32,-0.000000,M,-2147483648,2010-09-15,"Keefe, Bruyette & Woods",12 month,3,market perform,25.000000
33,-0.000000,M,-2147483648,2010-09-13,J.P. Morgan,6 month,3,neutral,22.000000
34,-0.000000,M,-2147483648,2010-09-09,Ticonderoga Securities LLC,12 month,1,sell,20.000000
35,-0.000000,M,-2147483648,2010-09-03,UBS,Not Provided,3,neutral,23.000000
36,-0.000000,M,-2147483648,2010-09-02,Raymond James,Not Provided,3,market perform,-0.000000
37,-0.000000,M,-2147483648,2010-09-01,Credit Suisse,Not Provided,3,neutral,27.000000
38,-0.000000,M,-2147483648,2010-08-18,IPOfinancial.com,Not Provided,5,buy,-0.000000
39,-0.000000,M,-2147483648,2010-08-10,Stifel,Not Provided,3,hold,-0.000000
40,-0.000000,N,-2147483648,2010-08-09,Oppenheimer & Co,18 month,5,outperform,31.000000
41,-0.000000,M,-2147483648,2010-11-01,BMO Capital Markets,Not Provided,3,market perform,24.000000
42,-0.000000,M,-2147483648,2010-10-22,Macquarie,12 month,5,outperform,29.000000
43,-0.000000,M,-2147483648,2010-10-14,"Keefe, Bruyette & Woods",12 month,3,market perform,23.000000
44,-0.000000,M,-2147483648,2010-10-13,J.P. Morgan,15 month,3,neutral,23.000000
45,-0.000000,M,-2147483648,2010-10-13,Raymond James,Not Provided,3,market perform,-0.000000
46,-0.000000,M,-2147483648,2010-10-13,"Sandler O'Neill & Partners, LP",12 month,3,hold,23.000000
47,-0.000000,M,-2147483648,2010-10-13,Ticonderoga Securities LLC,12 month,1,sell,20.000000
48,-0.000000,M,-2147483648,2010-10-10,Oppenheimer & Co,12 month,5,outperform,27.000000
49,-0.000000,M,-2147483648,2010-10-07,Goldman Sachs,12 month,3,neutral/neutral,24.000000
50,-0.000000,M,-2147483648,2010-10-06,Stifel,Not Provided,3,hold,-0.000000
51,-0.000000,M,-2147483648,2010-10-05,Barclays,Not Provided,3,equalwt/neutral,24.000000
52,-0.000000,M,-2147483648,2010-10-04,Credit Suisse,Not Provided,3,neutral,25.000000
53,-0.000000,M,-2147483648,2010-10-04,UBS,Not Provided,3,neutral,23.000000
54,-0.000000,M,-2147483648,2010-08-18,IPOfinancial.com,Not Provided,5,buy,-0.000000
55,-0.000000,M,-2147483648,2010-12-01,BMO Capital Markets,Not Provided,3,market perform,25.000000
56,-0.000000,M,-2147483648,2010-11-29,Credit Suisse,Not Provided,3,neutral,-0.000000
57,-0.000000,M,-2147483648,2010-11-29,UBS,Not Provided,-2147483648,suspended coverage,-0.000000
58,-0.000000,M,-2147483648,2010-11-29,"Sandler O'Neill & Partners, LP",12 month,3,hold,25.000000
59,-0.000000,M,-2147483648,2010-11-24,"Keefe, Bruyette & Woods",12 month,3,market perform,23.000000
60,-0.000000,M,-2147483648,2010-11-24,Stifel,Not Provided,3,hold,-0.000000
61,-0.000000,M,-2147483648,2010-11-24,Barclays,Not Provided,3,equalwt/neutral,26.000000
62,-0.000000,M,-2147483648,2010-11-24,Ticonderoga Securities LLC,12 month,1,sell,20.000000
63,-0.000000,M,-2147483648,2010-11-05,J.P. Morgan,15 month,3,neutral,23.000000
64,-0.000000,M,-2147483648,2010-11-05,Raymond James,Not Provided,3,market perform,-0.000000
65,-0.000000,M,-2147483648,2010-11-05,Oppenheimer & Co,12 month,5,outperform,29.000000
66,-0.000000,M,-2147483648,2010-11-04,Goldman Sachs,12 month,3,neutral/neutral,25.000000
67,-0.000000,M,-2147483648,2010-10-22,Macquarie,12 month,5,outperform,29.000000
68,-0.000000,M,-2147483648,2010-08-18,IPOfinancial.com,Not Provided,5,buy,-0.000000
69,-0.000000,M,-2147483648,2010-12-31,Macquarie,12 month,5,outperform,32.000000
70,-0.000000,M,-2147483648,2010-12-28,Credit Suisse,Not Provided,3,neutral,26.000000
71,-0.000000,M,-2147483648,2010-12-27,Jefferies,12 month,3,hold,26.000000
72,-0.000000,M,-2147483648,2010-12-23,BMO Capital Markets,Not Provided,3,market perform,25.000000
73,-0.000000,M,-2147483648,2010-12-20,UBS,12 month,3,neutral,25.000000
74,-0.000000,M,-2147483648,2010-12-20,IPOfinancial.com,Not Provided,5,buy,-0.000000
75,-0.000000,M,-2147483648,2010-11-29,"Sandler O'Neill & Partners, LP",12 month,3,hold,25.000000
76,-0.000000,M,-2147483648,2010-11-24,"Keefe, Bruyette & Woods",12 month,3,market perform,23.000000
77,-0.000000,M,-2147483648,2010-11-24,Stifel,Not Provided,3,hold,-0.000000
78,-0.000000,M,-2147483648,2010-11-24,Barclays,Not Provided,3,equalwt/neutral,26.000000
79,-0.000000,M,-2147483648,2010-11-05,J.P. Morgan,15 month,3,neutral,23.000000
80,-0.000000,M,-2147483648,2010-11-05,Raymond James,Not Provided,3,market perform,-0.000000
81,-0.000000,M,-2147483648,2010-11-05,Oppenheimer & Co,12 month,5,outperform,29.000000
82,-0.000000,M,-2147483648,2010-11-04,Goldman Sachs,12 month,3,neutral/neutral,25.000000
83,-0.000000,M,-2147483648,2011-02-01,Macquarie,12 month,5,outperform,32.000000
84,-0.000000,M,-2147483648,2011-02-01,"Sandler O'Neill & Partners, LP",12 month,3,hold,25.000000
85,-0.000000,M,-2147483648,2011-01-31,Evercore ISI,12 month,3,equalweight,23.500000
86,-0.000000,M,-2147483648,2011-01-28,Jefferies,12 month,3,hold,26.000000
