,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2009-09-01,Morgan Stanley,Not Provided,-2147483648,not rated,-0.0
1,1,1,-0.0,N,-2147483648,2009-08-31,William Blair & Co,Not Provided,5,outperform,-0.0
2,2,2,-0.0,M,-2147483648,2009-08-26,Robotti & Company,Not Provided,5,buy,-0.0
3,3,3,-0.0,N,-2147483648,2009-08-24,Credit Suisse,Not Provided,3,neutral,17.0
4,4,4,-0.0,N,-2147483648,2009-08-20,Oscar Gruss & Son Inc,Not Provided,-2147483648,not rated,20.0
5,5,5,-0.0,M,-2147483648,2009-09-24,Barclays,Not Provided,3,equalwt/neutral,20.0
6,6,6,-0.0,M,-2147483648,2009-09-09,Morgan Stanley,Not Provided,5,Overwt/Attractive,23.0
7,7,7,-0.0,N,-2147483648,2009-08-31,William Blair & Co,Not Provided,5,outperform,-0.0
8,8,8,-0.0,M,-2147483648,2009-08-26,Robotti & Company,Not Provided,5,buy,-0.0
9,9,9,-0.0,N,-2147483648,2009-08-24,Credit Suisse,Not Provided,3,neutral,17.0
10,10,10,-0.0,N,-2147483648,2009-08-20,Oscar Gruss & Son Inc,Not Provided,-2147483648,not rated,20.0
11,11,11,-0.0,D,-2147483648,2009-10-30,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
12,12,12,-0.0,N,-2147483648,2009-10-21,Susquehanna Financial,Not Provided,3,neutral,-0.0
13,13,13,-0.0,N,-2147483648,2009-10-19,J.P. Morgan,15 month,3,neutral,25.0
14,14,14,-0.0,N,-2147483648,2009-10-19,Leerink Partners LLC,Not Provided,3,market perform,-0.0
15,15,15,-0.0,M,-2147483648,2009-10-08,Credit Suisse,Not Provided,3,neutral,17.0
16,16,16,-0.0,M,-2147483648,2009-09-24,Barclays,Not Provided,3,equalwt/neutral,20.0
17,17,17,-0.0,N,-2147483648,2009-08-31,William Blair & Co,Not Provided,5,outperform,-0.0
18,18,18,-0.0,M,-2147483648,2009-08-26,Robotti & Company,Not Provided,5,buy,-0.0
19,19,19,-0.0,N,-2147483648,2009-08-20,Oscar Gruss & Son Inc,Not Provided,-2147483648,not rated,20.0
20,20,20,-0.0,M,-2147483648,2009-11-18,Oscar Gruss & Son Inc,Not Provided,3,hold,24.0
21,21,21,-0.0,M,-2147483648,2009-11-17,Barclays,Not Provided,3,equalwt/neutral,27.0
22,22,22,-0.0,M,-2147483648,2009-11-06,Credit Suisse,Not Provided,3,neutral,22.0
23,23,23,-0.0,M,-2147483648,2009-11-06,J.P. Morgan,15 month,3,neutral,25.0
24,24,24,-0.0,M,-2147483648,2009-11-06,Leerink Partners LLC,Not Provided,3,market perform,-0.0
25,25,25,-0.0,M,-2147483648,2009-11-05,William Blair & Co,Not Provided,5,outperform,-0.0
26,26,26,-0.0,M,-2147483648,2009-11-05,Susquehanna Financial,Not Provided,3,neutral,-0.0
27,27,27,-0.0,D,-2147483648,2009-10-30,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
28,28,28,-0.0,M,-2147483648,2009-08-26,Robotti & Company,Not Provided,5,buy,-0.0
29,29,29,-0.0,M,-2147483648,2009-12-31,J.P. Morgan,12 month,3,neutral,27.0
30,30,30,-0.0,N,-2147483648,2009-12-18,UBS,Not Provided,5,buy,29.0
31,31,31,-0.0,M,-2147483648,2009-12-18,Barclays,Not Provided,3,equalwt/neutral,27.0
32,32,32,-0.0,M,-2147483648,2009-12-08,Credit Suisse,Not Provided,3,neutral,22.0
33,33,33,-0.0,M,-2147483648,2009-12-04,William Blair & Co,Not Provided,5,outperform,-0.0
34,34,34,-0.0,M,-2147483648,2009-11-18,Oscar Gruss & Son Inc,Not Provided,3,hold,24.0
35,35,35,-0.0,M,-2147483648,2009-11-06,Leerink Partners LLC,Not Provided,3,market perform,-0.0
36,36,36,-0.0,M,-2147483648,2009-11-05,Susquehanna Financial,Not Provided,3,neutral,-0.0
37,37,37,-0.0,D,-2147483648,2009-10-30,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
38,38,38,-0.0,M,-2147483648,2009-08-26,Robotti & Company,Not Provided,5,buy,-0.0
39,39,39,-0.0,M,-2147483648,2010-01-08,Credit Suisse,Not Provided,3,neutral,24.0
40,40,40,-0.0,M,-2147483648,2010-01-07,Leerink Partners LLC,Not Provided,3,market perform,-0.0
41,41,41,-0.0,M,-2147483648,2009-12-31,J.P. Morgan,12 month,3,neutral,27.0
42,42,42,-0.0,N,-2147483648,2009-12-18,UBS,Not Provided,5,buy,29.0
43,43,43,-0.0,M,-2147483648,2009-12-18,Barclays,Not Provided,3,equalwt/neutral,27.0
44,44,44,-0.0,M,-2147483648,2009-12-04,William Blair & Co,Not Provided,5,outperform,-0.0
45,45,45,-0.0,M,-2147483648,2009-11-05,Susquehanna Financial,Not Provided,3,neutral,-0.0
46,46,46,-0.0,D,-2147483648,2009-10-30,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
47,47,47,-0.0,M,-2147483648,2009-08-26,Robotti & Company,Not Provided,5,buy,-0.0
48,48,48,-0.0,M,-2147483648,2010-02-12,J.P. Morgan,12 month,3,neutral,27.0
49,49,49,-0.0,M,-2147483648,2010-02-10,Morgan Stanley,Not Provided,3,Equalwt/Attractive,-0.0
50,50,50,-0.0,M,-2147483648,2010-02-10,Credit Suisse,Not Provided,3,neutral,24.0
51,51,51,-0.0,M,-2147483648,2010-02-10,UBS,Not Provided,5,buy,29.0
52,52,52,-0.0,M,-2147483648,2010-02-10,Leerink Partners LLC,Not Provided,3,market perform,-0.0
53,53,53,-0.0,M,-2147483648,2010-02-10,Susquehanna Financial,Not Provided,3,neutral,-0.0
54,54,54,-0.0,M,-2147483648,2010-02-10,Barclays,Not Provided,3,equalwt/neutral,28.0
