,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-27,FBR Capital Markets,12 month,3,market perform,35.0
1,1,1,-0.0,M,-2147483648,2005-12-22,BMO Capital Markets,Not Provided,5,outperform,37.0
2,2,2,-0.0,M,-2147483648,2005-12-21,Wells Fargo Securities,Not Provided,5,outperform,-0.0
3,3,3,-0.0,M,-2147483648,2005-12-21,Madison Williams,Not Provided,3,hold,-0.0
4,4,4,-0.0,M,-2147483648,2005-12-13,Bear Stearns & Co,Not Provided,5,outperform,38.08
5,5,5,-0.0,M,-2147483648,2005-12-06,A.G. Edwards & Sons Inc,Not Provided,5,buy,47.9
6,6,6,-0.0,M,-2147483648,2005-12-01,Stifel,Not Provided,3,hold,-0.0
7,7,7,-0.0,M,-2147483648,2005-11-25,Atlantic Equities LLP,12 month,5,overweight,37.36
8,8,8,-0.0,N,-2147483648,2005-11-22,"Miller Tabak + Co., LLC",Not Provided,3,neutral,-0.0
9,9,9,-0.0,M,-2147483648,2005-11-21,Bernstein,Not Provided,5,outperform,35.45
10,10,10,-0.0,M,-2147483648,2005-10-25,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
11,11,11,-0.0,M,-2147483648,2005-10-25,Stanford Group,12 month,3,hold,21.08
12,12,12,-0.0,M,-2147483648,2005-10-25,Soleil Securities,Not Provided,3,hold,-0.0
13,13,13,-0.0,M,-2147483648,2005-10-21,RBC Capital Markets,Not Provided,5,outperform,38.32
14,14,14,-0.0,M,-2147483648,2005-10-21,CIBC World Markets,Not Provided,3,sector perform,36.4
15,15,15,-0.0,M,-2147483648,2005-08-16,EVA Dimensions,Not Provided,1,sell,-0.0
16,16,16,-0.0,M,-2147483648,2005-08-09,Guzman & Company,Not Provided,5,outperform,37.36
17,17,17,-0.0,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,3,hold,-0.0
18,18,18,-0.0,M,-2147483648,2005-06-13,Barrington Research,Not Provided,5,outperform,-0.0
19,19,19,-0.0,N,-2147483648,2005-04-06,Goldman Sachs,Not Provided,5,outperform,-0.0
20,20,20,-0.0,U,-2147483648,2005-02-23,J.P. Morgan,Not Provided,5,overweight,-0.0
21,21,21,-0.0,M,-2147483648,2006-01-27,Atlantic Equities LLP,12 month,5,overweight,33.0
22,22,22,-0.0,M,-2147483648,2006-01-23,FBR Capital Markets,12 month,3,market perform,35.0
23,23,23,-0.0,M,-2147483648,2006-01-20,Wells Fargo Securities,Not Provided,5,outperform,-0.0
24,24,24,-0.0,N,-2147483648,2006-01-06,Lehman Brothers,Not Provided,3,equalwt/negative,35.0
25,25,25,-0.0,U,-2147483648,2006-01-03,EVA Dimensions,Not Provided,3,hold,-0.0
26,26,26,-0.0,M,-2147483648,2005-12-22,BMO Capital Markets,Not Provided,5,outperform,37.0
27,27,27,-0.0,M,-2147483648,2005-12-21,Madison Williams,Not Provided,3,hold,-0.0
28,28,28,-0.0,M,-2147483648,2005-12-13,Bear Stearns & Co,Not Provided,5,outperform,38.08
29,29,29,-0.0,M,-2147483648,2005-12-06,A.G. Edwards & Sons Inc,Not Provided,5,buy,47.9
30,30,30,-0.0,M,-2147483648,2005-12-01,Stifel,Not Provided,3,hold,-0.0
31,31,31,-0.0,N,-2147483648,2005-11-22,"Miller Tabak + Co., LLC",Not Provided,3,neutral,-0.0
32,32,32,-0.0,M,-2147483648,2005-11-21,Bernstein,Not Provided,5,outperform,35.45
33,33,33,-0.0,M,-2147483648,2005-10-25,Thomas Weisel Partners,Not Provided,3,peerperform,-0.0
34,34,34,-0.0,M,-2147483648,2005-10-25,Stanford Group,12 month,3,hold,21.08
35,35,35,-0.0,M,-2147483648,2005-10-25,Soleil Securities,Not Provided,3,hold,-0.0
36,36,36,-0.0,M,-2147483648,2005-10-21,RBC Capital Markets,Not Provided,5,outperform,38.32
37,37,37,-0.0,M,-2147483648,2005-10-21,CIBC World Markets,Not Provided,3,sector perform,36.4
38,38,38,-0.0,M,-2147483648,2005-08-09,Guzman & Company,Not Provided,5,outperform,37.36
39,39,39,-0.0,M,-2147483648,2005-06-16,Argus Research Corp,Not Provided,3,hold,-0.0
40,40,40,-0.0,M,-2147483648,2005-06-13,Barrington Research,Not Provided,5,outperform,-0.0
41,41,41,-0.0,N,-2147483648,2005-04-06,Goldman Sachs,Not Provided,5,outperform,-0.0
42,42,42,-0.0,U,-2147483648,2005-02-23,J.P. Morgan,Not Provided,5,overweight,-0.0
43,43,43,-0.0,M,-2147483648,2006-02-23,BMO Capital Markets,Not Provided,5,outperform,35.0
44,44,44,-0.0,M,-2147483648,2006-02-22,Lehman Brothers,Not Provided,3,equalwt/negative,33.0
45,45,45,-0.0,M,-2147483648,2006-02-22,A.G. Edwards & Sons Inc,Not Provided,5,buy,50.0
46,46,46,-0.0,M,-2147483648,2006-02-22,FBR Capital Markets,12 month,3,market perform,35.0
47,47,47,-0.0,M,-2147483648,2006-02-22,Guzman & Company,Not Provided,5,outperform,37.0
48,48,48,-0.0,M,-2147483648,2006-02-22,Wells Fargo Securities,Not Provided,5,outperform,-0.0
49,49,49,-0.0,M,-2147483648,2006-02-21,RBC Capital Markets,Not Provided,5,outperform,35.0
50,50,50,-0.0,M,-2147483648,2006-02-21,Barrington Research,Not Provided,5,outperform,-0.0
51,51,51,-0.0,M,-2147483648,2006-02-21,Stifel,Not Provided,3,hold,-0.0
52,52,52,-0.0,M,-2147483648,2006-02-21,Atlantic Equities LLP,Not Provided,5,overweight,-0.0
53,53,53,-0.0,M,-2147483648,2006-02-21,Madison Williams,Not Provided,3,hold,-0.0
54,54,54,-0.0,N,-2147483648,2006-02-16,J.P. Morgan,Not Provided,5,overweight,-0.0
55,55,55,-0.0,U,-2147483648,2006-01-03,EVA Dimensions,Not Provided,3,hold,-0.0
