,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,N,-2147483648,2015-10-30,Stifel,Not Provided,3,hold,-0.0,0.0
1,1,-0.0,N,-2147483648,2015-10-28,Atlantic Equities LLP,12 month,3,neutral,13.49,1.0
2,2,-0.0,N,-2147483648,2015-10-26,Goldman Sachs,12 month,3,neutral/neutral,14.23,2.0
3,3,-0.0,N,-2147483648,2015-10-20,Spin-Off Research,Not Provided,5,buy,14.98,3.0
4,4,-0.0,M,-2147483648,2015-12-01,Edward Jones,Not Provided,3,hold,-0.0,4.0
5,5,-0.0,N,-2147483648,2015-12-01,Daiwa Securities,Not Provided,3,neutral,11.46,5.0
6,6,-0.0,M,-2147483648,2015-12-01,Wells Fargo Securities,Not Provided,5,outperform,-0.0,6.0
7,7,-0.0,M,-2147483648,2015-12-01,Freedom Finance,Not Provided,5,buy,14.98,7.0
8,8,-0.0,M,-2147483648,2015-11-29,Stifel,Not Provided,3,hold,-0.0,8.0
9,9,-0.0,M,-2147483648,2015-11-25,BMO Capital Markets,Not Provided,3,market perform,11.99,9.0
10,10,-0.0,M,-2147483648,2015-11-25,Morgan Stanley,12 month,3,Equalwt/Cautious,11.24,10.0
11,11,-0.0,M,-2147483648,2015-11-25,RBC Capital Markets,12 month,3,sector perform,11.24,11.0
12,12,-0.0,M,-2147483648,2015-11-25,Brean Capital LLC,Not Provided,3,hold,-0.0,12.0
13,13,-0.0,M,-2147483648,2015-11-25,Credit Suisse,Not Provided,3,neutral,14.23,13.0
14,14,-0.0,M,-2147483648,2015-11-25,J.P. Morgan,18 month,3,neutral,10.49,14.0
15,15,-0.0,M,-2147483648,2015-11-25,Jefferies,12 month,5,buy,14.61,15.0
16,16,-0.0,M,-2147483648,2015-11-25,Needham & Co,Not Provided,3,hold,-0.0,16.0
17,17,-0.0,M,-2147483648,2015-11-25,Baird,12 month,3,neutral,11.24,17.0
18,18,-0.0,M,-2147483648,2015-11-25,Bernstein,Not Provided,3,market perform,11.99,18.0
19,19,-0.0,M,-2147483648,2015-11-25,Sterne Agee CRT,12 month,3,neutral,11.24,19.0
20,20,-0.0,M,-2147483648,2015-11-25,Maxim Group LLC,12 month,3,hold,10.11,20.0
21,21,-0.0,M,-2147483648,2015-11-25,Atlantic Equities LLP,12 month,3,neutral,13.49,21.0
22,22,-0.0,M,-2147483648,2015-11-25,Cross Research,12 month,3,hold,13.49,22.0
23,23,-0.0,N,-2147483648,2015-11-25,FBN Securities,12 month,5,outperform,11.99,23.0
24,24,-0.0,M,-2147483648,2015-11-24,Pacific Crest Securities,Not Provided,3,sector weight,-0.0,24.0
25,25,-0.0,M,-2147483648,2015-11-24,Raymond James,Not Provided,3,market perform,-0.0,25.0
26,26,-0.0,M,-2147483648,2015-11-24,Mizuho Securities USA Inc,12 month,3,neutral,11.24,26.0
27,27,-0.0,M,-2147483648,2015-11-24,Barclays,Not Provided,1,underweight,9.74,27.0
28,28,-0.0,M,-2147483648,2015-11-10,WhiteSand Research LLC,Not Provided,3,hold,13.11,28.0
29,29,-0.0,N,-2147483648,2015-11-04,UBS,12 month,5,buy,13.86,29.0
30,30,-0.0,M,-2147483648,2015-11-04,Spin-Off Research,Not Provided,5,buy,13.49,30.0
31,31,-0.0,M,-2147483648,2015-11-02,Goldman Sachs,12 month,3,neutral/neutral,14.23,31.0
32,32,-0.0,N,-2147483648,2015-11-02,"Monness, Crespi, Hardt & Co",Not Provided,3,neutral,-0.0,32.0
33,33,-0.0,M,-2147483648,2015-12-24,Edward Jones,Not Provided,3,hold,-0.0,33.0
34,34,-0.0,M,-2147483648,2015-12-23,"Morningstar, Inc",Not Provided,3,hold,-0.0,34.0
35,35,-0.0,N,-2147483648,2015-12-21,EVA Dimensions,Not Provided,5,overweight,-0.0,35.0
36,36,-0.0,M,-2147483648,2015-12-20,Stifel,Not Provided,3,hold,-0.0,36.0
37,37,-0.0,M,-2147483648,2015-12-16,Bernstein,Not Provided,3,market perform,11.99,37.0
38,38,-0.0,U,-2147483648,2015-12-14,Credit Suisse,Not Provided,5,outperform,15.73,38.0
39,39,-0.0,M,-2147483648,2015-12-13,Susquehanna Financial,12 month,3,neutral,11.24,39.0
40,40,-0.0,N,-2147483648,2015-12-10,BMO Capital Markets,Not Provided,5,outperform,14.98,40.0
41,41,-0.0,M,-2147483648,2015-12-04,Wells Fargo Securities,Not Provided,5,outperform,-0.0,41.0
42,42,-0.0,N,-2147483648,2015-12-03,Argus Research Corp,Not Provided,5,buy,14.23,42.0
43,43,-0.0,N,-2147483648,2015-12-01,Daiwa Securities,Not Provided,3,neutral,11.46,43.0
44,44,-0.0,M,-2147483648,2015-12-01,Freedom Finance,Not Provided,5,buy,14.98,44.0
45,45,-0.0,M,-2147483648,2015-11-25,Morgan Stanley,12 month,3,Equalwt/Cautious,11.24,45.0
46,46,-0.0,M,-2147483648,2015-11-25,RBC Capital Markets,12 month,3,sector perform,11.24,46.0
47,47,-0.0,M,-2147483648,2015-11-25,Brean Capital LLC,Not Provided,3,hold,-0.0,47.0
48,48,-0.0,M,-2147483648,2015-11-25,J.P. Morgan,18 month,3,neutral,10.49,48.0
49,49,-0.0,M,-2147483648,2015-11-25,Jefferies,12 month,5,buy,14.61,49.0
50,50,-0.0,M,-2147483648,2015-11-25,Needham & Co,Not Provided,3,hold,-0.0,50.0
51,51,-0.0,M,-2147483648,2015-11-25,Baird,12 month,3,neutral,11.24,51.0
52,52,-0.0,M,-2147483648,2015-11-25,Sterne Agee CRT,12 month,3,neutral,11.24,52.0
53,53,-0.0,M,-2147483648,2015-11-25,Maxim Group LLC,12 month,3,hold,10.11,53.0
54,54,-0.0,M,-2147483648,2015-11-25,Atlantic Equities LLP,12 month,3,neutral,13.49,54.0
55,55,-0.0,M,-2147483648,2015-11-25,Cross Research,12 month,3,hold,13.49,55.0
56,56,-0.0,N,-2147483648,2015-11-25,FBN Securities,12 month,5,outperform,11.99,56.0
57,57,-0.0,M,-2147483648,2015-11-24,Pacific Crest Securities,Not Provided,3,sector weight,-0.0,57.0
58,58,-0.0,M,-2147483648,2015-11-24,Raymond James,Not Provided,3,market perform,-0.0,58.0
59,59,-0.0,M,-2147483648,2015-11-24,Mizuho Securities USA Inc,12 month,3,neutral,11.24,59.0
60,60,-0.0,M,-2147483648,2015-11-24,Barclays,Not Provided,1,underweight,9.74,60.0
61,61,-0.0,M,-2147483648,2015-11-10,WhiteSand Research LLC,Not Provided,3,hold,13.11,61.0
62,62,-0.0,N,-2147483648,2015-11-04,UBS,12 month,5,buy,13.86,62.0
63,63,-0.0,M,-2147483648,2015-11-04,Spin-Off Research,Not Provided,5,buy,13.49,63.0
64,64,-0.0,M,-2147483648,2015-11-02,Goldman Sachs,12 month,3,neutral/neutral,14.23,64.0
65,65,-0.0,N,-2147483648,2015-11-02,"Monness, Crespi, Hardt & Co",Not Provided,3,neutral,-0.0,65.0
66,66,-0.0,M,-2147483648,2016-02-01,Raymond James,Not Provided,3,market perform,-0.0,66.0
