,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2005-12-28,EVA Dimensions,Not Provided,5,buy,-0.0,0.0
1,1,-0.0,M,-2147483648,2005-12-20,UBS,12 month,5,buy 1,41.5,1.0
2,2,-0.0,M,-2147483648,2005-12-13,William Blair & Co,Not Provided,3,market perform,-0.0,2.0
3,3,-0.0,M,-2147483648,2005-12-09,Barclays,Not Provided,5,overwt/positive,37.0,3.0
4,4,-0.0,N,-2147483648,2005-12-05,Edward Jones,Not Provided,5,buy,-0.0,4.0
5,5,-0.0,N,-2147483648,2005-12-01,Stifel,Not Provided,5,buy,35.0,5.0
6,6,-0.0,M,-2147483648,2005-11-15,Morgan Stanley,Not Provided,5,Overwt/In-Line,36.0,6.0
7,7,-0.0,M,-2147483648,2005-11-15,Raymond James,Not Provided,5,strong buy,38.25,7.0
8,8,-0.0,M,-2147483648,2005-11-15,Prudential Equity Group Inc,Not Provided,5,overweight,35.0,8.0
9,9,-0.0,M,-2147483648,2005-11-14,A.G. Edwards & Sons Inc,12 month,5,buy,38.5,9.0
10,10,-0.0,M,-2147483648,2005-11-14,Piper Jaffray,Not Provided,3,market perform,34.0,10.0
11,11,-0.0,M,-2147483648,2005-11-03,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0,11.0
12,12,-0.0,D,-2147483648,2005-10-25,Bernstein,Not Provided,3,market perform,33.0,12.0
13,13,-0.0,M,-2147483648,2005-10-18,Buckingham Research Group,Not Provided,3,neutral,-0.0,13.0
14,14,-0.0,D,-2147483648,2005-10-12,Credit Suisse,12 month,3,neutral,33.0,14.0
15,15,-0.0,M,-2147483648,2005-09-28,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0,15.0
16,16,-0.0,N,-2147483648,2005-08-09,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,16.0
17,17,-0.0,M,-2147483648,2005-07-12,Jefferies,12 month,5,buy,36.5,17.0
18,18,-0.0,M,-2147483648,2005-05-11,J.P. Morgan,Not Provided,5,overweight,-0.0,18.0
19,19,-0.0,D,-2147483648,2005-04-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,19.0
20,20,-0.0,M,-2147483648,2006-01-16,Morgan Stanley,Not Provided,5,Overwt/In-Line,36.0,20.0
21,21,-0.0,D,-2147483648,2006-01-04,J.P. Morgan,Not Provided,3,neutral,-0.0,21.0
22,22,-0.0,M,-2147483648,2005-12-28,EVA Dimensions,Not Provided,5,buy,-0.0,22.0
23,23,-0.0,M,-2147483648,2005-12-20,UBS,12 month,5,buy 1,41.5,23.0
24,24,-0.0,M,-2147483648,2005-12-13,William Blair & Co,Not Provided,3,market perform,-0.0,24.0
25,25,-0.0,M,-2147483648,2005-12-09,Barclays,Not Provided,5,overwt/positive,37.0,25.0
26,26,-0.0,N,-2147483648,2005-12-05,Edward Jones,Not Provided,5,buy,-0.0,26.0
27,27,-0.0,N,-2147483648,2005-12-01,Stifel,Not Provided,5,buy,35.0,27.0
28,28,-0.0,M,-2147483648,2005-11-15,Raymond James,Not Provided,5,strong buy,38.25,28.0
29,29,-0.0,M,-2147483648,2005-11-15,Prudential Equity Group Inc,Not Provided,5,overweight,35.0,29.0
30,30,-0.0,M,-2147483648,2005-11-14,A.G. Edwards & Sons Inc,12 month,5,buy,38.5,30.0
31,31,-0.0,M,-2147483648,2005-11-14,Piper Jaffray,Not Provided,3,market perform,34.0,31.0
32,32,-0.0,M,-2147483648,2005-11-03,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0,32.0
33,33,-0.0,D,-2147483648,2005-10-25,Bernstein,Not Provided,3,market perform,33.0,33.0
34,34,-0.0,M,-2147483648,2005-10-18,Buckingham Research Group,Not Provided,3,neutral,-0.0,34.0
35,35,-0.0,D,-2147483648,2005-10-12,Credit Suisse,12 month,3,neutral,33.0,35.0
36,36,-0.0,M,-2147483648,2005-09-28,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0,36.0
37,37,-0.0,N,-2147483648,2005-08-09,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,37.0
38,38,-0.0,M,-2147483648,2005-07-12,Jefferies,12 month,5,buy,36.5,38.0
39,39,-0.0,D,-2147483648,2005-04-08,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,39.0
40,40,-0.0,M,-2147483648,2006-02-28,Morgan Stanley,Not Provided,5,Overwt/In-Line,37.0,40.0
41,41,-0.0,M,-2147483648,2006-02-28,Credit Suisse,12 month,3,neutral,35.0,41.0
42,42,-0.0,M,-2147483648,2006-02-28,Prudential Equity Group Inc,Not Provided,5,overweight,42.5,42.0
43,43,-0.0,M,-2147483648,2006-02-27,A.G. Edwards & Sons Inc,12 month,5,buy,38.5,43.0
44,44,-0.0,M,-2147483648,2006-02-27,Edward Jones,Not Provided,5,buy,-0.0,44.0
45,45,-0.0,M,-2147483648,2006-02-27,Jefferies,12 month,5,buy,42.0,45.0
46,46,-0.0,M,-2147483648,2006-02-27,Bernstein,Not Provided,3,market perform,38.0,46.0
47,47,-0.0,M,-2147483648,2006-02-27,Raymond James,Not Provided,5,strong buy,38.25,47.0
48,48,-0.0,M,-2147483648,2006-02-27,Stifel,Not Provided,5,buy,38.0,48.0
49,49,-0.0,M,-2147483648,2006-02-27,Piper Jaffray,Not Provided,3,market perform,38.5,49.0
50,50,-0.0,U,-2147483648,2006-02-08,EVA Dimensions,Not Provided,5,strong buy,-0.0,50.0
51,51,-0.0,N,-2147483648,2006-02-06,Bear Stearns & Co,Not Provided,3,peerperform,-0.0,51.0
52,52,-0.0,M,-2147483648,2006-02-02,Goldman Sachs,Not Provided,3,in-line/cautious,-0.0,52.0
53,53,-0.0,D,-2147483648,2006-01-04,J.P. Morgan,Not Provided,3,neutral,-0.0,53.0
54,54,-0.0,M,-2147483648,2005-12-20,UBS,12 month,5,buy 1,41.5,54.0
55,55,-0.0,M,-2147483648,2005-12-13,William Blair & Co,Not Provided,3,market perform,-0.0,55.0
56,56,-0.0,M,-2147483648,2005-12-09,Barclays,Not Provided,5,overwt/positive,37.0,56.0
57,57,-0.0,M,-2147483648,2005-11-03,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0,57.0
58,58,-0.0,M,-2147483648,2005-10-18,Buckingham Research Group,Not Provided,3,neutral,-0.0,58.0
59,59,-0.0,N,-2147483648,2005-08-09,"Ameriprise Advisor Services, Inc",Not Provided,5,buy,-0.0,59.0
60,60,-0.0,M,-2147483648,2006-03-15,Stifel,Not Provided,5,buy,38.0,60.0
61,61,-0.0,M,-2147483648,2006-03-08,Edward Jones,Not Provided,5,buy,-0.0,61.0
62,62,-0.0,M,-2147483648,2006-03-02,Raymond James,Not Provided,5,strong buy,39.25,62.0
63,63,-0.0,M,-2147483648,2006-02-28,Morgan Stanley,Not Provided,5,Overwt/In-Line,37.0,63.0
64,64,-0.0,M,-2147483648,2006-02-28,Credit Suisse,12 month,3,neutral,35.0,64.0
