,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
0,0,0,-0.0,M,-2147483648,2005-12-22,Prudential Equity Group Inc,Not Provided,1,underweight,14.0
1,1,1,-0.0,M,-2147483648,2005-11-08,Morgan Keegan,Not Provided,3,market perform,-0.0
2,2,2,-0.0,M,-2147483648,2005-10-24,Raymond James,Not Provided,3,market perform,-0.0
3,3,3,-0.0,M,-2147483648,2005-09-20,J.P. Morgan,Not Provided,5,overweight,-0.0
4,4,4,-0.0,M,-2147483648,2005-08-18,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
5,5,5,-0.0,M,-2147483648,2005-03-21,Longbow Research,Not Provided,3,neutral,-0.0
6,6,6,-0.0,M,-2147483648,2005-12-22,Prudential Equity Group Inc,Not Provided,1,underweight,14.0
7,7,7,-0.0,M,-2147483648,2005-11-08,Morgan Keegan,Not Provided,3,market perform,-0.0
8,8,8,-0.0,M,-2147483648,2005-10-24,Raymond James,Not Provided,3,market perform,-0.0
9,9,9,-0.0,M,-2147483648,2005-09-20,J.P. Morgan,Not Provided,5,overweight,-0.0
10,10,10,-0.0,M,-2147483648,2005-08-18,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
11,11,11,-0.0,M,-2147483648,2005-03-21,Longbow Research,Not Provided,3,neutral,-0.0
12,12,12,-0.0,M,-2147483648,2006-02-06,Raymond James,Not Provided,3,market perform,-0.0
13,13,13,-0.0,M,-2147483648,2006-02-03,Morgan Keegan,Not Provided,3,market perform,-0.0
14,14,14,-0.0,M,-2147483648,2006-02-03,J.P. Morgan,Not Provided,5,overweight,14.0
15,15,15,-0.0,M,-2147483648,2005-12-22,Prudential Equity Group Inc,Not Provided,1,underweight,14.0
16,16,16,-0.0,M,-2147483648,2005-08-18,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
17,17,17,-0.0,M,-2147483648,2005-03-21,Longbow Research,Not Provided,3,neutral,-0.0
18,18,18,-0.0,M,-2147483648,2006-03-30,Morgan Keegan,Not Provided,3,market perform,-0.0
19,19,19,-0.0,D,-2147483648,2006-03-30,J.P. Morgan,Not Provided,3,neutral,-0.0
20,20,20,-0.0,U,-2147483648,2006-03-30,Prudential Equity Group Inc,Not Provided,3,neutral weight,21.0
21,21,21,-0.0,M,-2147483648,2006-02-06,Raymond James,Not Provided,3,market perform,-0.0
22,22,22,-0.0,M,-2147483648,2005-08-18,FTN Equity Capital Markets Corp.,Not Provided,3,neutral,-0.0
23,23,23,-0.0,M,-2147483648,2005-03-21,Longbow Research,Not Provided,3,neutral,-0.0
