,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
0,0,-0.0,M,-2147483648,2005-12-22,Baird,Not Provided,3,neutral,50.0,0.0
1,1,-0.0,R,-2147483648,2005-12-21,Ryan Beck & Co,12 month,5,outperform,55.0,1.0
2,2,-0.0,M,-2147483648,2005-12-21,Morgan Stanley,Not Provided,1,Underwt/Cautious,48.5,2.0
3,3,-0.0,M,-2147483648,2005-11-01,Morgan Keegan,Not Provided,3,market perform,-0.0,3.0
4,4,-0.0,M,-2147483648,2005-11-01,Raymond James,Not Provided,3,market perform,-0.0,4.0
5,5,-0.0,M,-2147483648,2005-08-09,Hilliard Lyons,12 month,5,long-term buy,48.0,5.0
6,6,-0.0,M,-2147483648,2006-01-25,Morgan Keegan,Not Provided,3,market perform,-0.0,6.0
7,7,-0.0,M,-2147483648,2006-01-24,Ryan Beck & Co,12 month,5,outperform,55.0,7.0
8,8,-0.0,M,-2147483648,2006-01-13,Raymond James,Not Provided,3,market perform,-0.0,8.0
9,9,-0.0,M,-2147483648,2005-12-22,Baird,Not Provided,3,neutral,50.0,9.0
10,10,-0.0,M,-2147483648,2005-12-21,Morgan Stanley,Not Provided,1,Underwt/Cautious,48.5,10.0
11,11,-0.0,M,-2147483648,2005-08-09,Hilliard Lyons,12 month,5,long-term buy,48.0,11.0
12,12,-0.0,M,-2147483648,2006-02-07,Baird,Not Provided,3,neutral,53.0,12.0
13,13,-0.0,M,-2147483648,2006-02-06,Ryan Beck & Co,12 month,5,outperform,59.0,13.0
14,14,-0.0,D,-2147483648,2006-02-06,Hilliard Lyons,12 month,3,neutral,53.5,14.0
15,15,-0.0,M,-2147483648,2006-02-06,Raymond James,Not Provided,3,market perform,-0.0,15.0
16,16,-0.0,M,-2147483648,2006-02-03,Morgan Keegan,Not Provided,3,market perform,-0.0,16.0
17,17,-0.0,M,-2147483648,2005-12-21,Morgan Stanley,Not Provided,1,Underwt/Cautious,48.5,17.0
18,18,-0.0,M,-2147483648,2006-03-24,Morgan Keegan,Not Provided,3,market perform,-0.0,18.0
19,19,-0.0,M,-2147483648,2006-03-24,Raymond James,Not Provided,3,market perform,-0.0,19.0
20,20,-0.0,M,-2147483648,2006-02-07,Baird,Not Provided,3,neutral,53.0,20.0
21,21,-0.0,M,-2147483648,2006-02-06,Ryan Beck & Co,12 month,5,outperform,59.0,21.0
22,22,-0.0,D,-2147483648,2006-02-06,Hilliard Lyons,12 month,3,neutral,53.5,22.0
23,23,-0.0,M,-2147483648,2005-12-21,Morgan Stanley,Not Provided,1,Underwt/Cautious,48.5,23.0
24,24,-0.0,M,-2147483648,2006-04-28,Morgan Keegan,Not Provided,3,market perform,-0.0,24.0
25,25,-0.0,M,-2147483648,2006-04-19,Ryan Beck & Co,12 month,5,outperform,59.0,25.0
26,26,-0.0,M,-2147483648,2006-04-19,Baird,Not Provided,3,neutral,54.0,26.0
27,27,-0.0,U,-2147483648,2006-04-10,Raymond James,12 month,5,outperform,55.0,27.0
28,28,-0.0,D,-2147483648,2006-02-06,Hilliard Lyons,12 month,3,neutral,53.5,28.0
29,29,-0.0,M,-2147483648,2005-12-21,Morgan Stanley,Not Provided,1,Underwt/Cautious,48.5,29.0
30,30,-0.0,N,-2147483648,2006-05-19,RBC Capital Markets,12 month,5,outperform,61.0,30.0
31,31,-0.0,M,-2147483648,2006-05-10,Morgan Stanley,Not Provided,1,Underwt/Cautious,49.0,31.0
32,32,-0.0,M,-2147483648,2006-05-10,Raymond James,12 month,5,outperform,60.0,32.0
33,33,-0.0,M,-2147483648,2006-05-09,Hilliard Lyons,12 month,3,neutral,53.5,33.0
34,34,-0.0,M,-2147483648,2006-05-08,Ryan Beck & Co,12 month,5,outperform,60.0,34.0
35,35,-0.0,M,-2147483648,2006-05-05,Morgan Keegan,Not Provided,3,market perform,-0.0,35.0
36,36,-0.0,M,-2147483648,2006-05-05,Baird,Not Provided,3,neutral,54.0,36.0
37,37,-0.0,N,-2147483648,2006-05-19,RBC Capital Markets,12 month,5,outperform,61.0,37.0
38,38,-0.0,M,-2147483648,2006-05-10,Morgan Stanley,Not Provided,1,Underwt/Cautious,49.0,38.0
39,39,-0.0,M,-2147483648,2006-05-10,Raymond James,12 month,5,outperform,60.0,39.0
40,40,-0.0,M,-2147483648,2006-05-09,Hilliard Lyons,12 month,3,neutral,53.5,40.0
41,41,-0.0,M,-2147483648,2006-05-08,Ryan Beck & Co,12 month,5,outperform,60.0,41.0
42,42,-0.0,M,-2147483648,2006-05-05,Morgan Keegan,Not Provided,3,market perform,-0.0,42.0
43,43,-0.0,M,-2147483648,2006-05-05,Baird,Not Provided,3,neutral,54.0,43.0
44,44,-0.0,M,-2147483648,2006-07-18,Morgan Stanley,Not Provided,3,Equalwt/In-Line,55.5,44.0
45,45,-0.0,N,-2147483648,2006-05-19,RBC Capital Markets,12 month,5,outperform,61.0,45.0
46,46,-0.0,M,-2147483648,2006-05-10,Raymond James,12 month,5,outperform,60.0,46.0
47,47,-0.0,M,-2147483648,2006-05-09,Hilliard Lyons,12 month,3,neutral,53.5,47.0
48,48,-0.0,M,-2147483648,2006-05-08,Ryan Beck & Co,12 month,5,outperform,60.0,48.0
49,49,-0.0,M,-2147483648,2006-05-05,Morgan Keegan,Not Provided,3,market perform,-0.0,49.0
50,50,-0.0,M,-2147483648,2006-05-05,Baird,Not Provided,3,neutral,54.0,50.0
51,51,-0.0,M,-2147483648,2006-08-29,Baird,Not Provided,3,neutral,61.0,51.0
52,52,-0.0,M,-2147483648,2006-08-21,RBC Capital Markets,12 month,3,sector perform,59.0,52.0
53,53,-0.0,M,-2147483648,2006-08-07,Ryan Beck & Co,12 month,5,outperform,65.0,53.0
54,54,-0.0,M,-2147483648,2006-08-07,Morgan Stanley,Not Provided,3,Equalwt/In-Line,56.5,54.0
55,55,-0.0,M,-2147483648,2006-08-07,Hilliard Lyons,Not Provided,3,neutral,-0.0,55.0
56,56,-0.0,M,-2147483648,2006-08-07,Raymond James,12 month,5,outperform,62.0,56.0
57,57,-0.0,M,-2147483648,2006-08-04,Morgan Keegan,Not Provided,3,market perform,-0.0,57.0
58,58,-0.0,M,-2147483648,2006-08-29,Baird,Not Provided,3,neutral,61.0,58.0
59,59,-0.0,M,-2147483648,2006-08-21,RBC Capital Markets,12 month,3,sector perform,59.0,59.0
60,60,-0.0,M,-2147483648,2006-08-07,Ryan Beck & Co,12 month,5,outperform,65.0,60.0
61,61,-0.0,M,-2147483648,2006-08-07,Morgan Stanley,Not Provided,3,Equalwt/In-Line,56.5,61.0
62,62,-0.0,M,-2147483648,2006-08-07,Hilliard Lyons,Not Provided,3,neutral,-0.0,62.0
63,63,-0.0,M,-2147483648,2006-08-07,Raymond James,12 month,5,outperform,62.0,63.0
64,64,-0.0,M,-2147483648,2006-08-04,Morgan Keegan,Not Provided,3,market perform,-0.0,64.0
65,65,-0.0,M,-2147483648,2006-10-31,RBC Capital Markets,12 month,3,sector perform,63.0,65.0
66,66,-0.0,M,-2147483648,2006-10-20,Ryan Beck & Co,12 month,5,outperform,70.0,66.0
67,67,-0.0,M,-2147483648,2006-10-02,Morgan Keegan,Not Provided,3,market perform,-0.0,67.0
68,68,-0.0,M,-2147483648,2006-08-29,Baird,Not Provided,3,neutral,61.0,68.0
69,69,-0.0,M,-2147483648,2006-08-07,Morgan Stanley,Not Provided,3,Equalwt/In-Line,56.5,69.0
70,70,-0.0,M,-2147483648,2006-08-07,Hilliard Lyons,Not Provided,3,neutral,-0.0,70.0
71,71,-0.0,M,-2147483648,2006-08-07,Raymond James,12 month,5,outperform,62.0,71.0
72,72,-0.0,N,-2147483648,2006-12-01,BMO Capital Markets,Not Provided,3,market perform,61.0,72.0
73,73,-0.0,M,-2147483648,2006-11-10,Hilliard Lyons,Not Provided,3,neutral,-0.0,73.0
74,74,-0.0,M,-2147483648,2006-11-06,Ryan Beck & Co,12 month,5,outperform,70.0,74.0
75,75,-0.0,M,-2147483648,2006-11-06,Raymond James,12 month,5,outperform,68.0,75.0
76,76,-0.0,M,-2147483648,2006-11-03,Morgan Keegan,Not Provided,3,market perform,-0.0,76.0
77,77,-0.0,M,-2147483648,2006-11-03,Baird,Not Provided,3,neutral,65.0,77.0
78,78,-0.0,M,-2147483648,2006-10-31,RBC Capital Markets,12 month,3,sector perform,63.0,78.0
79,79,-0.0,M,-2147483648,2006-08-07,Morgan Stanley,Not Provided,3,Equalwt/In-Line,56.5,79.0
80,80,-0.0,M,-2147483648,2006-12-12,Morgan Stanley,Not Provided,3,Equalwt/In-Line,65.0,80.0
