Date,SHORT_INT,BS_SH_OUT
2006-01-13,3455259.0,
2006-02-15,3694447.0,
2006-03-15,3489696.0,
2006-03-31,,325.1431
2006-04-13,3262263.0,
2006-05-15,3484893.0,
2006-06-15,2859964.0,
2006-06-30,,325.3715
2006-07-14,2480483.0,
2006-08-15,2279749.0,
2006-09-15,2854280.0,
2006-09-30,,325.9565
2006-10-13,2554134.0,
2006-11-15,2419044.0,
2006-12-15,2158030.0,
2006-12-31,,326.4555
2007-01-12,2123215.0,
2007-02-15,1320472.0,
2007-03-15,1569773.0,
2007-03-31,,328.3092
2007-04-13,1731921.0,
2007-05-15,1507883.0,
2007-06-15,2268574.0,
2007-06-30,,329.0093
2007-07-13,3353817.0,
2007-08-15,2898439.0,
2007-09-14,1957724.0,
2007-09-28,1876752.0,
2007-09-30,,329.4604
2007-10-15,1558766.0,
2007-10-31,2003543.0,
2007-11-15,2082890.0,
2007-11-30,2390543.0,
2007-12-14,1537828.0,
2007-12-31,1767638.0,329.7045
2008-01-15,1819872.0,
2008-01-31,4339366.0,
2008-02-15,3840309.0,
2008-02-29,4046596.0,
2008-03-14,4422307.0,
2008-03-31,4215809.0,332.5065
2008-04-15,1842906.0,
2008-04-30,1565212.0,
2008-05-15,2114070.0,
2008-05-30,2096302.0,
2008-06-13,3356654.0,
2008-06-30,2550497.0,333.2493
2008-07-15,3021933.0,
2008-07-31,1466897.0,
2008-08-15,2507998.0,
2008-08-29,1624866.0,
2008-09-15,2409793.0,
2008-09-30,1471163.0,333.3946
2008-10-15,1365948.0,
2008-10-31,1617672.0,
2008-11-14,1796820.0,
2008-11-28,2129706.0,
2008-12-15,1724141.0,
2008-12-31,1600962.0,333.6455
2009-01-15,1545475.0,
2009-01-30,2283319.0,
2009-02-13,1423407.0,
2009-02-27,1519989.0,
2009-03-13,2543766.0,
2009-03-31,2779084.0,335.8906
2009-04-15,3478266.0,
2009-04-30,2984706.0,
2009-05-15,2466284.0,
2009-05-29,2453572.0,
2009-06-15,2131662.0,
2009-06-30,2547451.0,336.0975
2009-07-15,1925836.0,
2009-07-31,1880266.0,
2009-08-14,1678427.0,
2009-08-31,1075950.0,
2009-09-15,1362776.0,
2009-09-30,1186983.0,336.2805
2009-10-15,1820409.0,
2009-10-30,1494002.0,
2009-11-13,1858862.0,
2009-11-30,1739915.0,
