Date,SHORT_INT,BS_SH_OUT
2006-01-13,12202468.0,
2006-02-15,9815356.0,
2006-03-15,12972068.0,
2006-03-31,,272.8
2006-04-13,13572724.0,
2006-05-15,13467632.0,
2006-06-15,10726636.0,
2006-06-30,,274.0
2006-07-14,11202556.0,
2006-08-15,7627440.0,
2006-09-15,8501544.0,
2006-09-30,,272.0
2006-10-13,4617324.0,
2006-11-15,3240696.0,
2006-12-15,5466592.0,
2006-12-31,,269.0
2007-01-12,6812864.0,
2007-02-15,7506484.0,
2007-03-15,11197952.0,
2007-03-31,,262.0
2007-04-13,9561368.0,
2007-05-15,5856580.0,
2007-06-15,6695848.0,
2007-06-30,,258.8
2007-07-13,6881284.0,
2007-08-15,6252252.0,
2007-09-14,7890852.0,
2007-09-28,8647592.0,
2007-09-30,,259.8
2007-10-15,8474412.0,
2007-10-31,9046248.0,
2007-11-15,8149144.0,
2007-11-30,6889282.0,
2007-12-14,7240104.0,
2007-12-31,6806532.0,259.0
2008-01-15,7535714.0,
2008-01-31,10023632.0,
2008-02-15,9072828.0,
2008-02-29,10340186.0,
2008-03-14,11962888.0,
2008-03-31,13111346.0,249.8
2008-04-15,12436158.0,
2008-04-30,13082712.0,
2008-05-15,13432292.0,
2008-05-30,11952074.0,
2008-06-13,11623330.0,
2008-06-30,10015460.0,249.8
2008-07-15,10547190.0,
2008-07-31,10894796.0,
2008-08-15,6499460.0,
2008-08-29,5254446.0,
2008-09-15,5460456.0,
2008-09-30,4386708.0,249.8
2008-10-15,7841230.0,
2008-10-31,7021640.0,
2008-11-14,7231622.0,
2008-11-28,5668138.0,
2008-12-15,4606994.0,
2008-12-31,4431114.0,250.2
2009-01-15,6518914.0,
2009-01-30,9340870.0,
2009-02-13,9095018.0,
2009-02-27,9744098.0,
2009-03-13,13107408.0,
2009-03-31,12606322.0,248.0
2009-04-15,14914886.0,
2009-04-30,13064870.0,
2009-05-15,11677846.0,
2009-05-29,12079306.0,
2009-06-15,14294258.0,
2009-06-30,13830136.0,245.6
2009-07-15,16181874.0,
2009-07-31,14839360.0,
2009-08-14,12693682.0,
2009-08-31,14915860.0,
2009-09-15,14528580.0,
2009-09-30,16198800.0,244.4
2009-10-15,15616060.0,
2009-10-30,12893588.0,
2009-11-13,11330116.0,
2009-11-30,11250906.0,
2009-12-15,11512968.0,
2009-12-31,13229016.0,243.6
2010-01-15,13547184.0,
2010-01-29,10778184.0,
2010-02-12,10814356.0,
2010-02-26,7677362.0,
2010-03-15,9089972.0,
2010-03-31,11217400.0,239.6
2010-04-15,14030316.0,
2010-04-30,11462008.0,
2010-05-14,11686492.0,
2010-05-28,10983668.0,
2010-06-15,9743868.0,
2010-06-30,8707694.0,240.6
2010-07-15,11567534.0,
2010-07-30,10359152.0,
2010-08-13,11168252.0,
2010-08-31,12741756.0,
