Date,SHORT_INT,BS_SH_OUT
2006-01-13,1577978.0,
2006-02-15,1797960.0,
2006-03-15,1232308.0,
2006-03-31,,184.8081
2006-04-13,1107998.0,
2006-05-15,883076.0,
2006-06-15,1055116.0,
2006-06-30,,183.0743
2006-07-14,1417208.0,
2006-08-15,1601312.0,
2006-09-15,2237488.0,
2006-09-30,,181.8195
2006-10-13,1462940.0,
2006-11-15,1826716.0,
2006-12-15,2190640.0,
2006-12-31,,182.4881
2007-01-12,2440286.0,
2007-02-15,1882174.0,
2007-03-15,1986344.0,
2007-03-31,,183.0442
2007-04-13,2045521.0,
2007-05-15,2567296.0,
2007-06-15,1885005.0,
2007-06-30,,183.6927
2007-07-13,2318319.0,
2007-08-15,1232935.0,
2007-09-14,1678844.0,
2007-09-28,1274420.0,
2007-09-30,,180.0714
2007-10-15,1717341.0,
2007-10-31,1652995.0,
2007-11-15,1523290.0,
2007-11-30,2107062.0,
2007-12-14,2062570.0,
2007-12-31,2306414.0,176.2581
2008-01-15,3349791.0,
2008-01-31,3296184.0,
2008-02-15,2978145.0,
2008-02-29,3703797.0,
2008-03-14,4034552.0,
2008-03-31,3308878.0,174.0139
2008-04-15,3871750.0,
2008-04-30,3552415.0,
2008-05-15,3967793.0,
2008-05-30,4622597.0,
2008-06-13,3778364.0,
2008-06-30,4119620.0,173.9938
2008-07-15,4495256.0,
2008-07-31,4693755.0,
2008-08-15,5975003.0,
2008-08-29,7444624.0,
2008-09-15,7056670.0,
2008-09-30,5256572.0,173.3138
2008-10-15,4756366.0,
2008-10-31,2742254.0,
2008-11-14,3188360.0,
2008-11-28,3845028.0,
2008-12-15,3297632.0,
2008-12-31,2880412.0,167.1087
2009-01-15,3222606.0,
2009-01-30,3759226.0,
2009-02-13,3819995.0,
2009-02-27,2893056.0,
2009-03-13,3133921.0,
2009-03-31,4046248.0,166.4772
2009-04-15,4849762.0,
2009-04-30,5023287.0,
2009-05-15,5387952.0,
2009-05-29,5064666.0,
2009-06-15,6308270.0,
2009-06-30,6673254.0,166.7395
2009-07-15,7186386.0,
2009-07-31,6170942.0,
2009-08-14,4800533.0,
2009-08-31,6671078.0,
2009-09-15,2910036.0,
2009-09-30,2516737.0,166.8307
2009-10-15,3352912.0,
2009-10-30,2528874.0,
2009-11-13,2803963.0,
2009-11-30,2086788.0,
2009-12-15,1651475.0,
2009-12-31,1229770.0,167.167
2010-01-15,1255255.0,
2010-01-29,1223328.0,
2010-02-12,1922444.0,
2010-02-26,1939619.0,
2010-03-15,2224200.0,
2010-03-31,1946819.0,167.5262
2010-04-15,1944822.0,
2010-04-30,2946384.0,
2010-05-14,3176439.0,
2010-05-28,2743234.0,
2010-06-15,2929243.0,
2010-06-30,3666619.0,166.7433
2010-07-15,3011135.0,
2010-07-30,2872757.0,
2010-08-13,2347929.0,
2010-08-31,2350530.0,
2010-09-15,1744139.0,
2010-09-30,1971429.0,162.7025
2010-10-15,1937718.0,
2010-10-29,2221076.0,
2010-11-15,1799557.0,
2010-11-30,2159579.0,
2010-12-15,1777608.0,
2010-12-31,1858090.0,164.4004
2011-01-14,1810816.0,
2011-01-31,2537378.0,
2011-02-15,2724674.0,
2011-02-28,2543255.0,
2011-03-15,2130708.0,
2011-03-31,2016449.0,165.0205
2011-04-15,1376834.0,
2011-04-29,835956.0,
2011-05-13,759362.0,
2011-05-31,813851.0,
2011-06-15,1003363.0,
2011-06-30,994010.0,164.9823
2011-07-15,664810.0,
2011-07-29,993360.0,
2011-08-15,1202848.0,
2011-08-31,1311930.0,
2011-09-15,1846817.0,
2011-09-30,2466392.0,158.1013
2011-10-14,2391446.0,
2011-10-31,2020279.0,
2011-11-15,2224546.0,
2011-11-30,5349164.0,
2011-12-15,4631077.0,
2011-12-30,4092847.0,
2011-12-31,,158.5073
2012-01-13,3424137.0,
2012-01-31,3549832.0,
2012-02-15,2932668.0,
2012-02-29,2273794.0,
2012-03-15,1428857.0,
2012-03-30,1571759.0,
2012-03-31,,159.0696
2012-04-13,1589704.0,
2012-04-30,1442070.0,
2012-05-15,1614202.0,
2012-05-31,1616920.0,
2012-06-15,699543.0,
2012-06-29,618220.0,
2012-06-30,,159.8731
2012-07-13,1420993.0,
2012-07-31,1497626.0,
2012-08-15,1661258.0,
2012-08-31,1643654.0,
2012-09-14,1655910.0,
2012-09-28,1881970.0,
2012-09-30,,161.714
2012-10-15,1907903.0,
2012-10-31,2461626.0,
2012-11-15,1760784.0,
2012-11-30,1566317.0,
