Date,SHORT_INT,BS_SH_OUT
2006-01-13,22800291.0,
2006-02-15,24496667.0,
2006-03-15,26990410.0,
2006-03-31,,493.2953
2006-04-13,27740821.0,
2006-05-15,33800239.0,
2006-06-15,12116018.0,
2006-06-30,,575.948
2006-07-14,13047437.0,
2006-08-15,12686723.0,
2006-09-15,11517025.0,
2006-09-29,,573.0
2006-10-13,13265434.0,
2006-11-15,14760019.0,
2006-12-15,16800826.0,
2006-12-29,,555.0
2007-01-12,19545159.0,
2007-02-15,16108642.0,
2007-03-15,12092965.0,
2007-03-30,,543.0
2007-04-13,12017865.0,
2007-05-15,16200160.0,
2007-06-15,12851225.0,
2007-06-29,,534.9815
2007-07-13,17774613.0,
2007-08-15,16181469.0,
2007-09-14,14783061.0,
2007-09-28,13356311.0,530.0
2007-10-15,12949222.0,
2007-10-31,13966002.0,
2007-11-15,12602701.0,
2007-11-30,12741759.0,
2007-12-14,12775208.0,
2007-12-28,,527.0
2007-12-31,10873508.0,
2008-01-15,13389714.0,
2008-01-31,11464205.0,
2008-02-15,15957625.0,
2008-02-29,18950896.0,
2008-03-14,21383058.0,
2008-03-28,,494.0
2008-03-31,25894275.0,
2008-04-15,29934497.0,
2008-04-30,24210380.0,
2008-05-15,21392301.0,
2008-05-30,19205107.0,
2008-06-13,15718086.0,
2008-06-27,,485.1274
2008-06-30,16377685.0,
2008-07-15,16970685.0,
2008-07-31,13692306.0,
2008-08-15,13261418.0,
2008-08-29,16963080.0,
2008-09-15,14769014.0,
2008-09-30,12989616.0,
2008-10-03,,488.0
2008-10-15,16700863.0,
2008-10-31,7682672.0,
2008-11-14,8753291.0,
2008-11-28,7893499.0,
2008-12-15,10232846.0,
2008-12-31,9509535.0,
2009-01-02,,488.0
2009-01-15,10369477.0,
2009-01-30,10809467.0,
2009-02-13,11340332.0,
2009-02-27,18161615.0,
2009-03-13,19603898.0,
2009-03-31,24895299.0,
2009-04-03,,491.0
2009-04-15,22550035.0,
2009-04-30,17347514.0,
2009-05-15,13933321.0,
2009-05-29,14588751.0,
2009-06-15,13934137.0,
2009-06-30,14642111.0,
2009-07-03,,493.0088
2009-07-15,15233323.0,
2009-07-31,17354068.0,
2009-08-14,17624425.0,
2009-08-31,17976186.0,
2009-09-15,16228870.0,
2009-09-30,16792702.0,
2009-10-02,,497.0
2009-10-15,22521611.0,
2009-10-30,26812488.0,
2009-11-13,25893136.0,
2009-11-30,24807170.0,
2009-12-15,19790676.0,
2009-12-31,17360547.0,
2010-01-01,,499.0
2010-01-15,17056045.0,
2010-01-29,16926283.0,
2010-02-12,19052297.0,
2010-02-26,24104451.0,
2010-03-15,27793242.0,
2010-03-31,27511659.0,
2010-04-02,,489.0
2010-04-15,26109008.0,
2010-04-30,22342915.0,
2010-05-14,22973557.0,
2010-05-28,25319761.0,
2010-06-15,26228682.0,
2010-06-30,24920550.0,
2010-07-02,,470.2408
2010-07-15,21271147.0,
2010-07-30,20521881.0,
2010-08-13,16073944.0,
2010-08-31,11583631.0,
2010-09-15,15290915.0,
2010-09-30,15082058.0,
2010-10-01,,472.0
2010-10-15,15367752.0,
2010-10-29,17623657.0,
2010-11-15,16459248.0,
2010-11-30,10594788.0,
2010-12-15,9979920.0,
2010-12-31,9705072.0,453.0
2011-01-14,9734695.0,
2011-01-31,8797662.0,
2011-02-15,11262075.0,
2011-02-28,9053356.0,
2011-03-15,14057765.0,
2011-03-31,12387573.0,
2011-04-01,,426.0
2011-04-15,17863193.0,
2011-04-29,18832459.0,
2011-05-13,13153474.0,
2011-05-31,13080392.0,
2011-06-15,15801802.0,
2011-06-30,9001125.0,
2011-07-01,,424.6116
2011-07-15,11819972.0,
2011-07-29,15291417.0,
2011-08-15,13044599.0,
2011-08-31,15171907.0,
2011-09-15,14057247.0,
2011-09-30,13761558.0,420.0
2011-10-14,12618048.0,
2011-10-31,15324907.0,
2011-11-15,12551324.0,
2011-11-30,11027990.0,
2011-12-15,10652414.0,
2011-12-30,8916772.0,465.0
2012-01-13,13121873.0,
2012-01-31,10551052.0,
2012-02-15,7981074.0,
2012-02-29,8425966.0,
2012-03-15,8362196.0,
2012-03-30,7579119.0,433.0
2012-04-13,9902394.0,
2012-04-30,11885044.0,
2012-05-15,18518896.0,
2012-05-31,19993235.0,
2012-06-15,17815600.0,
2012-06-29,20736019.0,396.0329
2012-07-13,30701436.0,
2012-07-31,25933226.0,
2012-08-15,23462100.0,
2012-08-31,25186993.0,
2012-09-14,22204866.0,
2012-09-28,24415022.0,386.0
2012-10-15,26166725.0,
2012-10-31,31046174.0,
2012-11-15,36460766.0,
2012-11-30,45190450.0,
2012-12-14,48516257.0,
2012-12-28,,358.0
2012-12-31,44884406.0,
2013-01-15,41744432.0,
2013-01-31,36312450.0,
2013-02-15,33373142.0,
2013-02-28,31018267.0,
2013-03-15,31646309.0,
2013-03-28,29297204.0,
2013-03-29,,358.0
2013-04-15,28880346.0,
2013-04-30,29686124.0,
2013-05-15,20502484.0,
2013-05-31,21115052.0,
2013-06-14,19972376.0,
2013-06-28,17182033.0,359.437
2013-07-15,16562760.0,
2013-07-31,18641094.0,
2013-08-15,16922345.0,
2013-08-30,15400459.0,
2013-09-13,14877821.0,
2013-09-27,,359.0
2013-09-30,16764690.0,
2013-10-15,18087685.0,
2013-10-31,19666639.0,
2013-11-15,18767181.0,
2013-11-29,18332360.0,
2013-12-13,17790624.0,
2013-12-27,,328.0
2013-12-31,14429455.0,
2014-01-15,14117662.0,
2014-01-31,13065878.0,
2014-02-14,13871956.0,
2014-02-28,13979394.0,
2014-03-14,15152301.0,
2014-03-28,,326.0
2014-03-31,15978070.0,
2014-04-15,16418616.0,
2014-04-30,16282773.0,
2014-05-15,18878523.0,
2014-05-30,19669009.0,
2014-06-13,20181456.0,
2014-06-27,,326.5393
2014-06-30,19240003.0,
2014-07-15,18615402.0,
2014-07-31,19357417.0,
2014-08-15,18800976.0,
2014-08-29,18376228.0,
2014-09-15,18904523.0,
2014-09-30,19587150.0,
2014-10-03,,327.0
2014-10-15,19750093.0,
2014-10-31,18224707.0,
2014-11-14,17078368.0,
2014-11-28,16237327.0,
2014-12-15,15034331.0,
2014-12-31,13879679.0,
