Date,SHORT_INT,BS_SH_OUT
2007-06-29,,496.8691
2007-07-13,8400065.0,
2007-08-15,5594175.0,
2007-09-14,4254906.0,
2007-09-28,4702704.0,497.5302
2007-10-15,5001189.0,
2007-10-31,4656179.0,
2007-11-15,5052095.0,
2007-11-30,4557754.0,
2007-12-14,4974774.0,
2007-12-28,,498.289
2007-12-31,5695886.0,
2008-01-15,5062994.0,
2008-01-31,4577957.0,
2008-02-15,4201411.0,
2008-02-29,4329132.0,
2008-03-14,4691283.0,
2008-03-28,,499.0692
2008-03-31,2942734.0,
2008-04-15,3232434.0,
2008-04-30,4013807.0,
2008-05-15,3979196.0,
2008-05-30,3696296.0,
2008-06-13,3719909.0,
2008-06-27,,500.9578
2008-06-30,3271635.0,
2008-07-15,3764245.0,
2008-07-31,3452459.0,
2008-08-15,2842172.0,
2008-08-29,3389217.0,
2008-09-15,3765440.0,
2008-09-26,,503.1623
2008-09-30,2823555.0,
2008-10-15,2680500.0,
2008-10-31,1948887.0,
2008-11-14,2423904.0,
2008-11-28,4231224.0,
2008-12-15,3599405.0,
2008-12-26,,503.8807
2008-12-31,3812382.0,
2009-01-15,4717099.0,
2009-01-30,2783820.0,
2009-02-13,3357540.0,
2009-02-27,2963069.0,
2009-03-13,3640386.0,
2009-03-27,,503.993
2009-03-31,3794685.0,
2009-04-15,3568027.0,
2009-04-30,4306639.0,
2009-05-15,8377722.0,
2009-05-29,14291321.0,
2009-06-15,3590403.0,
2009-06-26,,502.0453
2009-06-30,4250115.0,
2009-07-15,4434767.0,
2009-07-31,3318608.0,
2009-08-14,3162318.0,
2009-08-31,2281116.0,
2009-09-15,2233802.0,
2009-09-25,,503.0296
2009-09-30,1750479.0,
2009-10-15,2933996.0,
2009-10-30,2561077.0,
2009-11-13,2521281.0,
2009-11-30,2197138.0,
2009-12-15,2128305.0,
2009-12-25,,500.0174
2009-12-31,2857378.0,
2010-01-15,2478716.0,
2010-01-29,2819923.0,
2010-02-12,3975168.0,
2010-02-26,3311329.0,
2010-03-15,2460784.0,
2010-03-26,,501.0322
2010-03-31,2201107.0,
2010-04-15,1714012.0,
2010-04-30,1319677.0,
2010-05-14,1708187.0,
2010-05-28,1198253.0,
2010-06-15,1869406.0,
2010-06-25,,501.1994
2010-06-30,4801757.0,
2010-07-15,2373386.0,
2010-07-30,1704454.0,
2010-08-13,1801374.0,
2010-08-31,2791032.0,
2010-09-15,1757373.0,
2010-09-24,,507.245
2010-09-30,2088030.0,
2010-10-15,2387385.0,
2010-10-29,1560100.0,
2010-11-15,1691086.0,
2010-11-30,1997760.0,
2010-12-15,1914908.0,
2010-12-24,,508.1062
2010-12-31,2178077.0,
2011-01-14,3029015.0,
2011-01-31,2868138.0,
2011-02-15,3446676.0,
2011-02-28,3848690.0,
2011-03-15,12151279.0,
2011-03-25,,495.3266
2011-03-31,7085392.0,
2011-04-15,5010271.0,
2011-04-29,5017254.0,
2011-05-13,3391795.0,
2011-05-31,3746921.0,
2011-06-15,3176930.0,
2011-06-24,,493.0037
2011-06-30,2997677.0,
2011-07-15,2206082.0,
2011-07-29,1786886.0,
2011-08-15,2962719.0,
2011-08-31,5675688.0,
2011-09-15,5456207.0,
2011-09-30,5169861.0,513.7865
2011-10-14,4840061.0,
2011-10-31,4359303.0,
2011-11-15,4085362.0,
2011-11-30,4290987.0,
2011-12-15,4055151.0,
2011-12-30,3839776.0,482.862
2012-01-13,5075613.0,
2012-01-31,4299211.0,
2012-02-15,4943606.0,
2012-02-29,5048126.0,
2012-03-15,5019623.0,
2012-03-30,4604123.0,482.1101
2012-04-13,4447839.0,
2012-04-30,5884632.0,
2012-05-15,6128946.0,
2012-05-31,8489119.0,
2012-06-15,6773262.0,
2012-06-29,6099966.0,479.2577
2012-07-13,5948262.0,
2012-07-31,4954832.0,
2012-08-15,4202547.0,
2012-08-31,3384653.0,
2012-09-14,3462094.0,
2012-09-28,3505183.0,472.1683
2012-10-15,3645821.0,
2012-10-31,3802694.0,
2012-11-15,3359560.0,
2012-11-30,3507828.0,
2012-12-14,3440910.0,
