Date,BS_SH_OUT,SHORT_INT
2006-01-13,,7057739.0
2006-02-15,,6962130.0
2006-03-15,,6926278.0
2006-03-25,93.087,
2006-04-13,,7004351.0
2006-05-15,,7099264.0
2006-06-15,,7347076.0
2006-07-01,92.922,
2006-07-14,,6428471.0
2006-08-15,,6563692.0
2006-09-15,,6371501.0
2006-09-30,92.6278,
2006-10-13,,5704668.0
2006-11-15,,4916631.0
2006-12-15,,5292877.0
2006-12-30,92.666,
2007-01-12,,5266613.0
2007-02-15,,5937780.0
2007-03-15,,7087192.0
2007-03-31,92.51,
2007-04-13,,7066174.0
2007-05-15,,8365992.0
2007-06-15,,9940134.0
2007-06-30,93.395,
2007-07-13,,11132141.0
2007-08-15,,10535209.0
2007-09-14,,8703242.0
2007-09-28,,8226355.0
2007-09-29,93.473,
2007-10-15,,7752761.0
2007-10-31,,7595674.0
2007-11-15,,7826256.0
2007-11-30,,9591300.0
2007-12-14,,9255053.0
2007-12-29,93.353,
2007-12-31,,8543563.0
2008-01-15,,8678720.0
2008-01-31,,8779594.0
2008-02-15,,8920445.0
2008-02-29,,9606130.0
2008-03-14,,9221664.0
2008-03-29,93.38,
2008-03-31,,10941785.0
2008-04-15,,10674290.0
2008-04-30,,10610479.0
2008-05-15,,9544011.0
2008-05-30,,10867278.0
2008-06-13,,10024654.0
2008-06-28,93.311,
2008-06-30,,9487204.0
2008-07-15,,5586549.0
2008-07-31,,6133157.0
2008-08-15,,6809749.0
2008-08-29,,5542160.0
2008-09-15,,4738168.0
2008-09-27,92.891,
2008-09-30,,5986838.0
2008-10-15,,6216922.0
2008-10-31,,7403724.0
2008-11-14,,7131573.0
2008-11-28,,7845366.0
2008-12-15,,7723662.0
2008-12-27,92.129,
2008-12-31,,8484506.0
2009-01-15,,8651735.0
2009-01-30,,8150161.0
2009-02-13,,6990406.0
2009-02-27,,6716584.0
2009-03-13,,6444717.0
2009-03-28,92.171,
2009-03-31,,7171839.0
2009-04-15,,7279971.0
2009-04-30,,7439557.0
2009-05-15,,6307773.0
2009-05-29,,5055410.0
2009-06-15,,5060678.0
2009-06-27,92.209,
2009-06-30,,4230910.0
2009-07-15,,4661825.0
2009-07-31,,4689610.0
2009-08-14,,4846215.0
2009-08-31,,4519107.0
2009-09-15,,4678914.0
2009-09-26,91.779,
2009-09-30,,5250849.0
2009-10-15,,4336113.0
2009-10-30,,3276832.0
2009-11-13,,3114279.0
2009-11-30,,2747682.0
2009-12-15,,3205513.0
2009-12-26,91.1646,
2009-12-31,,3686049.0
2010-01-15,,4052186.0
2010-01-29,,4471854.0
2010-02-12,,4683463.0
2010-02-26,,4418046.0
2010-03-15,,3189343.0
2010-03-27,91.356,
2010-03-31,,3621611.0
2010-04-15,,4116163.0
2010-04-30,,4025195.0
2010-05-14,,3137409.0
2010-05-28,,3167988.0
2010-06-15,,4018538.0
2010-06-26,91.694,
2010-06-30,,4430718.0
2010-07-15,,4926944.0
2010-07-30,,4867784.0
2010-08-13,,4665044.0
2010-08-31,,3903541.0
2010-09-15,,4496738.0
2010-09-25,92.205,
2010-09-30,,5195321.0
2010-10-15,,5063125.0
2010-10-29,,4214665.0
2010-11-15,,4268565.0
2010-11-30,,4775658.0
2010-12-15,,4232334.0
2010-12-25,92.3372,
2010-12-31,,4017456.0
2011-01-14,,3530773.0
2011-01-31,,2474007.0
2011-02-15,,2421904.0
2011-02-28,,2695420.0
2011-03-15,,3225511.0
2011-03-26,92.682,
2011-03-31,,2575579.0
2011-04-15,,2771425.0
2011-04-29,,2519108.0
2011-05-13,,1988415.0
2011-05-31,,1901184.0
2011-06-15,,1975530.0
2011-06-26,92.778,
2011-06-30,,2078531.0
2011-07-15,,1948091.0
2011-07-29,,1703603.0
2011-08-15,,2088191.0
2011-08-31,,2472873.0
2011-09-15,,2337498.0
2011-09-24,93.189,
2011-09-30,,1949473.0
2011-10-14,,2194762.0
2011-10-31,,2461374.0
2011-11-15,,2955680.0
2011-11-30,,3306612.0
2011-12-15,,4320899.0
2011-12-30,,3578315.0
2011-12-31,93.287,
2012-01-13,,4055032.0
2012-01-31,,4853676.0
2012-02-15,,4985450.0
2012-02-29,,5209449.0
2012-03-15,,4445269.0
2012-03-30,,4274974.0
2012-03-31,93.405,
2012-04-13,,4645438.0
2012-04-30,,3742075.0
2012-05-15,,3692222.0
2012-05-31,,3985859.0
2012-06-15,,4105558.0
2012-06-29,,3647626.0
2012-06-30,93.484,
2012-07-13,,3808257.0
2012-07-31,,4100570.0
2012-08-15,,3845435.0
2012-08-31,,4023769.0
2012-09-14,,4205416.0
2012-09-28,,3568800.0
2012-09-29,93.84,
2012-10-15,,3781124.0
2012-10-31,,3705867.0
2012-11-15,,3583437.0
2012-11-30,,3099643.0
2012-12-14,,3135523.0
2012-12-29,93.98,
2012-12-31,,3391715.0
2013-01-15,,3602857.0
2013-01-31,,3058173.0
2013-02-15,,3049181.0
2013-02-28,,3113312.0
2013-03-15,,2742559.0
2013-03-28,,2768897.0
2013-03-30,94.022,
2013-04-15,,2740150.0
2013-04-30,,2751048.0
2013-05-15,,2739128.0
2013-05-31,,2203525.0
2013-06-14,,1843413.0
2013-06-28,,2270178.0
2013-06-29,94.1,
2013-07-15,,3009764.0
2013-07-31,,3407062.0
2013-08-15,,9095818.0
