Date,SHORT_INT,BS_SH_OUT
2006-01-13,4242311.0,
2006-02-15,4799947.0,
2006-03-15,5700355.0,
2006-04-01,,101.6428
2006-04-13,4394571.0,
2006-05-15,3841001.0,
2006-06-15,3678389.0,
2006-07-01,,101.1222
2006-07-14,3459680.0,
2006-08-15,3161795.0,
2006-09-15,2390192.0,
2006-09-30,,100.0524
2006-10-13,2995501.0,
2006-11-15,4074440.0,
2006-12-15,3740470.0,
2006-12-31,,99.7772
2007-01-12,3277311.0,
2007-02-15,3002181.0,
2007-03-15,3340410.0,
2007-03-31,,99.7777
2007-04-13,4201335.0,
2007-05-15,5999002.0,
2007-06-15,7214321.0,
2007-06-30,,99.9698
2007-07-13,7743237.0,
2007-08-15,6975783.0,
2007-09-14,6459908.0,
2007-09-28,6481796.0,
2007-09-29,,99.4685
2007-10-15,7185616.0,
2007-10-31,7482091.0,
2007-11-15,6690220.0,
2007-11-30,6473144.0,
2007-12-14,5829406.0,
2007-12-31,6233442.0,99.2218
2008-01-15,6291511.0,
2008-01-31,7393895.0,
2008-02-15,7517203.0,
2008-02-29,8172438.0,
2008-03-14,7959379.0,
2008-03-29,,99.0904
2008-03-31,7978811.0,
2008-04-15,7296331.0,
2008-04-30,8049489.0,
2008-05-15,9347813.0,
2008-05-30,9620913.0,
2008-06-13,9955641.0,
2008-06-28,,98.919
2008-06-30,9383712.0,
2008-07-15,10826510.0,
2008-07-31,11349249.0,
2008-08-15,10462702.0,
2008-08-29,9997547.0,
2008-09-15,9500181.0,
2008-09-27,,98.6295
2008-09-30,8176194.0,
2008-10-15,7946613.0,
2008-10-31,6348529.0,
2008-11-14,4678342.0,
2008-11-28,4306294.0,
2008-12-15,3075825.0,
2008-12-31,2590276.0,98.2769
2009-01-15,2374303.0,
2009-01-30,3294007.0,
2009-02-13,3634150.0,
2009-02-27,3307456.0,
2009-03-13,3165391.0,
2009-03-28,,98.281
2009-03-31,3099501.0,
2009-04-15,2947303.0,
2009-04-30,3507188.0,
2009-05-15,3147189.0,
2009-05-29,3051963.0,
2009-06-15,3127905.0,
2009-06-27,,98.3158
2009-06-30,3250678.0,
2009-07-15,2974897.0,
2009-07-31,3105019.0,
2009-08-14,3114900.0,
2009-08-31,3267289.0,
2009-09-15,3397627.0,
2009-09-26,,98.3408
2009-09-30,3272909.0,
2009-10-15,3523044.0,
2009-10-30,2702326.0,
2009-11-13,1937838.0,
2009-11-30,1792154.0,
2009-12-15,1597947.0,
2009-12-31,1609587.0,98.6555
2010-01-15,1507779.0,
2010-01-29,1837506.0,
2010-02-12,2408309.0,
2010-02-26,2548242.0,
2010-03-15,2600478.0,
2010-03-31,2367313.0,
2010-04-03,,98.651
2010-04-15,2505678.0,
2010-04-30,2760517.0,
2010-05-14,1856179.0,
2010-05-28,2478178.0,
2010-06-15,2364256.0,
2010-06-30,2094089.0,
2010-07-03,,98.7012
2010-07-15,2511035.0,
2010-07-30,2938406.0,
2010-08-13,3539612.0,
2010-08-31,3352279.0,
2010-09-15,3433876.0,
2010-09-30,4428048.0,
2010-10-02,,98.9606
2010-10-15,4577469.0,
2010-10-29,4926054.0,
2010-11-15,5101167.0,
2010-11-30,4682586.0,
2010-12-15,4476761.0,
2010-12-31,4656660.0,98.4092
2011-01-14,4786645.0,
2011-01-31,4729571.0,
2011-02-15,5501116.0,
2011-02-28,5335788.0,
2011-03-15,4536832.0,
2011-03-31,4658440.0,
2011-04-02,,98.4193
2011-04-15,5068466.0,
2011-04-29,5012695.0,
2011-05-13,4983729.0,
2011-05-31,5103483.0,
2011-06-15,5235653.0,
2011-06-30,5793725.0,
2011-07-02,,98.7663
2011-07-15,6037887.0,
2011-07-29,5735449.0,
2011-08-15,5234614.0,
2011-08-31,5404703.0,
2011-09-15,5057837.0,
2011-09-30,5691780.0,
2011-10-01,,98.566
2011-10-14,6164714.0,
2011-10-31,5818092.0,
2011-11-15,6053225.0,
2011-11-30,6352508.0,
2011-12-15,5883373.0,
2011-12-30,5720868.0,
2011-12-31,,98.6226
2012-01-13,6058907.0,
2012-01-31,6197443.0,
2012-02-15,6035163.0,
2012-02-29,6028392.0,
2012-03-15,5595599.0,
2012-03-30,5257928.0,
2012-03-31,,99.0484
2012-04-13,8267222.0,
2012-04-30,8021749.0,
2012-05-15,7778944.0,
2012-05-31,8593352.0,
2012-06-15,8484202.0,
2012-06-29,8251375.0,99.204
2012-07-13,7586037.0,
2012-07-31,7353110.0,
2012-08-15,6863666.0,
2012-08-31,8445783.0,
2012-09-14,9665264.0,
2012-09-28,2632.0,
2012-09-29,,210.2924
2012-10-15,4091995.0,
2012-10-31,2707668.0,
2012-11-15,4531506.0,
2012-11-30,6088690.0,
2012-12-14,6447203.0,
2012-12-31,6551968.0,206.1
2013-01-15,6937414.0,
2013-01-31,4823770.0,
2013-02-15,4647518.0,
2013-02-28,4509707.0,
2013-03-15,3625503.0,
2013-03-28,2445842.0,
2013-03-29,,204.5
2013-04-15,2162260.0,
2013-04-30,1843750.0,
2013-05-15,2802873.0,
2013-05-31,2714299.0,
2013-06-14,3301209.0,
2013-06-28,3526186.0,
2013-06-29,,199.2
2013-07-15,3076194.0,
2013-07-31,3370162.0,
2013-08-15,3780292.0,
2013-08-30,3185977.0,
2013-09-13,3358316.0,
2013-09-28,,199.3
2013-09-30,3239742.0,
2013-10-15,3422762.0,
2013-10-31,2423885.0,
2013-11-15,2629591.0,
2013-11-29,2966456.0,
2013-12-13,3016110.0,
2013-12-31,2614357.0,197.4
2014-01-15,3072727.0,
2014-01-31,2867549.0,
2014-02-14,3973611.0,
2014-02-28,4024530.0,
2014-03-14,4198521.0,
2014-03-29,,194.7
2014-03-31,4568990.0,
2014-04-15,4563961.0,
2014-04-30,5490637.0,
2014-05-15,3373751.0,
2014-05-30,2834777.0,
2014-06-13,2993201.0,
2014-06-28,,192.6
2014-06-30,3169212.0,
2014-07-15,2445523.0,
2014-07-31,2319325.0,
2014-08-15,2702070.0,
2014-08-29,3083823.0,
2014-09-15,2562292.0,
2014-09-27,,186.8
2014-09-30,3283752.0,
2014-10-15,4037887.0,
2014-10-31,3012559.0,
2014-11-14,3641055.0,
2014-11-28,3272662.0,
2014-12-15,3216894.0,
2014-12-31,4326133.0,182.5
2015-01-15,5516139.0,
2015-01-30,6498517.0,
2015-02-13,5624267.0,
2015-02-27,5952816.0,
2015-03-13,6052567.0,
2015-03-28,,179.8
2015-03-31,6085913.0,
2015-04-15,6281028.0,
2015-04-30,5588532.0,
2015-05-15,5238585.0,
2015-05-29,5348169.0,
2015-06-15,5541075.0,
2015-06-27,,180.0
2015-06-30,7026740.0,
2015-07-15,10322875.0,
2015-07-31,9379246.0,
2015-08-14,9032988.0,
2015-08-31,8542130.0,
2015-09-15,8622129.0,
2015-09-26,,160.4
2015-09-30,9852937.0,
2015-10-15,10362772.0,
2015-10-30,11657820.0,
2015-11-13,12680288.0,
2015-11-30,12417788.0,
2015-12-15,11767398.0,
2015-12-31,13567435.0,180.5
2016-01-15,13238565.0,
2016-01-29,15228733.0,
2016-02-12,14311522.0,
2016-02-29,11766177.0,
2016-03-15,11838267.0,
2016-03-31,11925921.0,180.7
2016-04-15,11744616.0,
2016-04-29,9716576.0,
2016-05-13,10057972.0,
2016-05-31,10112899.0,
2016-06-15,8884271.0,
2016-06-30,8418979.0,181.1
2016-07-15,9318306.0,
2016-07-29,7809190.0,
2016-08-15,7626164.0,
2016-08-31,7868920.0,
2016-09-15,8031875.0,
2016-09-30,7377838.0,181.7
2016-10-14,7175478.0,
2016-10-31,6735435.0,
2016-11-15,5815540.0,
2016-11-30,4705284.0,
2016-12-15,4087835.0,
2016-12-30,4223273.0,
2016-12-31,,181.8
2017-01-13,4385241.0,
