Date,SHORT_INT,BS_SH_OUT
2006-01-13,3671487.0,
2006-02-15,1933555.0,
2006-03-15,3628791.0,
2006-03-31,,210.1788
2006-04-13,3629593.0,
2006-05-15,3902632.0,
2006-06-15,3545250.0,
2006-06-30,,210.8111
2006-07-14,6024949.0,
2006-08-15,8376201.0,
2006-09-15,9598510.0,
2006-10-13,8399744.0,
2006-11-15,8427193.0,
2006-12-15,9950897.0,
2007-01-12,8806455.0,
2007-02-15,6321274.0,
2007-03-15,7387043.0,
2007-04-13,7663275.0,
2007-05-15,6715712.0,
2007-06-15,11373481.0,
2007-06-30,,248.7492
2007-07-13,11322140.0,
2007-08-15,10868468.0,
2007-09-14,7771179.0,
2007-09-28,7795568.0,
2007-09-30,,248.8347
2007-10-15,12797400.0,
2007-10-31,13213187.0,
2007-11-15,16680370.0,
2007-11-30,37625959.0,
2007-12-14,39215666.0,
2007-12-31,44370116.0,304.3752
2008-01-15,51222410.0,
2008-01-31,61143480.0,
2008-02-15,60000473.0,
2008-02-29,60274441.0,
2008-03-14,63799263.0,
2008-03-31,73501688.0,304.4753
2008-04-15,74253505.0,
2008-04-30,74842353.0,
2008-05-15,70364151.0,
2008-05-30,76447387.0,
2008-06-13,72784609.0,
2008-06-30,70503322.0,304.5099
2008-07-15,65889019.0,
2008-07-31,65042922.0,
2008-08-15,68096716.0,
2008-08-29,68881056.0,
2008-09-15,79138290.0,
2008-09-30,74452942.0,304.726
2008-10-15,67594765.0,
2008-10-31,75528192.0,
2008-11-14,72466652.0,
2008-11-28,67296675.0,
2008-12-15,63760286.0,
2008-12-31,63031197.0,304.7326
2009-01-15,62455205.0,
2009-01-30,63983686.0,
2009-02-13,64413272.0,
2009-02-27,67541316.0,
2009-03-13,72710889.0,
2009-03-31,73786532.0,304.9443
2009-04-15,74940707.0,
2009-04-30,75021553.0,
2009-05-15,65482513.0,
2009-05-29,67961315.0,
2009-06-15,73103014.0,
2009-06-30,73590190.0,305.1206
2009-07-15,69851885.0,
2009-07-31,71284380.0,
2009-08-14,75158338.0,
2009-08-31,70723383.0,
2009-09-15,71719516.0,
2009-09-30,71471870.0,305.5469
2009-10-15,70961271.0,
2009-10-30,73138420.0,
2009-11-13,71782832.0,
2009-11-30,70375295.0,
2009-12-15,71806812.0,
2009-12-31,76624314.0,306.4847
2010-01-15,72441450.0,
2010-01-29,74701700.0,
2010-02-12,77745460.0,
2010-02-26,75558998.0,
2010-03-15,72171429.0,
2010-03-31,75049195.0,308.4852
2010-04-15,73516492.0,
2010-04-30,73936952.0,
2010-05-14,80115978.0,
2010-05-28,82027055.0,
2010-06-15,81133832.0,
2010-06-30,79170220.0,309.3537
2010-07-15,76369489.0,
2010-07-30,73294596.0,
2010-08-13,75615603.0,
2010-08-31,73389871.0,
2010-09-15,74031545.0,
2010-09-30,79192890.0,309.6263
2010-10-15,83721939.0,
2010-10-29,85105695.0,
2010-11-15,87188537.0,
2010-11-30,33779563.0,
2010-12-15,27512159.0,
2010-12-31,29940590.0,436.1105
2011-01-14,32144984.0,
2011-01-31,32151960.0,
2011-02-15,30801331.0,
2011-02-28,29890212.0,
2011-03-15,32553268.0,
2011-03-31,33136698.0,438.2831
2011-04-15,32949007.0,
2011-04-29,32310321.0,
2011-05-13,30053473.0,
2011-05-31,33916478.0,
2011-06-15,32634941.0,
2011-06-30,31752067.0,426.1554
2011-07-15,32199023.0,
2011-07-29,32547396.0,
2011-08-15,29045872.0,
2011-08-31,29351644.0,
2011-09-15,34358674.0,
2011-09-30,27995967.0,426.4851
2011-10-14,26714072.0,
2011-10-31,26379904.0,
2011-11-15,30524137.0,
2011-11-30,31142173.0,
2011-12-15,31522669.0,
2011-12-30,31827313.0,
2011-12-31,,426.6784
2012-01-13,29662384.0,
2012-01-31,31186247.0,
2012-02-15,30630467.0,
2012-02-29,29274797.0,
2012-03-15,28036637.0,
2012-03-30,29665173.0,
2012-03-31,,428.432
2012-04-13,29487391.0,
2012-04-30,22464342.0,
2012-05-15,23044043.0,
2012-05-31,31510413.0,
2012-06-15,36930446.0,
2012-06-29,35872030.0,
2012-06-30,,405.8387
2012-07-13,36032588.0,
2012-07-31,33999593.0,
2012-08-15,30507235.0,
2012-08-31,29691669.0,
2012-09-14,29966053.0,
