Date,SHORT_INT,BS_SH_OUT
2012-03-31,,1593.283
2012-06-30,,1593.283
2012-09-30,,1593.283
2012-12-31,,1577.3341
2013-01-15,9787762.0,
2013-01-31,10389551.0,
2013-02-15,10496752.0,
2013-02-28,12477761.0,
2013-03-15,10850434.0,
2013-03-28,11465252.0,
2013-03-31,,1583.0
2013-04-15,12625501.0,
2013-04-30,11735491.0,
2013-05-15,11002574.0,
2013-05-31,11404774.0,
2013-06-14,9971767.0,
2013-06-28,10737313.0,
2013-06-30,,1585.4287
2013-07-15,10350699.0,
2013-07-31,10414406.0,
2013-08-15,10248416.0,
2013-08-30,9838851.0,
2013-09-13,11555174.0,
2013-09-30,12230836.0,1588.0
2013-10-15,11883567.0,
2013-10-31,13052600.0,
2013-11-15,12673375.0,
2013-11-29,11897342.0,
2013-12-13,14523666.0,
2013-12-31,12615960.0,1587.3606
2014-01-15,9484781.0,
2014-01-31,9405431.0,
2014-02-14,11555064.0,
2014-02-28,11751091.0,
2014-03-14,11638992.0,
2014-03-31,10614635.0,1590.0665
2014-04-15,10746235.0,
2014-04-30,11564710.0,
2014-05-15,14039649.0,
2014-05-30,14005774.0,
2014-06-13,12667319.0,
2014-06-30,13911533.0,1591.6991
2014-07-15,15339023.0,
2014-07-31,63612842.0,
2014-08-15,84262581.0,
2014-08-29,92885533.0,
2014-09-15,94917876.0,
2014-09-30,110663209.0,1593.2654
2014-10-15,111877915.0,
2014-10-31,29599710.0,
2014-11-14,23105590.0,
2014-11-28,21740818.0,
2014-12-15,17952766.0,
2014-12-31,15681355.0,1591.3893
2015-01-15,16505765.0,
2015-01-30,15134784.0,
2015-02-13,14261699.0,
2015-02-27,19972420.0,
2015-03-13,19477156.0,
2015-03-31,20633088.0,1593.0761
2015-04-15,24949851.0,
2015-04-30,26244366.0,
2015-05-15,29573827.0,
2015-05-29,92457648.0,
2015-06-15,86383778.0,
2015-06-30,77368635.0,1655.2763
2015-07-15,53306981.0,
2015-07-31,44484040.0,
2015-08-14,36564402.0,
2015-08-31,30612826.0,
2015-09-15,31772283.0,
2015-09-30,32166668.0,1634.7469
2015-10-15,34171598.0,
2015-10-30,19873596.0,
2015-11-13,17516611.0,
2015-11-30,20233982.0,
2015-12-15,21087946.0,
2015-12-31,24116511.0,1609.8929
2016-01-15,24450850.0,
2016-01-29,27537698.0,
2016-02-12,24696556.0,
2016-02-29,24061940.0,
2016-03-15,23707927.0,
2016-03-31,22525967.0,1617.3586
2016-04-15,21764349.0,
2016-04-29,20989133.0,
2016-05-13,28100029.0,
2016-05-31,26528384.0,
2016-06-15,78214101.0,
2016-06-30,71155094.0,1628.5424
2016-07-15,60570179.0,
2016-07-29,50885564.0,
2016-08-15,47997217.0,
2016-08-31,39049102.0,
2016-09-15,37794845.0,
2016-09-30,35313807.0,1624.9076
2016-10-14,28252935.0,
2016-10-31,28631130.0,
2016-11-15,35335842.0,
2016-11-30,29798063.0,
2016-12-15,38015780.0,
2016-12-30,33396258.0,
2016-12-31,,1592.5127
2017-01-13,33442035.0,
2017-01-31,30978839.0,
2017-02-15,31626442.0,
2017-02-28,29946693.0,
2017-03-15,35743625.0,
2017-03-31,31823659.0,1593.5767
2017-04-13,33318080.0,
