Date,SHORT_INT,BS_SH_OUT
2014-03-31,2405184.0,
2014-04-15,2814007.0,
2014-04-30,2540360.0,
2014-05-15,2463380.0,
2014-05-30,2736832.0,
2014-06-13,2489915.0,
2014-06-30,3113594.0,
2014-07-15,2972011.0,
2014-07-31,2729842.0,
2014-08-15,2512609.0,
2014-08-29,2438366.0,
2014-09-15,2144221.0,
2014-09-30,2009599.0,
2014-10-15,2110919.0,
2014-10-31,2621327.0,
2014-11-14,2316713.0,
2014-11-28,2309895.0,
2014-12-15,2884300.0,
2014-12-31,2774483.0,
2015-01-15,2909726.0,
2015-01-30,2735400.0,
2015-02-13,2766286.0,
2015-02-27,2410075.0,
2015-03-13,2607524.0,
2015-03-31,2547599.0,
2015-04-15,2523854.0,
2015-04-30,2835170.0,
2015-05-15,2697502.0,
2015-05-29,2147640.0,
2015-06-15,2436771.0,
2015-06-30,2236752.0,
2015-07-15,2593853.0,
2015-07-31,3225887.0,
2015-08-14,3874236.0,
2015-08-31,4777640.0,
2015-09-15,5501096.0,
2015-09-30,5012202.0,
2015-10-15,4548140.0,
2015-10-30,4093792.0,
2015-11-13,3638055.0,
2015-11-30,3956690.0,
2015-12-15,3484513.0,
2015-12-31,3351465.0,
2016-01-15,3364193.0,
2016-01-29,3208496.0,
2016-02-12,3280586.0,
2016-02-29,2781304.0,
2016-03-15,2721260.0,
2016-03-31,2745739.0,
2016-04-15,2585089.0,
2016-04-29,2703137.0,
2016-05-13,2928126.0,
2016-05-31,2875422.0,
2016-06-15,2276896.0,
2016-06-30,2110036.0,
2016-07-15,2094483.0,
2016-07-29,1950390.0,
2016-08-15,2336931.0,
2016-08-31,1859467.0,
2016-09-15,2007143.0,
2016-09-30,2156841.0,
2016-10-14,2073041.0,
2016-10-31,2427163.0,
2016-11-15,2144175.0,
2016-11-30,2429345.0,
2016-12-15,2432908.0,
2016-12-30,2284351.0,
2017-01-13,2109682.0,
2017-01-31,2024841.0,
2017-02-15,2328360.0,
2017-02-28,2199100.0,
2017-03-15,2595135.0,
2017-03-31,2935579.0,
2017-04-13,3086483.0,
2017-04-28,3073909.0,
