Date,SHORT_INT,BS_SH_OUT
2006-01-13,17640974.0,
2006-02-15,14753986.0,
2006-03-15,13732893.0,
2006-03-31,,2087.6668
2006-04-13,14488216.0,
2006-05-15,12590035.0,
2006-06-15,17180124.0,
2006-06-30,,2090.5386
2006-07-14,18839440.0,
2006-08-15,15128412.0,
2006-09-15,18830169.0,
2006-09-30,,2095.5411
2006-10-13,26216978.0,
2006-11-15,25401588.0,
2006-12-15,22430467.0,
2006-12-31,,2097.0809
2007-01-12,24017003.0,
2007-02-15,14560105.0,
2007-03-15,22384928.0,
2007-03-31,,2102.5282
2007-04-13,23894236.0,
2007-05-15,53243206.0,
2007-06-15,47218660.0,
2007-06-30,,2104.8872
2007-07-13,47083761.0,
2007-08-15,54896092.0,
2007-09-14,50108220.0,
2007-09-28,51235246.0,
2007-09-30,,2105.6831
2007-10-15,52350723.0,
2007-10-31,50426909.0,
2007-11-15,46342232.0,
2007-11-30,44487593.0,
2007-12-14,48126177.0,
2007-12-31,31875214.0,2107.6768
2008-01-15,30330062.0,
2008-01-31,29113720.0,
2008-02-15,29161101.0,
2008-02-29,27284018.0,
2008-03-14,30583269.0,
2008-03-31,28162740.0,2108.9018
2008-04-15,26673221.0,
2008-04-30,31176465.0,
2008-05-15,32076543.0,
2008-05-30,33396943.0,
2008-06-13,30756510.0,
2008-06-30,31288859.0,2059.5485
2008-07-15,27711895.0,
2008-07-31,27277521.0,
2008-08-15,33757416.0,
2008-08-29,33624299.0,
2008-09-15,32238418.0,
2008-09-30,31619398.0,2060.2602
2008-10-15,34694745.0,
2008-10-31,38534669.0,
2008-11-14,32262635.0,
2008-11-28,30826852.0,
2008-12-15,32331757.0,
2008-12-31,29608000.0,2061.3716
2009-01-15,33070061.0,
2009-01-30,33240969.0,
2009-02-13,32553748.0,
2009-02-27,31104332.0,
2009-03-13,41557269.0,
2009-03-31,39078866.0,2067.3229
2009-04-15,35184961.0,
2009-04-30,37960373.0,
2009-05-15,37705852.0,
2009-05-29,35818579.0,
2009-06-15,47568824.0,
2009-06-30,57632578.0,2071.2607
2009-07-15,59797528.0,
2009-07-31,57534055.0,
2009-08-14,59491205.0,
2009-08-31,58486857.0,
2009-09-15,59844222.0,
2009-09-30,71115160.0,2071.8294
2009-10-15,76598882.0,
2009-10-30,73949112.0,
2009-11-13,76192692.0,
2009-11-30,81683331.0,
2009-12-15,68890961.0,
2009-12-31,72304977.0,2076.0286
2010-01-15,72511915.0,
2010-01-29,73311644.0,
2010-02-12,74991475.0,
2010-02-26,70946183.0,
2010-03-15,68821302.0,
2010-03-31,64905754.0,2082.4748
2010-04-15,72758691.0,
2010-04-30,70296732.0,
2010-05-14,54893854.0,
2010-05-28,52090081.0,
2010-06-15,41002071.0,
2010-06-30,46074164.0,2083.5705
2010-07-15,40246306.0,
2010-07-30,37382557.0,
2010-08-13,38289162.0,
2010-08-31,41430973.0,
2010-09-15,38391817.0,
2010-09-30,36175189.0,2087.5189
2010-10-15,39787418.0,
2010-10-29,37820896.0,
2010-11-15,38240940.0,
2010-11-30,29855552.0,
2010-12-15,29370298.0,
2010-12-31,28568559.0,2088.7397
2011-01-14,31895070.0,
2011-01-31,33981399.0,
2011-02-15,36440289.0,
2011-02-28,33660180.0,
2011-03-15,33446865.0,
2011-03-31,29347312.0,2093.3191
2011-04-15,25896890.0,
2011-04-29,21300585.0,
2011-05-13,23405076.0,
2011-05-31,28656105.0,
2011-06-15,24859657.0,
2011-06-30,24568603.0,2071.2495
2011-07-15,22639544.0,
2011-07-29,21335972.0,
2011-08-15,27635559.0,
2011-08-31,30775380.0,
2011-09-15,35411991.0,
2011-09-30,26561445.0,2056.4368
2011-10-14,28447545.0,
2011-10-31,23075983.0,
2011-11-15,22970640.0,
2011-11-30,24210153.0,
2011-12-15,23351300.0,
2011-12-30,19437315.0,
2011-12-31,,2044.4193
2012-01-13,17308444.0,
2012-01-31,13776606.0,
2012-02-15,14322318.0,
2012-02-29,16510654.0,
2012-03-15,17126239.0,
2012-03-30,16305377.0,
2012-03-31,,2034.9308
2012-04-13,18802228.0,
2012-04-30,20586664.0,
2012-05-15,19396269.0,
2012-05-31,20083281.0,
2012-06-15,50664965.0,
2012-06-29,48044038.0,
2012-06-30,,2032.8447
2012-07-13,50812633.0,
2012-07-31,49131122.0,
2012-08-15,44930595.0,
2012-08-31,44567906.0,
2012-09-14,44184398.0,
2012-09-28,41390639.0,
2012-09-30,,2025.1316
2012-10-15,39841333.0,
2012-10-31,39818851.0,
2012-11-15,41813525.0,
2012-11-30,42067943.0,
2012-12-14,38304823.0,
2012-12-31,37283706.0,2009.7403
2013-01-15,12323225.0,
2013-01-31,14296009.0,
2013-02-15,18979473.0,
2013-02-28,19501454.0,
2013-03-15,24550208.0,
2013-03-28,23829447.0,
2013-03-31,,2008.6691
2013-04-15,26087705.0,
2013-04-30,21113867.0,
2013-05-15,20381393.0,
2013-05-31,20097219.0,
2013-06-14,18785495.0,
2013-06-28,17512090.0,
2013-06-30,,2004.8059
2013-07-15,17769532.0,
2013-07-31,16971356.0,
2013-08-15,16031285.0,
2013-08-30,18031824.0,
2013-09-13,18964346.0,
2013-09-30,15558597.0,2000.2872
2013-10-15,13400191.0,
2013-10-31,14280210.0,
2013-11-15,17253652.0,
2013-11-29,17067017.0,
2013-12-13,17099301.0,
2013-12-31,18922922.0,1993.4793
2014-01-15,15889231.0,
2014-01-31,19620728.0,
2014-02-14,17152078.0,
2014-02-28,14957348.0,
2014-03-14,16789521.0,
2014-03-31,17252221.0,1986.7215
2014-04-15,17140967.0,
2014-04-30,15300641.0,
2014-05-15,18701343.0,
2014-05-30,19977664.0,
2014-06-13,23090116.0,
2014-06-30,20873376.0,1983.4488
2014-07-15,20072105.0,
2014-07-31,18948083.0,
2014-08-15,19124597.0,
2014-08-29,18644769.0,
2014-09-15,18611064.0,
2014-09-30,16922068.0,1977.0131
2014-10-15,17561408.0,
2014-10-31,17483162.0,
2014-11-14,17287238.0,
2014-11-28,16844898.0,
2014-12-15,16569503.0,
2014-12-31,13578871.0,1971.4745
2015-01-15,12608663.0,
2015-01-30,13019010.0,
2015-02-13,12161205.0,
2015-02-27,10423257.0,
2015-03-13,13122620.0,
2015-03-31,14265771.0,1967.1628
2015-04-15,12404420.0,
2015-04-30,11460667.0,
2015-05-15,11299452.0,
2015-05-29,8220791.0,
2015-06-15,10288083.0,
2015-06-30,9679102.0,1961.9664
2015-07-15,11199652.0,
2015-07-31,11449006.0,
2015-08-14,12087660.0,
2015-08-31,12687420.0,
2015-09-15,15091978.0,
2015-09-30,18052218.0,1960.6794
2015-10-15,16387918.0,
2015-10-30,13044920.0,
2015-11-13,9845977.0,
2015-11-30,10191469.0,
2015-12-15,9405035.0,
2015-12-31,8591386.0,1960.0595
2016-01-15,10631011.0,
2016-01-29,11517630.0,
2016-02-12,12199807.0,
2016-02-29,11136131.0,
2016-03-15,13896191.0,
2016-03-31,11617317.0,1956.7102
2016-04-15,12867423.0,
2016-04-29,10512789.0,
2016-05-13,8981054.0,
2016-05-31,9989888.0,
2016-06-15,10431722.0,
2016-06-30,12597367.0,1954.006
2016-07-15,13364642.0,
2016-07-29,11608312.0,
2016-08-15,11175969.0,
2016-08-31,9929807.0,
2016-09-15,9666689.0,
2016-09-30,9798677.0,1951.4029
2016-10-14,11146202.0,
2016-10-31,12548770.0,
2016-11-15,12049656.0,
2016-11-30,11888684.0,
2016-12-15,12513510.0,
2016-12-30,10244214.0,
2016-12-31,,1943.2722
2017-01-13,9109147.0,
2017-01-31,9900024.0,
2017-02-15,11949526.0,
2017-02-28,11067523.0,
2017-03-15,11419525.0,
2017-03-31,8468709.0,1935.1454
2017-04-13,7337993.0,
