Date,SHORT_INT,BS_SH_OUT
2006-01-13,2432952.0,
2006-02-15,4196948.0,
2006-03-15,5046304.0,
2006-03-31,,205.2
2006-04-13,4873337.0,
2006-05-15,4706495.0,
2006-06-15,5769102.0,
2006-06-30,,205.8
2006-07-14,5665534.0,
2006-08-15,10793481.0,
2006-09-15,13441981.0,
2006-09-30,,206.2
2006-10-13,7713530.0,
2006-11-15,7800039.0,
2006-12-15,8434301.0,
2006-12-31,,206.6
2007-01-12,8675490.0,
2007-02-15,8607303.0,
2007-03-15,6481774.0,
2007-03-31,,207.0
2007-04-13,6603490.0,
2007-05-15,5932576.0,
2007-06-15,6693403.0,
2007-06-30,,207.0
2007-07-13,7314443.0,
2007-08-15,8312715.0,
2007-09-14,7007938.0,
2007-09-28,7055511.0,
2007-09-30,,208.0
2007-10-15,5347120.0,
2007-10-31,5426214.0,
2007-11-15,4868387.0,
2007-11-30,5264130.0,
2007-12-14,4890194.0,
2007-12-31,4952920.0,208.3
2008-01-15,5059316.0,
2008-01-31,5586505.0,
2008-02-15,5007485.0,
2008-02-29,5636716.0,
2008-03-14,5913849.0,
2008-03-31,5211098.0,209.4
2008-04-15,5544652.0,
2008-04-30,5396937.0,
2008-05-15,5470061.0,
2008-05-30,5333546.0,
2008-06-13,4721470.0,
2008-06-30,5123723.0,210.1
2008-07-15,3940960.0,
2008-07-31,2589680.0,
2008-08-15,3624850.0,
2008-08-29,3459485.0,
2008-09-15,3084549.0,
2008-09-30,3529132.0,210.9
2008-10-15,2769844.0,
2008-10-31,2570248.0,
2008-11-14,2334367.0,
2008-11-28,2462053.0,
2008-12-15,2424442.0,
2008-12-31,3287425.0,212.3
2009-01-15,2847934.0,
2009-01-30,3120183.0,
2009-02-13,3845450.0,
2009-02-27,3624998.0,
2009-03-13,3600403.0,
2009-03-31,4854352.0,213.4
2009-04-15,4952171.0,
2009-04-30,5342624.0,
2009-05-15,6345619.0,
2009-05-29,7772618.0,
2009-06-15,8974362.0,
2009-06-30,8841798.0,214.2
2009-07-15,8466051.0,
2009-07-31,8059350.0,
2009-08-14,10905875.0,
2009-08-31,11029109.0,
2009-09-15,4391194.0,
2009-09-30,3731849.0,236.8
2009-10-15,4213490.0,
2009-10-30,4421765.0,
2009-11-13,5210676.0,
2009-11-30,4351632.0,
2009-12-15,3598601.0,
2009-12-31,4497391.0,237.4
2010-01-15,4336172.0,
2010-01-29,3933067.0,
2010-02-12,4671985.0,
2010-02-26,4484498.0,
2010-03-15,4761828.0,
2010-03-31,5679101.0,238.2
2010-04-15,5334863.0,
2010-04-30,6624618.0,
2010-05-14,7703384.0,
2010-05-28,6418596.0,
2010-06-15,6254725.0,
2010-06-30,6075638.0,239.1
2010-07-15,6717908.0,
2010-07-30,6869170.0,
2010-08-13,8911010.0,
2010-08-31,9262424.0,
2010-09-15,7183438.0,
2010-09-30,7012741.0,239.7
2010-10-15,7278135.0,
2010-10-29,6200470.0,
2010-11-15,6857890.0,
2010-11-30,7814235.0,
2010-12-15,7726333.0,
2010-12-31,7697616.0,240.4
2011-01-14,7868708.0,
2011-01-31,9083911.0,
2011-02-15,8639567.0,
2011-02-28,7379224.0,
2011-03-15,5982955.0,
2011-03-31,5488477.0,241.1
2011-04-15,6893795.0,
2011-04-29,5952977.0,
2011-05-13,5847941.0,
2011-05-31,5486938.0,
2011-06-15,5007930.0,
2011-06-30,5090877.0,241.6
2011-07-15,5147868.0,
2011-07-29,4232144.0,
2011-08-15,4196273.0,
2011-08-31,5464335.0,
2011-09-15,7982853.0,
2011-09-30,7235874.0,242.2
2011-10-14,4982025.0,
2011-10-31,4621198.0,
2011-11-15,3934786.0,
2011-11-30,4742039.0,
2011-12-15,4240655.0,
2011-12-30,3732008.0,
2011-12-31,,242.6
2012-01-13,2937711.0,
2012-01-31,3233922.0,
2012-02-15,3748656.0,
2012-02-29,3517717.0,
2012-03-15,4413771.0,
2012-03-30,4702434.0,
2012-03-31,,242.6
2012-04-13,4743646.0,
2012-04-30,4324503.0,
2012-05-15,4462917.0,
2012-05-31,3857712.0,
2012-06-15,3801343.0,
2012-06-29,2926158.0,
2012-06-30,,242.6
2012-07-13,3237431.0,
2012-07-31,2372316.0,
2012-08-15,2448082.0,
2012-08-31,1737961.0,
2012-09-14,1397979.0,
2012-09-28,1716638.0,
2012-09-30,,242.6
2012-10-15,1403419.0,
2012-10-31,2307651.0,
2012-11-15,1907523.0,
2012-11-30,1953391.0,
2012-12-14,1790430.0,
2012-12-31,1867362.0,242.6
2013-01-15,1499866.0,
2013-01-31,1946931.0,
2013-02-15,2025001.0,
2013-02-28,1861815.0,
2013-03-15,1899641.0,
2013-03-28,2180366.0,
2013-03-31,,242.6
2013-04-15,2542479.0,
2013-04-30,2758004.0,
2013-05-15,2845203.0,
2013-05-31,2775351.0,
2013-06-14,3603695.0,
2013-06-28,4323177.0,
2013-06-30,,242.6
2013-07-15,4695338.0,
2013-07-31,3239285.0,
2013-08-15,2729199.0,
2013-08-30,2716045.0,
2013-09-13,2408998.0,
2013-09-30,4341871.0,242.6
2013-10-15,3474209.0,
2013-10-31,4160002.0,
2013-11-15,4684117.0,
2013-11-29,5804440.0,
2013-12-13,6154824.0,
2013-12-31,4335672.0,242.6
2014-01-15,5119978.0,
2014-01-31,4434368.0,
2014-02-14,5448643.0,
2014-02-28,4067299.0,
2014-03-14,4660629.0,
2014-03-31,4758458.0,242.6
2014-04-15,6162553.0,
2014-04-30,6437049.0,
2014-05-15,6791619.0,
2014-05-30,6418746.0,
2014-06-13,6759728.0,
2014-06-30,7494640.0,242.6
2014-07-15,6547196.0,
2014-07-31,6861497.0,
2014-08-15,6467137.0,
2014-08-29,6367284.0,
2014-09-15,6141818.0,
2014-09-30,6248150.0,242.6
2014-10-15,6379574.0,
2014-10-31,4650946.0,
2014-11-14,5774916.0,
2014-11-28,5378805.0,
2014-12-15,4807508.0,
2014-12-31,4309730.0,242.6
2015-01-15,3319696.0,
2015-01-30,3767039.0,
2015-02-13,4505790.0,
2015-02-27,4308519.0,
2015-03-13,4900094.0,
2015-03-31,4713580.0,242.6
2015-04-15,4482910.0,
2015-04-30,4205260.0,
2015-05-15,4013171.0,
2015-05-29,3888332.0,
2015-06-15,4102208.0,
2015-06-30,4166571.0,242.6
2015-07-15,4300436.0,
2015-07-31,4533686.0,
2015-08-14,4031032.0,
2015-08-31,4213809.0,
2015-09-15,4183484.0,
2015-09-30,4458632.0,242.6
2015-10-15,3887413.0,
2015-10-30,3259576.0,
2015-11-13,3479766.0,
2015-11-30,3066669.0,
2015-12-15,3071516.0,
2015-12-31,3138533.0,242.6
2016-01-15,3586374.0,
2016-01-29,4628725.0,
2016-02-12,5450616.0,
2016-02-29,6542333.0,
2016-03-15,5787938.0,
2016-03-31,5337415.0,242.6
2016-04-15,5262483.0,
2016-04-29,4816504.0,
2016-05-13,5723894.0,
2016-05-31,6633944.0,
2016-06-15,6247861.0,
2016-06-30,5296729.0,242.6
2016-07-15,5335639.0,
2016-07-29,4973195.0,
2016-08-15,5574095.0,
2016-08-31,5408469.0,
2016-09-15,5650276.0,
2016-09-30,6190220.0,242.6
2016-10-14,6327610.0,
2016-10-31,6660281.0,
2016-11-15,6373133.0,
2016-11-30,6831424.0,
2016-12-15,7796379.0,
2016-12-30,7311172.0,
2016-12-31,,242.6
2017-01-13,6940906.0,
2017-01-31,6616420.0,
2017-02-15,7166541.0,
2017-02-28,7191279.0,
2017-03-15,7379763.0,
2017-03-31,8036282.0,242.6
2017-04-13,7804085.0,
2017-04-28,7662727.0,
