Date,SHORT_INT,BS_SH_OUT
2006-01-13,10468945.0,
2006-02-15,9407880.0,
2006-03-15,9856510.0,
2006-03-31,,173.0608
2006-04-13,9786690.0,
2006-05-15,9205640.0,
2006-06-15,8657610.0,
2006-06-30,,173.4102
2006-07-14,6975510.0,
2006-08-15,8498980.0,
2006-09-15,8498050.0,
2006-09-30,,173.9152
2006-10-13,9156985.0,
2006-11-15,10125310.0,
2006-12-15,11416295.0,
2006-12-31,,174.195
2007-01-12,10180495.0,
2007-02-15,11842430.0,
2007-03-15,12607615.0,
2007-03-31,,174.3269
2007-04-13,10302535.0,
2007-05-15,8319545.0,
2007-06-15,9472125.0,
2007-06-30,,174.5737
2007-07-13,18053310.0,
2007-08-15,16104670.0,
2007-09-14,16198715.0,
2007-09-28,11820860.0,
2007-09-30,,265.855
2007-10-15,13061580.0,
2007-10-31,12477865.0,
2007-11-15,11871740.0,
2007-11-30,11301505.0,
2007-12-14,13256470.0,
2007-12-31,11941400.0,266.405
2008-01-15,9300980.0,
2008-01-31,12311390.0,
2008-02-15,11753345.0,
2008-02-29,12330910.0,
2008-03-14,15491505.0,
2008-03-31,19582990.0,272.46
2008-04-15,21843710.0,
2008-04-30,22328865.0,
2008-05-15,20737815.0,
2008-05-30,22903680.0,
2008-06-13,21311190.0,
2008-06-30,23212580.0,272.59
2008-07-15,24255345.0,
2008-07-31,24345915.0,
2008-08-15,24157705.0,
2008-08-29,19187360.0,
2008-09-15,16311800.0,
2008-09-30,12985195.0,335.465
2008-10-15,15804305.0,
2008-10-31,16400530.0,
2008-11-14,14575055.0,
2008-11-28,13201305.0,
2008-12-15,14455630.0,
2008-12-31,12395730.0,332.1
2009-01-15,12768210.0,
2009-01-30,9989410.0,
2009-02-13,8974310.0,
2009-02-27,9909080.0,
2009-03-13,11316735.0,
2009-03-31,12702945.0,331.515
2009-04-15,12914480.0,
2009-04-30,11533950.0,
2009-05-15,14030445.0,
2009-05-29,13861210.0,
2009-06-15,12844520.0,
2009-06-30,11483720.0,331.865
2009-07-15,10035470.0,
2009-07-31,9053875.0,
2009-08-14,9701370.0,
2009-08-31,8934365.0,
2009-09-15,8841770.0,
2009-09-30,9235765.0,332.015
2009-10-15,8313355.0,
2009-10-30,9390265.0,
2009-11-13,8149240.0,
2009-11-30,9358845.0,
2009-12-15,10811710.0,
2009-12-31,9151640.0,332.57
2010-01-15,10877855.0,
2010-01-29,8131580.0,
2010-02-12,8153370.0,
2010-02-26,8352530.0,
2010-03-15,9103355.0,
2010-03-31,7552425.0,328.02
2010-04-15,6469390.0,
2010-04-30,6694045.0,
2010-05-14,6831100.0,
2010-05-28,6767415.0,
2010-06-15,6129420.0,
2010-06-30,6604745.0,327.94
2010-07-15,5046700.0,
2010-07-30,5426070.0,
2010-08-13,4850770.0,
2010-08-31,6196465.0,
2010-09-15,5916000.0,
2010-09-30,6246840.0,333.98
2010-10-15,5897620.0,
2010-10-29,6120740.0,
2010-11-15,6614430.0,
2010-11-30,6329605.0,
2010-12-15,7672370.0,
2010-12-31,6890200.0,334.25
2011-01-14,5824505.0,
2011-01-31,5792505.0,
2011-02-15,5262930.0,
2011-02-28,4469725.0,
2011-03-15,4021350.0,
2011-03-31,3783395.0,334.325
2011-04-15,4713410.0,
2011-04-29,4676275.0,
2011-05-13,4468780.0,
2011-05-31,4853290.0,
2011-06-15,4777725.0,
2011-06-30,5280780.0,333.35
2011-07-15,6408155.0,
2011-07-29,5347475.0,
2011-08-15,5739670.0,
2011-08-31,6284875.0,
2011-09-15,7889960.0,
2011-09-30,5920560.0,330.61
