Date,SHORT_INT,BS_SH_OUT
2006-01-13,15105966.0,
2006-02-15,14812975.0,
2006-03-15,14152164.0,
2006-03-31,,289.5547
2006-04-13,12954650.0,
2006-05-15,17562961.0,
2006-06-15,18136694.0,
2006-06-30,,292.0458
2006-07-14,18769818.0,
2006-08-15,16984192.0,
2006-09-15,16541685.0,
2006-09-30,,292.4826
2006-10-13,17323193.0,
2006-11-15,16486383.0,
2006-12-15,13598557.0,
2006-12-31,,292.3804
2007-01-12,13184294.0,
2007-02-15,13536780.0,
2007-03-15,5392034.0,
2007-03-31,,292.8132
2007-04-13,4381697.0,
2007-05-15,3333224.0,
2007-06-15,3396457.0,
2007-06-30,,294.1332
2007-07-13,3660115.0,
2007-08-15,2240711.0,
2007-09-14,2625330.0,
2007-09-28,4048521.0,
2007-09-30,,294.1627
2007-10-15,3852005.0,
2007-10-31,4431540.0,
2007-11-15,4863706.0,
2007-11-30,5258810.0,
2007-12-14,4972312.0,
2007-12-31,4730806.0,294.2729
2008-01-15,6341183.0,
2008-01-31,4409850.0,
2008-02-15,6163242.0,
2008-02-29,6620054.0,
2008-03-14,7423112.0,
2008-03-31,6060642.0,296.7731
2008-04-15,6286392.0,
2008-04-30,5922556.0,
2008-05-15,6016711.0,
2008-05-30,6117830.0,
2008-06-13,6299753.0,
2008-06-30,6277176.0,296.9674
2008-07-15,6370813.0,
2008-07-31,6695710.0,
2008-08-15,6358284.0,
2008-08-29,6822598.0,
2008-09-15,6837412.0,
2008-09-30,4819728.0,297.0728
2008-10-15,4989602.0,
2008-10-31,5410063.0,
2008-11-14,5236811.0,
2008-11-28,5349004.0,
2008-12-15,7062121.0,
2008-12-31,6779101.0,297.1316
2009-01-15,7730530.0,
2009-01-30,7533954.0,
2009-02-13,6784765.0,
2009-02-27,5811822.0,
2009-03-13,5658172.0,
2009-03-31,4919649.0,301.9363
2009-04-15,4966429.0,
2009-04-30,4035153.0,
2009-05-15,3987918.0,
2009-05-29,5031668.0,
2009-06-15,4933715.0,
2009-06-30,5995579.0,301.1861
2009-07-15,5349174.0,
2009-07-31,3767898.0,
2009-08-14,2594276.0,
2009-08-31,2382774.0,
2009-09-15,2582014.0,
2009-09-30,1662580.0,301.7346
2009-10-15,1766546.0,
2009-10-30,1923695.0,
2009-11-13,1647266.0,
2009-11-30,1394346.0,
2009-12-15,1219461.0,
2009-12-31,1102939.0,302.0224
2010-01-15,1217796.0,
2010-01-29,3625146.0,
2010-02-12,3596057.0,
2010-02-26,2732983.0,
2010-03-15,2943962.0,
2010-03-31,2223290.0,305.6157
2010-04-15,2559026.0,
2010-04-30,2786270.0,
2010-05-14,2528887.0,
2010-05-28,2695074.0,
2010-06-15,3012601.0,
2010-06-30,2995343.0,304.7844
2010-07-15,2572867.0,
2010-07-30,2234848.0,
2010-08-13,2808362.0,
2010-08-31,3061590.0,
2010-09-15,3120893.0,
2010-09-30,3233821.0,300.068
2010-10-15,4021901.0,
2010-10-29,4185233.0,
2010-11-15,4457193.0,
2010-11-30,5797899.0,
2010-12-15,4782900.0,
2010-12-31,8613389.0,295.2035
2011-01-14,8329674.0,
2011-01-31,6322659.0,
2011-02-15,6370211.0,
2011-02-28,5366485.0,
2011-03-15,5343736.0,
2011-03-31,4439381.0,289.3889
2011-04-15,3889199.0,
2011-04-29,3662225.0,
2011-05-13,4586025.0,
2011-05-31,5211977.0,
2011-06-15,5493501.0,
2011-06-30,7006474.0,285.3907
2011-07-15,8377995.0,
2011-07-29,7111120.0,
2011-08-15,5858321.0,
2011-08-31,6372636.0,
2011-09-15,7789515.0,
2011-09-30,7391372.0,279.4531
2011-10-14,8364455.0,
2011-10-31,7885138.0,
2011-11-15,7840658.0,
2011-11-30,7579338.0,
2011-12-15,7088956.0,
2011-12-30,8079944.0,
2011-12-31,,274.3079
2012-01-13,7783641.0,
2012-01-31,8303276.0,
2012-02-15,8539957.0,
2012-02-29,10226611.0,
2012-03-15,12233610.0,
2012-03-30,11976763.0,
2012-03-31,,210.5611
2012-04-13,12280998.0,
2012-04-30,12347364.0,
2012-05-15,11496735.0,
2012-05-31,12191063.0,
2012-06-15,12154154.0,
2012-06-29,11599755.0,
2012-06-30,,266.4141
2012-07-13,11967562.0,
2012-07-31,10856296.0,
2012-08-15,12556305.0,
2012-08-31,12966006.0,
2012-09-14,13794651.0,
2012-09-28,12646516.0,
2012-09-30,,263.1068
2012-10-15,10517269.0,
2012-10-31,10936480.0,
2012-11-15,11993577.0,
2012-11-30,10848134.0,
2012-12-14,10379828.0,
2012-12-31,10445649.0,264.6988
2013-01-15,9344568.0,
2013-01-31,9725316.0,
2013-02-15,12463769.0,
2013-02-28,11423745.0,
2013-03-15,16582714.0,
2013-03-28,18492589.0,
2013-03-31,,213.0999
2013-04-15,18694972.0,
2013-04-30,19064997.0,
2013-05-15,21275994.0,
2013-05-31,20650558.0,
2013-06-14,21344080.0,
2013-06-28,21250420.0,
2013-06-30,,267.1552
2013-07-15,19891287.0,
2013-07-31,18805086.0,
2013-08-15,18291551.0,
2013-08-30,18993816.0,
2013-09-13,19648248.0,
2013-09-30,19871618.0,267.6854
2013-10-15,23340752.0,
2013-10-31,29322936.0,
2013-11-15,32231466.0,
2013-11-29,36084862.0,
2013-12-13,36483675.0,
2013-12-31,35993798.0,267.7363
2014-01-15,38130510.0,
2014-01-31,42770261.0,
2014-02-14,43930448.0,
2014-02-28,44443548.0,
2014-03-14,43815457.0,
2014-03-31,46602723.0,216.3638
2014-04-15,44091464.0,
2014-04-30,44283172.0,
2014-05-15,47689601.0,
2014-05-30,49618833.0,
2014-06-13,54819735.0,
2014-06-30,54299750.0,271.1832
2014-07-15,55644454.0,
2014-07-31,53920407.0,
2014-08-15,53989375.0,
2014-08-29,53974060.0,
2014-09-15,54001845.0,
2014-09-30,53924693.0,273.4208
2014-10-15,55836463.0,
2014-10-31,54874418.0,
2014-11-14,55423895.0,
2014-11-28,55630735.0,
2014-12-15,55699557.0,
2014-12-31,56636972.0,274.3576
2015-01-15,54090618.0,
2015-01-30,54923816.0,
2015-02-13,56411507.0,
2015-02-27,58489034.0,
2015-03-13,60987048.0,
2015-03-31,59531436.0,275.7052
2015-04-15,59419182.0,
2015-04-30,54512272.0,
2015-05-15,49043454.0,
2015-05-29,43719860.0,
2015-06-15,38636109.0,
2015-06-30,33339045.0,276.4496
2015-07-15,31966113.0,
2015-07-31,29676241.0,
2015-08-14,28362229.0,
2015-08-31,28449293.0,
2015-09-15,33445489.0,
2015-09-30,12630327.0,276.673
2015-10-15,14287981.0,
2015-10-30,10101655.0,
2015-11-13,11835008.0,
2015-11-30,12199301.0,
2015-12-15,11621978.0,
2015-12-31,9514037.0,276.7099
2016-01-15,10518827.0,
2016-01-29,10963506.0,
2016-02-12,8677288.0,
2016-02-29,8410606.0,
2016-03-15,8991948.0,
2016-03-31,8252832.0,276.3266
2016-04-15,8187730.0,
2016-04-29,6800286.0,
2016-05-13,8000177.0,
2016-05-31,11530669.0,
2016-06-15,12421362.0,
2016-06-30,,276.7099
2016-09-30,,276.7099
