Date,BS_SH_OUT,SHORT_INT
2006-01-13,,48120897.0
2006-01-28,6152.0,
2006-02-15,,28733432.0
2006-03-15,,39980303.0
2006-04-13,,42377578.0
2006-04-29,6164.0,
2006-05-15,,39314166.0
2006-06-15,,43398554.0
2006-07-14,,39085977.0
2006-07-29,6059.0,
2006-08-15,,55385194.0
2006-09-15,,62307154.0
2006-10-13,,58656563.0
2006-10-28,6062.0,
2006-11-15,,58824282.0
2006-12-15,,63173253.0
2007-01-12,,64319369.0
2007-01-27,6048.0,
2007-02-15,,42509610.0
2007-03-15,,54796578.0
2007-04-13,,51298352.0
2007-04-28,6054.0,
2007-05-15,,46757651.0
2007-06-15,,50542665.0
2007-07-13,,58785483.0
2007-07-28,6100.0,
2007-08-15,,57451095.0
2007-09-14,,48320370.0
2007-09-28,,46028129.0
2007-10-15,,43892804.0
2007-10-27,6082.0,
2007-10-31,,39872442.0
2007-11-15,,40385170.0
2007-11-30,,39237262.0
2007-12-14,,36723164.0
2007-12-31,,37082698.0
2008-01-15,,37332579.0
2008-01-26,5975.0,
2008-01-31,,40488051.0
2008-02-15,,45371354.0
2008-02-29,,48631811.0
2008-03-14,,73069889.0
2008-03-31,,69663513.0
2008-04-15,,62903410.0
2008-04-26,5912.0,
2008-04-30,,56957357.0
2008-05-15,,51065027.0
2008-05-30,,50936576.0
2008-06-13,,64932544.0
2008-06-30,,72583428.0
2008-07-15,,68412717.0
2008-07-26,5893.0,
2008-07-31,,69269578.0
2008-08-15,,60078726.0
2008-08-29,,61385846.0
2008-09-15,,67684976.0
2008-09-30,,60695233.0
2008-10-15,,56563933.0
2008-10-25,5864.0,
2008-10-31,,61434294.0
2008-11-14,,47370952.0
2008-11-28,,47991497.0
2008-12-15,,49225913.0
2008-12-31,,52145906.0
2009-01-15,,61344073.0
2009-01-24,5844.0,
2009-01-30,,60062849.0
2009-02-13,,61887453.0
2009-02-27,,56530581.0
2009-03-13,,68721739.0
2009-03-31,,76609376.0
2009-04-15,,75147387.0
2009-04-25,5772.0,
2009-04-30,,68606562.0
2009-05-15,,50875300.0
2009-05-29,,43894353.0
2009-06-15,,51816216.0
2009-06-30,,59055509.0
2009-07-15,,56686495.0
2009-07-25,5785.0,
2009-07-31,,51583770.0
2009-08-14,,44231482.0
2009-08-31,,42604450.0
2009-09-15,,43380455.0
2009-09-30,,40211491.0
2009-10-15,,47248034.0
2009-10-24,5751.0,
2009-10-30,,44535891.0
2009-11-13,,42382898.0
2009-11-30,,43299168.0
2009-12-15,,39310763.0
2009-12-31,,39220310.0
2010-01-15,,39954728.0
2010-01-23,5734.0,
2010-01-29,,32486374.0
2010-02-12,,52066540.0
2010-02-26,,48106462.0
2010-03-15,,53873982.0
2010-03-31,,48569587.0
2010-04-15,,44583545.0
2010-04-30,,45162100.0
2010-05-01,5722.0,
2010-05-14,,40336703.0
2010-05-28,,40041576.0
2010-06-15,,50386006.0
2010-06-30,,37071125.0
2010-07-15,,41642216.0
2010-07-30,,40569007.0
2010-07-31,5655.0,
2010-08-13,,41746197.0
2010-08-31,,52414978.0
2010-09-15,,47365804.0
2010-09-30,,48252195.0
2010-10-15,,49591616.0
2010-10-29,,46587512.0
2010-10-30,5577.0,
2010-11-15,,39244831.0
2010-11-30,,40415386.0
2010-12-15,,41584747.0
2010-12-31,,41156401.0
2011-01-14,,43305378.0
2011-01-29,5533.0,
2011-01-31,,39156157.0
2011-02-15,,53484160.0
2011-02-28,,55837318.0
2011-03-15,,62558972.0
2011-03-31,,54572759.0
2011-04-15,,56671161.0
2011-04-29,,48495428.0
2011-04-30,5501.0,
2011-05-13,,52246464.0
2011-05-31,,59990081.0
2011-06-15,,65158416.0
2011-06-30,,59667361.0
2011-07-15,,71202394.0
2011-07-29,,73159075.0
2011-07-30,5435.0,
2011-08-15,,73498070.0
2011-08-31,,93719993.0
2011-09-15,,96469546.0
2011-09-30,,85896812.0
2011-10-14,,80654410.0
2011-10-29,5371.0,
2011-10-31,,71877446.0
2011-11-15,,61831133.0
2011-11-30,,72651554.0
2011-12-15,,67364986.0
2011-12-30,,63605591.0
2012-01-13,,60636580.0
2012-01-28,5378.0,
2012-01-31,,57664095.0
2012-02-15,,52620626.0
2012-02-29,,52434453.0
2012-03-15,,48933705.0
2012-03-30,,46098410.0
2012-04-13,,43200498.0
2012-04-28,5383.0,
2012-04-30,,50487316.0
2012-05-15,,48787856.0
2012-05-31,,83076513.0
2012-06-15,,71394995.0
2012-06-29,,66893641.0
2012-07-13,,57942237.0
2012-07-28,5298.0,
2012-07-31,,52388992.0
2012-08-15,,57213687.0
2012-08-31,,58240036.0
2012-09-14,,52547374.0
2012-09-28,,54120725.0
2012-10-15,,55452158.0
2012-10-29,5311.0,
2012-10-31,,64616503.0
2012-11-15,,72077748.0
2012-11-30,,76188712.0
2012-12-14,,62925327.0
2012-12-31,,53667165.0
2013-01-15,,58245707.0
2013-01-26,5323.0,
2013-01-31,,56795221.0
2013-02-15,,55107933.0
2013-02-28,,61504103.0
2013-03-15,,61814943.0
2013-03-28,,53870070.0
2013-04-15,,57997910.0
2013-04-27,5315.0,
2013-04-30,,58700286.0
2013-05-15,,54118170.0
2013-05-31,,54738583.0
2013-06-14,,59496375.0
2013-06-28,,51222283.0
2013-07-15,,55346908.0
2013-07-27,5389.0,
2013-07-31,,53417333.0
2013-08-15,,49319643.0
2013-08-30,,53849027.0
2013-09-13,,57236164.0
2013-09-30,,60604608.0
2013-10-15,,50861735.0
2013-10-26,5351.0,
2013-10-31,,51493780.0
2013-11-15,,52372628.0
2013-11-29,,60511289.0
2013-12-13,,62848412.0
2013-12-31,,59586724.0
2014-01-15,,59761011.0
2014-01-25,5191.0,
2014-01-31,,59117488.0
2014-02-14,,71360355.0
2014-02-28,,65926986.0
2014-03-14,,73809335.0
2014-03-31,,72237904.0
2014-04-15,,75490266.0
2014-04-26,5116.0,
2014-04-30,,73104530.0
2014-05-15,,75663677.0
2014-05-30,,65847388.0
2014-06-13,,67655214.0
2014-06-30,,69418158.0
2014-07-15,,70622550.0
2014-07-26,5107.0,
2014-07-31,,72138151.0
2014-08-15,,63934683.0
2014-08-29,,63071047.0
2014-09-15,,57195132.0
2014-09-30,,54087937.0
2014-10-15,,60645444.0
2014-10-25,5109.0,
2014-10-31,,72730657.0
2014-11-14,,72736500.0
2014-11-28,,66960971.0
2014-12-15,,61103226.0
2014-12-31,,57353874.0
2015-01-15,,50054895.0
