Date,SHORT_INT,BS_SH_OUT
2006-01-13,27524697.0,
2006-02-15,41232183.0,
2006-03-15,47052270.0,
2006-03-31,,3155.1191
2006-04-13,46694508.0,
2006-05-15,40134111.0,
2006-06-15,33160539.0,
2006-06-30,,3139.1926
2006-07-14,33499740.0,
2006-08-15,29810096.0,
2006-09-15,26684864.0,
2006-09-30,,3121.7199
2006-10-13,37841549.0,
2006-11-15,20066868.0,
2006-12-15,20577332.0,
2007-01-12,18890901.0,
2007-02-15,16131237.0,
2007-03-15,12922993.0,
2007-03-31,,3112.0452
2007-04-13,9725237.0,
2007-05-15,10566355.0,
2007-06-15,25194044.0,
2007-06-30,,3090.6094
2007-07-13,29178901.0,
2007-08-15,25329648.0,
2007-09-14,25143326.0,
2007-09-28,14047638.0,
2007-09-30,,3073.1713
2007-10-15,15547561.0,
2007-10-31,21160551.0,
2007-11-15,15146114.0,
2007-11-30,23509587.0,
2007-12-14,33727631.0,
2007-12-31,35718205.0,3555.9229
2008-01-15,33431334.0,
2008-01-31,24895712.0,
2008-02-15,20985136.0,
2008-02-29,19913902.0,
2008-03-14,19619745.0,
2008-03-31,17072243.0,2960.927
2008-04-15,15759652.0,
2008-04-30,18049153.0,
2008-05-15,19812015.0,
2008-05-30,19987145.0,
2008-06-13,24810990.0,
2008-06-30,23124799.0,2918.1732
2008-07-15,27008228.0,
2008-07-31,30652060.0,
2008-08-15,27627723.0,
2008-08-29,25558163.0,
2008-09-15,26564061.0,
2008-09-30,25615687.0,2879.778
2008-10-15,19289973.0,
2008-10-31,15312821.0,
2008-11-14,14512887.0,
2008-11-28,13155475.0,
2008-12-15,9279863.0,
2008-12-31,10326255.0,2880.6383
2009-01-15,10946357.0,
2009-01-30,12296112.0,
2009-02-13,11845680.0,
2009-02-27,11838714.0,
2009-03-13,8560356.0,
2009-03-31,9770524.0,2883.3759
2009-04-15,7713204.0,
2009-04-30,5307224.0,
2009-05-15,5121624.0,
2009-05-29,4771669.0,
2009-06-15,5816971.0,
2009-06-30,9689136.0,2869.7946
2009-07-15,8100861.0,
2009-07-31,5174817.0,
2009-08-14,5381835.0,
2009-08-31,5591627.0,
2009-09-15,9143893.0,
2009-09-30,8432211.0,2854.6835
2009-10-15,7472403.0,
2009-10-30,8637174.0,
2009-11-13,9695932.0,
2009-11-30,7149283.0,
2009-12-15,7579678.0,
2009-12-31,5200230.0,2837.5738
2010-01-15,12497199.0,
2010-01-29,14465517.0,
2010-02-12,7411412.0,
2010-02-26,7850549.0,
2010-03-15,9030992.0,
2010-03-31,10928419.0,2821.6177
2010-04-15,14347703.0,
2010-04-30,11902209.0,
2010-05-14,10516380.0,
2010-05-28,11620107.0,
2010-06-15,11393473.0,
2010-06-30,9010952.0,2806.5724
2010-07-15,12582351.0,
2010-07-30,8480525.0,
2010-08-13,6682999.0,
2010-08-31,6664423.0,
2010-09-15,6471474.0,
2010-09-30,6637591.0,2790.1135
2010-10-15,14053897.0,
2010-10-29,14768743.0,
2010-11-15,15557765.0,
2010-11-30,7769600.0,
2010-12-15,7505186.0,
2010-12-31,7010027.0,2776.4992
2011-01-14,17834719.0,
2011-01-31,13945828.0,
2011-02-15,13072739.0,
2011-02-28,12842539.0,
2011-03-15,13593381.0,
2011-03-31,14516495.0,2766.195
2011-04-15,15330855.0,
2011-04-29,15001526.0,
2011-05-13,15693714.0,
2011-05-31,30740237.0,
2011-06-15,29353775.0,
2011-06-30,14650517.0,2749.1131
2011-07-15,22274504.0,
2011-07-29,20407567.0,
2011-08-15,23023430.0,
2011-08-31,24656731.0,
2011-09-15,20471850.0,
2011-09-30,18018184.0,2724.841
2011-10-14,23441446.0,
2011-10-31,16247984.0,
2011-11-15,12806422.0,
2011-11-30,14015202.0,
2011-12-15,14591398.0,
2011-12-30,14415061.0,
2011-12-31,,2705.9337
2012-01-13,10916622.0,
2012-01-31,6441615.0,
2012-02-15,5789581.0,
2012-02-29,6687136.0,
2012-03-15,7048886.0,
2012-03-30,7419799.0,
2012-03-31,,2696.1699
2012-04-13,17421049.0,
2012-04-30,18211206.0,
2012-05-15,17879272.0,
2012-05-31,17712973.0,
2012-06-15,10646767.0,
2012-06-29,8181097.0,
2012-06-30,,2675.8261
2012-07-13,14344246.0,
2012-07-31,8660571.0,
2012-08-15,6969064.0,
2012-08-31,6390842.0,
2012-09-14,6841309.0,
2012-09-28,6998918.0,
2012-09-30,,2657.263
2012-10-15,11849571.0,
2012-10-31,8200428.0,
2012-11-15,7003349.0,
2012-11-30,13794727.0,
2012-12-14,13978484.0,
2012-12-31,13808549.0,2639.4925
2013-01-15,11929477.0,
2013-01-31,6716032.0,
2013-02-15,5160684.0,
2013-02-28,7305926.0,
2013-03-15,6145424.0,
2013-03-28,5996834.0,
2013-03-31,,2633.415
2013-04-15,8647686.0,
2013-04-30,5280657.0,
2013-05-15,5194321.0,
2013-05-31,4244246.0,
2013-06-14,4615440.0,
2013-06-28,4184919.0,
2013-06-30,,2624.9115
2013-07-15,7997270.0,
2013-07-31,5874019.0,
2013-08-15,4792336.0,
2013-08-30,5677139.0,
2013-09-13,5765896.0,
2013-09-30,4663964.0,2615.4273
2013-10-15,8680533.0,
2013-10-31,6945112.0,
2013-11-15,6227616.0,
2013-11-29,8385207.0,
2013-12-13,6414847.0,
2013-12-31,5264924.0,2606.5497
2014-01-15,8311115.0,
2014-01-31,5178622.0,
2014-02-14,4435634.0,
