Date,SHORT_INT,BS_SH_OUT
2007-03-31,,59.1671
2007-06-30,,59.1671
2007-08-15,16281.0,
2007-09-14,13763.0,
2007-09-28,76788.0,
2007-09-30,,75.7505
2007-10-15,1330497.0,
2007-10-31,1311106.0,
2007-11-15,1359513.0,
2007-11-30,1368653.0,
2007-12-14,1480658.0,
2007-12-31,1319833.0,75.8323
2008-01-15,1428702.0,
2008-01-31,1356509.0,
2008-02-15,1390535.0,
2008-02-29,1377728.0,
2008-03-14,1547361.0,
2008-03-31,1488712.0,75.9737
2008-04-15,1390744.0,
2008-04-30,1365175.0,
2008-05-15,1373559.0,
2008-05-30,1537599.0,
2008-06-13,1834168.0,
2008-06-30,1868797.0,76.1371
2008-07-15,3897201.0,
2008-07-31,3470238.0,
2008-08-15,3011930.0,
2008-08-29,2782266.0,
2008-09-15,3863240.0,
2008-09-30,4363080.0,84.6176
2008-10-15,3540084.0,
2008-10-31,4109934.0,
2008-11-14,2794644.0,
2008-11-28,3210452.0,
2008-12-15,3284269.0,
2008-12-31,2727062.0,84.8257
2009-01-15,2238885.0,
2009-01-30,2137169.0,
2009-02-13,2068993.0,
2009-02-27,1860714.0,
2009-03-13,2825844.0,
2009-03-31,2405247.0,85.1636
2009-04-15,2217895.0,
2009-04-30,2075142.0,
2009-05-15,2501025.0,
2009-05-29,2852067.0,
2009-06-15,2747498.0,
2009-06-30,2666871.0,85.5203
2009-07-15,2033684.0,
2009-07-31,1774073.0,
2009-08-14,1968837.0,
2009-08-31,1549162.0,
2009-09-15,1589206.0,
2009-09-30,1635457.0,85.5931
2009-10-15,1494291.0,
2009-10-30,1383640.0,
2009-11-13,2298693.0,
2009-11-30,2011114.0,
2009-12-15,1712350.0,
2009-12-31,1512572.0,85.8035
2010-01-15,1503288.0,
2010-01-29,1785014.0,
2010-02-12,2227948.0,
2010-02-26,1714416.0,
2010-03-15,2698823.0,
2010-03-31,3791489.0,91.5384
2010-04-15,3506910.0,
2010-04-30,2876166.0,
2010-05-14,2415412.0,
2010-05-28,2640062.0,
2010-06-15,4232021.0,
2010-06-30,4424584.0,91.828
2010-07-15,4083374.0,
2010-07-30,4196687.0,
2010-08-13,3785885.0,
2010-08-31,3686784.0,
2010-09-15,4029628.0,
2010-09-30,3878739.0,91.8818
2010-10-15,4112631.0,
2010-10-29,4231381.0,
2010-11-15,4648093.0,
2010-11-30,5018835.0,
2010-12-15,5244144.0,
2010-12-31,3662251.0,102.8101
2011-01-14,3871843.0,
2011-01-31,3705286.0,
2011-02-15,3700940.0,
2011-02-28,4379005.0,
2011-03-15,3327939.0,
2011-03-31,1970000.0,103.3704
2011-04-15,2349832.0,
2011-04-29,2875368.0,
2011-05-13,2428240.0,
2011-05-31,2223695.0,
2011-06-15,2836509.0,
2011-06-30,2795430.0,103.4808
2011-07-15,2811693.0,
2011-07-29,2908819.0,
2011-08-15,3008127.0,
2011-08-31,3374396.0,
2011-09-15,3390659.0,
2011-09-30,3365936.0,103.673
2011-10-14,3057808.0,
2011-10-31,3612906.0,
2011-11-15,4425041.0,
2011-11-30,4041983.0,
2011-12-15,4040076.0,
2011-12-30,3092090.0,
2011-12-31,,103.7002
2012-01-13,3073069.0,
2012-01-31,2906775.0,
2012-02-15,3288815.0,
2012-02-29,2576211.0,
2012-03-15,2063060.0,
2012-03-30,1920261.0,
2012-03-31,,104.0194
2012-04-13,1861923.0,
2012-04-30,2239395.0,
2012-05-15,1679207.0,
2012-05-31,2340501.0,
2012-06-15,2677043.0,
2012-06-29,1990685.0,
2012-06-30,,104.3064
2012-07-13,2227961.0,
2012-07-31,2369352.0,
2012-08-15,2912535.0,
2012-08-31,2659265.0,
2012-09-14,2619620.0,
2012-09-28,2879502.0,
2012-09-30,,104.5852
2012-10-15,2390682.0,
2012-10-31,1973874.0,
2012-11-15,1936803.0,
2012-11-30,2081567.0,
2012-12-14,2155519.0,
2012-12-31,2021679.0,104.5816
2013-01-15,1712312.0,
2013-01-31,2024664.0,
2013-02-15,2164544.0,
2013-02-28,2010024.0,
2013-03-15,1678810.0,
2013-03-28,2130740.0,
2013-03-31,,104.7303
2013-04-15,2082990.0,
2013-04-30,2308553.0,
2013-05-15,1907489.0,
2013-05-31,1901680.0,
2013-06-14,2888113.0,
2013-06-28,2903929.0,
2013-06-30,,104.9984
2013-07-15,2744745.0,
2013-07-31,2996991.0,
2013-08-15,3942062.0,
2013-08-30,3694294.0,
2013-09-13,3945073.0,
2013-09-30,3695392.0,105.0687
2013-10-15,3495607.0,
2013-10-31,3302362.0,
2013-11-15,3441558.0,
2013-11-29,3551317.0,
2013-12-13,3596032.0,
2013-12-31,3309360.0,105.0955
2014-01-15,3190956.0,
2014-01-31,2752354.0,
