Date,BS_SH_OUT,SHORT_INT
2006-01-13,,6922924.0
2006-02-15,,6001338.0
2006-03-15,,7654448.0
2006-03-31,182.9367,
2006-04-13,,10849180.0
2006-05-15,,8321354.0
2006-06-15,,7318585.0
2006-06-30,183.3365,
2006-07-14,,10869494.0
2006-08-15,,7926360.0
2006-09-15,,6977843.0
2006-09-30,182.6047,
2006-10-13,,5824262.0
2006-11-15,,6202879.0
2006-12-15,,6833297.0
2006-12-31,182.6546,
2007-01-12,,6135293.0
2007-02-15,,5849406.0
2007-03-15,,5801498.0
2007-03-31,182.0201,
2007-04-13,,7410541.0
2007-05-15,,6971705.0
2007-06-15,,8224303.0
2007-06-30,182.3233,
2007-07-13,,7895839.0
2007-08-15,,5875262.0
2007-09-14,,4395144.0
2007-09-28,,4024274.0
2007-09-30,181.246,
2007-10-15,,5141846.0
2007-10-31,,5025020.0
2007-11-15,,4406129.0
2007-11-30,,5165028.0
2007-12-14,,5417578.0
2007-12-31,182.2916,5532343.0
2008-01-15,,5438384.0
2008-01-31,,6642566.0
2008-02-15,,6371440.0
2008-02-29,,6504617.0
2008-03-14,,6929881.0
2008-03-31,182.7264,6054703.0
2008-04-15,,5390835.0
2008-04-30,,5457204.0
2008-05-15,,6997072.0
2008-05-30,,6207347.0
2008-06-13,,6401242.0
2008-06-30,183.1503,7250668.0
2008-07-15,,7217540.0
2008-07-31,,6417929.0
2008-08-15,,6711002.0
2008-08-29,,6938610.0
2008-09-15,,7490541.0
2008-09-30,182.0853,7679499.0
2008-10-15,,7370402.0
2008-10-31,,5387425.0
2008-11-14,,6245907.0
2008-11-28,,6397054.0
2008-12-15,,6363714.0
2008-12-31,180.5499,5873899.0
2009-01-15,,5932858.0
2009-01-30,,4796978.0
2009-02-13,,4888939.0
2009-02-27,,4591614.0
2009-03-13,,5199940.0
2009-03-31,180.6037,5998433.0
2009-04-15,,5571812.0
2009-04-30,,5086396.0
2009-05-15,,5425594.0
2009-05-29,,5122050.0
2009-06-15,,5149437.0
2009-06-30,180.6651,4429748.0
2009-07-15,,3807341.0
2009-07-31,,3748219.0
2009-08-14,,4820541.0
2009-08-31,,4643497.0
2009-09-15,,4904301.0
2009-09-30,180.7719,6291340.0
2009-10-15,,5956385.0
2009-10-30,,5882967.0
2009-11-13,,5513273.0
2009-11-30,,5272893.0
2009-12-15,,5076483.0
2009-12-31,181.0863,5346645.0
2010-01-15,,4437323.0
2010-01-29,,3446352.0
2010-02-12,,2994343.0
2010-02-26,,3505192.0
2010-03-15,,3857045.0
2010-03-31,225.6647,3229671.0
2010-04-15,,4179716.0
2010-04-30,,4271814.0
2010-05-14,,4706843.0
2010-05-28,,3297915.0
2010-06-15,,4373863.0
2010-06-30,225.7543,4511107.0
2010-07-15,,4023213.0
2010-07-30,,3516446.0
2010-08-13,,3790290.0
2010-08-31,,4193167.0
2010-09-15,,4463788.0
2010-09-30,225.8029,6092290.0
2010-10-15,,6561700.0
2010-10-29,,5325439.0
2010-11-15,,6311952.0
2010-11-30,,6710656.0
2010-12-15,,5603057.0
2010-12-31,226.1621,5870805.0
2011-01-14,,6171959.0
2011-01-31,,4762150.0
2011-02-15,,5839768.0
2011-02-28,,6199381.0
2011-03-15,,6006008.0
2011-03-31,226.5906,5350150.0
2011-04-15,,4119024.0
2011-04-29,,3434639.0
2011-05-13,,3325522.0
2011-05-31,,4142843.0
2011-06-15,,4689301.0
2011-06-30,226.6952,4254409.0
2011-07-15,,3808516.0
2011-07-29,,3567302.0
2011-08-15,,4150447.0
2011-08-31,,6220813.0
2011-09-15,,6655043.0
2011-09-30,226.7814,6145744.0
2011-10-14,,6162474.0
2011-10-31,,6323906.0
2011-11-15,,6541511.0
2011-11-30,,5915338.0
2011-12-15,,5409487.0
2011-12-30,,5318459.0
2011-12-31,227.0562,
2012-01-13,,4791804.0
2012-01-31,,7084709.0
2012-02-15,,6775458.0
2012-02-29,,7535322.0
2012-03-15,,11042549.0
2012-03-30,,12793660.0
2012-03-31,227.5077,
2012-04-13,,15033420.0
2012-04-30,,17190897.0
2012-05-15,,20598417.0
2012-05-31,,22094940.0
2012-06-15,,22234207.0
2012-06-29,,20822826.0
2012-06-30,227.5939,
2012-07-13,,20342314.0
2012-07-31,,22364543.0
2012-08-15,,20869236.0
2012-08-31,,21991395.0
2012-09-14,,22351816.0
2012-09-28,,21339675.0
2012-09-30,227.6207,
2012-10-15,,20632946.0
2012-10-31,,17066553.0
2012-11-15,,15884636.0
2012-11-30,,15010135.0
2012-12-14,,13672257.0
2012-12-31,228.0947,11788005.0
2013-01-15,,13282081.0
2013-01-31,,11089020.0
2013-02-15,,10998882.0
2013-02-28,,10199916.0
2013-03-15,,10121127.0
2013-03-28,,9689514.0
2013-03-31,228.5744,
2013-04-15,,9515282.0
2013-04-30,,9763065.0
2013-05-15,,9893303.0
2013-05-31,,10859539.0
2013-06-14,,11037694.0
2013-06-28,,11161296.0
2013-06-30,228.8,
2013-07-15,,11384317.0
2013-07-31,,12409930.0
2013-08-15,,12093302.0
2013-08-30,,12147846.0
2013-09-13,,12866313.0
2013-09-30,228.9362,12105489.0
2013-10-15,,13023753.0
2013-10-31,,12414559.0
2013-11-15,,10870435.0
2013-11-29,,11064522.0
2013-12-13,,11724351.0
2013-12-31,229.1457,12290510.0
2014-01-15,,12748909.0
2014-01-31,,12018358.0
2014-02-14,,11767737.0
2014-02-28,,11534644.0
2014-03-14,,11587689.0
2014-03-31,229.83,11720327.0
2014-04-15,,10364099.0
2014-04-30,,9851722.0
2014-05-15,,7904924.0
2014-05-30,,8023839.0
2014-06-13,,9935299.0
2014-06-30,230.1658,9996976.0
2014-07-15,,8434789.0
2014-07-31,,8295546.0
2014-08-15,,8377423.0
2014-08-29,,8546060.0
2014-09-15,,8700274.0
2014-09-30,230.1779,9485813.0
2014-10-15,,11081741.0
2014-10-31,,12246881.0
2014-11-14,,11941820.0
2014-11-28,,12834599.0
2014-12-15,,14334538.0
2014-12-31,230.2655,16961413.0
2015-01-15,,18048066.0
2015-01-30,,19449669.0
2015-02-13,,22055849.0
2015-02-27,,20488558.0
2015-03-13,,22295824.0
2015-03-31,228.6803,24701306.0
2015-04-15,,25969562.0
2015-04-30,,23377711.0
2015-05-15,,21535069.0
2015-05-29,,19662080.0
2015-06-15,,22627090.0
2015-06-30,229.0014,25958503.0
2015-07-15,,32310934.0
2015-07-31,,33581754.0
2015-08-14,,35063260.0
2015-08-31,,34928706.0
2015-09-15,,37004689.0
2015-09-30,229.0536,38813984.0
2015-10-15,,34499506.0
2015-10-30,,32024611.0
2015-11-13,,40724907.0
2015-11-30,,47736366.0
2015-12-15,,54134888.0
2015-12-31,229.0542,56525650.0
2016-01-15,,51525503.0
2016-01-29,,55068893.0
2016-02-12,,66061652.0
2016-02-29,,59727924.0
2016-03-15,,59417449.0
