Date,SHORT_INT,BS_SH_OUT
2006-01-13,23258654.0,
2006-02-03,,2330.0
2006-02-15,25928169.0,
2006-03-15,23815161.0,
2006-04-13,27266419.0,
2006-05-05,,2280.0
2006-05-15,31536448.0,
2006-06-15,37833620.0,
2006-07-14,35983032.0,
2006-08-04,,2238.0
2006-08-15,47454464.0,
2006-09-15,43269306.0,
2006-10-13,40791156.0,
2006-11-03,,2223.0
2006-11-15,41833001.0,
2006-12-15,35623037.0,
2007-01-12,34071025.0,
2007-02-02,,2226.0
2007-02-15,29802745.0,
2007-03-15,30823162.0,
2007-04-13,32540428.0,
2007-05-04,,2231.0
2007-05-15,32497374.0,
2007-06-15,34242076.0,
2007-07-13,34467167.0,
2007-08-03,,2236.0
2007-08-15,26057749.0,
2007-09-14,27496402.0,
2007-09-28,31415441.0,
2007-10-15,27179437.0,
2007-10-31,37535752.0,
2007-11-02,,2237.0
2007-11-15,36550899.0,
2007-11-30,35289746.0,
2007-12-14,34714552.0,
2007-12-31,32564093.0,
2008-01-15,34527257.0,
2008-01-31,44852313.0,
2008-02-01,,2060.0
2008-02-15,52345392.0,
2008-02-29,47099891.0,
2008-03-14,45512704.0,
2008-03-31,41829997.0,
2008-04-15,49044762.0,
2008-04-30,50584141.0,
2008-05-02,,2017.0
2008-05-15,53432605.0,
2008-05-30,49982291.0,
2008-06-13,60504005.0,
2008-06-30,67908552.0,
2008-07-15,70782324.0,
2008-07-31,65030841.0,
2008-08-01,,1960.0
2008-08-15,60304369.0,
2008-08-29,69229016.0,
2008-09-15,51968078.0,
2008-09-30,33789497.0,
2008-10-15,39948752.0,
2008-10-31,43305274.0,1944.0
2008-11-14,45245350.0,
2008-11-28,44201119.0,
2008-12-15,52175537.0,
2008-12-31,52523832.0,
2009-01-15,60526556.0,
2009-01-30,53385294.0,1944.0
2009-02-13,50602631.0,
2009-02-27,31697021.0,
2009-03-13,44490067.0,
2009-03-31,43024673.0,
2009-04-15,36188716.0,
2009-04-30,41232213.0,
2009-05-01,,1951.0
2009-05-15,44689832.0,
2009-05-29,40126065.0,
2009-06-15,52545129.0,
2009-06-30,59786357.0,
2009-07-15,54872922.0,
2009-07-31,63310817.0,1955.0
2009-08-14,64961089.0,
2009-08-31,44986739.0,
2009-09-15,39332495.0,
2009-09-30,41504396.0,
2009-10-15,38471036.0,
2009-10-30,36533678.0,1956.0
2009-11-13,37878835.0,
2009-11-30,51008042.0,
2009-12-15,47603493.0,
2009-12-31,48238456.0,
2010-01-15,50381231.0,
2010-01-29,53680138.0,1957.0
2010-02-12,49257113.0,
2010-02-26,50308823.0,
2010-03-15,51163640.0,
2010-03-31,52156123.0,
2010-04-15,59048146.0,
2010-04-30,58956900.0,1955.0
2010-05-14,52158546.0,
2010-05-28,45304292.0,
2010-06-15,48134265.0,
2010-06-30,53726542.0,
2010-07-15,57925413.0,
2010-07-30,55644848.0,1945.0
2010-08-13,50266980.0,
2010-08-31,43873902.0,
2010-09-15,46725149.0,
2010-09-30,49721388.0,
2010-10-15,52027823.0,
2010-10-29,47891688.0,1930.0
2010-11-15,41629271.0,
2010-11-30,48800930.0,
2010-12-15,56033782.0,
2010-12-31,57536890.0,
2011-01-14,59977366.0,
2011-01-28,,1918.0
2011-01-31,56550189.0,
2011-02-15,56947142.0,
2011-02-28,60250651.0,
2011-03-15,56387785.0,
2011-03-31,61173168.0,
2011-04-15,64048316.0,
2011-04-29,53266464.0,1899.0
2011-05-13,58983692.0,
2011-05-31,60139823.0,
2011-06-15,65899111.0,
2011-06-30,78905291.0,
2011-07-15,80984759.0,
2011-07-29,77673467.0,1834.0
2011-08-15,72115618.0,
2011-08-31,77942515.0,
2011-09-15,78720327.0,
2011-09-30,78808642.0,
2011-10-14,60641671.0,
2011-10-28,,1795.0
2011-10-31,55643889.0,
2011-11-15,65625904.0,
2011-11-30,67977411.0,
2011-12-15,68378211.0,
2011-12-30,65844046.0,
2012-01-13,69886744.0,
2012-01-31,69663886.0,
2012-02-03,,1761.0
2012-02-15,69517855.0,
2012-02-29,63173306.0,
2012-03-15,63390497.0,
2012-03-30,71702872.0,
2012-04-13,67387218.0,
2012-04-30,65252107.0,
2012-05-04,,1761.0
2012-05-15,66634933.0,
2012-05-31,65302917.0,
2012-06-15,57888760.0,
2012-06-29,52021444.0,
2012-07-13,51913904.0,
2012-07-31,44032503.0,
2012-08-03,,1734.0
2012-08-15,45054061.0,
2012-08-31,51627508.0,
2012-09-14,50442433.0,
2012-09-28,47385954.0,
2012-10-15,48528144.0,
2012-10-31,51714254.0,
2012-11-02,,1736.0
2012-11-15,57644332.0,
2012-11-30,72960454.0,
2012-12-14,65864388.0,
2012-12-31,61350767.0,
2013-01-15,57365649.0,
2013-01-31,41103772.0,
2013-02-01,,1738.0
2013-02-15,28726527.0,
2013-02-28,28964171.0,
2013-03-15,38466855.0,
2013-03-28,29621649.0,
2013-04-15,24089104.0,
2013-04-30,22346530.0,
2013-05-03,,1755.0
2013-05-15,24961067.0,
2013-05-31,24545970.0,
2013-06-14,23373348.0,
2013-06-28,24151334.0,
2013-07-15,23338268.0,
2013-07-31,31216355.0,
2013-08-02,,1758.0
2013-08-15,30458882.0,
2013-08-30,29361761.0,
2013-09-13,33389679.0,
2013-09-30,29018240.0,
2013-10-15,29339812.0,
