Date,SHORT_INT,BS_SH_OUT
2006-01-13,2958080.0,
2006-02-15,2623216.0,
2006-03-15,2574927.0,
2006-03-31,,120.577
2006-04-13,2396447.0,
2006-05-15,2565026.0,
2006-06-15,3071590.0,
2006-06-30,,120.676
2006-07-14,3857017.0,
2006-08-15,4205679.0,
2006-09-15,4850103.0,
2006-09-30,,120.724
2006-10-13,5353076.0,
2006-11-15,5528131.0,
2006-12-15,6345190.0,
2006-12-31,,121.603
2007-01-12,4998090.0,
2007-02-15,4485941.0,
2007-03-15,4288042.0,
2007-03-31,,121.613
2007-04-13,3719888.0,
2007-05-15,4075291.0,
2007-06-15,4632033.0,
2007-06-30,,121.651
2007-07-13,4141456.0,
2007-08-15,4071107.0,
2007-09-14,3340493.0,
2007-09-28,3012243.0,
2007-09-30,,121.666
2007-10-15,3232260.0,
2007-10-31,3727985.0,
2007-11-15,3174438.0,
2007-11-30,3121487.0,
2007-12-14,3088979.0,
2007-12-31,2839889.0,122.155
2008-01-15,2788885.0,
2008-01-31,3167891.0,
2008-02-15,4152898.0,
2008-02-29,4371983.0,
2008-03-14,5030509.0,
2008-03-31,4048342.0,122.246
2008-04-15,3354655.0,
2008-04-30,3473338.0,
2008-05-15,4264097.0,
2008-05-30,3388999.0,
2008-06-13,3653755.0,
2008-06-30,3431366.0,130.855
2008-07-15,3220951.0,
2008-07-31,3042313.0,
2008-08-15,3470691.0,
2008-08-29,3490479.0,
2008-09-15,3171615.0,
2008-09-30,2519519.0,130.772
2008-10-15,2508475.0,
2008-10-31,2910725.0,
2008-11-14,3182544.0,
2008-11-28,4216599.0,
2008-12-15,3572622.0,
2008-12-31,4527930.0,130.866
2009-01-15,4357294.0,
2009-01-30,5946930.0,
2009-02-13,4932414.0,
2009-02-27,5364191.0,
2009-03-13,5176685.0,
2009-03-31,4934092.0,130.897
2009-04-15,4955433.0,
2009-04-30,5192830.0,
2009-05-15,5944085.0,
2009-05-29,6008067.0,
2009-06-15,4529321.0,
2009-06-30,4538251.0,130.903
2009-07-15,5071282.0,
2009-07-31,4868336.0,
2009-08-14,6223314.0,
2009-08-31,5934679.0,
2009-09-15,6439188.0,
2009-09-30,5629993.0,130.919
2009-10-15,5583510.0,
2009-10-30,5920925.0,
2009-11-13,5760230.0,
2009-11-30,5667595.0,
2009-12-15,5710943.0,
2009-12-31,5406861.0,130.931
2010-01-15,5436344.0,
2010-01-29,4958905.0,
2010-02-12,5552701.0,
2010-02-26,5552183.0,
2010-03-15,5524581.0,
2010-03-31,3447780.0,143.573
2010-04-15,3621682.0,
2010-04-30,3401096.0,
2010-05-14,3322335.0,
2010-05-28,2898925.0,
2010-06-15,4028147.0,
2010-06-30,3505344.0,149.129
2010-07-15,4049491.0,
2010-07-30,3587192.0,
2010-08-13,4930329.0,
2010-08-31,4527425.0,
2010-09-15,4286587.0,
2010-09-30,5670294.0,149.143
2010-10-15,5107367.0,
2010-10-29,5125933.0,
2010-11-15,5515217.0,
2010-11-30,5945027.0,
2010-12-15,7075197.0,
2010-12-31,6549405.0,149.153
2011-01-14,7001385.0,
2011-01-31,6372372.0,
2011-02-15,5413825.0,
2011-02-28,4653484.0,
2011-03-15,3770436.0,
2011-03-31,3128209.0,149.43
2011-04-15,2886489.0,
2011-04-29,2813339.0,
2011-05-13,2900147.0,
2011-05-31,3150705.0,
2011-06-15,3883828.0,
2011-06-30,3245444.0,149.459
2011-07-15,4113539.0,
2011-07-29,4821400.0,
2011-08-15,3188509.0,
2011-08-31,3537075.0,
2011-09-15,4912664.0,
2011-09-30,3320537.0,149.438
2011-10-14,2869952.0,
2011-10-31,3182182.0,
2011-11-15,2343941.0,
2011-11-30,2372589.0,
2011-12-15,1873923.0,
2011-12-30,1655597.0,
2011-12-31,,149.477
2012-01-13,1690374.0,
2012-01-31,1801093.0,
2012-02-15,1988166.0,
2012-02-29,2014085.0,
2012-03-15,1768520.0,
2012-03-30,1609094.0,
2012-03-31,,149.575
2012-04-13,1849170.0,
2012-04-30,2820987.0,
2012-05-15,3793810.0,
2012-05-31,3236628.0,
2012-06-15,3414674.0,
2012-06-29,4661966.0,
2012-06-30,,149.595
2012-07-13,3457842.0,
2012-07-31,3796862.0,
2012-08-15,3639290.0,
2012-08-31,3330705.0,
2012-09-14,3541946.0,
2012-09-28,3370122.0,
2012-09-30,,149.613
2012-10-15,3739953.0,
2012-10-31,3782447.0,
