Date,SHORT_INT,BS_SH_OUT
2006-03-31,,29.7009
2006-06-30,,29.856
2006-09-30,,29.9201
2006-12-31,,29.9339
2007-03-31,,30.2695
2007-06-30,,30.5751
2007-09-30,,30.8625
2007-12-31,,31.2026
2008-03-31,,31.4171
2008-06-30,,31.5169
2008-09-30,,31.8576
2008-12-31,,31.3422
2009-03-31,,30.6564
2009-06-30,,30.6611
2009-09-30,,30.6708
2009-12-31,,30.6745
2010-03-31,,30.9089
2010-06-30,,30.918
2010-09-30,,30.9252
2010-12-31,,31.0398
2011-03-31,,31.2178
2011-06-30,,31.2824
2011-09-30,,31.2896
2011-12-31,,31.2838
2012-03-31,,31.5414
2012-06-30,,31.6245
2012-09-30,,31.6794
2012-12-31,,31.9414
2013-03-31,,31.8989
2013-06-30,,31.9947
2013-09-30,,32.154
2013-12-31,,32.353
2014-03-31,,32.505
2014-06-30,,32.572
2014-09-30,,48.123
2014-12-31,,48.113
2015-03-31,,48.413
2015-06-30,,48.443
2015-09-30,,48.455
2015-12-31,,54.294
2016-03-31,,54.789
2016-06-30,7267861.0,54.816
2016-07-15,5655386.0,
2016-07-29,5403880.0,
2016-08-15,5176041.0,
2016-08-31,6619806.0,
2016-09-15,6740127.0,
2016-09-30,6558666.0,54.804
2016-10-14,6792492.0,
2016-10-31,7274347.0,
2016-11-15,6028648.0,
2016-11-30,5535853.0,
2016-12-15,10385705.0,
2016-12-30,7999647.0,
2016-12-31,,117.478
2017-01-13,6820923.0,
2017-01-31,6879295.0,
2017-02-15,7172786.0,
2017-02-28,7033096.0,
2017-03-15,9750067.0,
2017-03-31,9892861.0,117.52
2017-04-13,9649661.0,
