Date,SHORT_INT,BS_SH_OUT
2006-01-13,2135954.0,
2006-02-15,2610957.0,
2006-03-15,3148014.0,
2006-03-31,,28.56
2006-04-13,3274566.0,
2006-05-15,3498013.0,
2006-06-15,3893849.0,
2006-06-30,,28.8351
2006-07-14,4331008.0,
2006-08-15,4316649.0,
2006-09-15,4618689.0,
2006-09-30,,29.1762
2006-10-13,4623396.0,
2006-11-15,4448705.0,
2006-12-15,4789346.0,
2006-12-31,,29.5169
2007-01-12,4409379.0,
2007-02-15,4590830.0,
2007-03-15,4902125.0,
2007-03-31,,31.4386
2007-04-13,5628166.0,
2007-05-15,5741897.0,
2007-06-15,6633746.0,
2007-06-30,,31.7512
2007-07-13,6685769.0,
2007-08-15,6312434.0,
2007-09-14,5617221.0,
2007-09-28,5724442.0,
2007-09-30,,36.2933
2007-10-15,5621831.0,
2007-10-31,5557557.0,
2007-11-15,5900581.0,
2007-11-30,5715599.0,
2007-12-14,5728851.0,
2007-12-31,6001043.0,36.5612
2008-01-15,6318201.0,
2008-01-31,8673619.0,
2008-02-15,8793758.0,
2008-02-29,9549113.0,
2008-03-14,10821912.0,
2008-03-31,11947482.0,36.7668
2008-04-15,12631846.0,
2008-04-30,11981770.0,
2008-05-15,10479123.0,
2008-05-30,10280549.0,
2008-06-13,10488034.0,
2008-06-30,10460138.0,37.1802
2008-07-15,8579562.0,
2008-07-31,9111630.0,
2008-08-15,8892170.0,
2008-08-29,9224915.0,
2008-09-15,10308338.0,
2008-09-30,9014452.0,37.3498
2008-10-15,8639588.0,
2008-10-31,9290460.0,
2008-11-14,10341784.0,
2008-11-28,8737069.0,
2008-12-15,8406837.0,
2008-12-31,7821749.0,37.7454
2009-01-15,7582271.0,
2009-01-30,8086585.0,
2009-02-13,8614614.0,
2009-02-27,8622756.0,
2009-03-13,9017681.0,
2009-03-31,9261415.0,37.948
2009-04-15,9054360.0,
2009-04-30,7921027.0,
2009-05-15,7446002.0,
2009-05-29,7306105.0,
2009-06-15,7691129.0,
2009-06-30,7320280.0,38.6106
2009-07-15,8359805.0,
2009-07-31,7746850.0,
2009-08-14,8328992.0,
2009-08-31,8311564.0,
2009-09-15,8125439.0,
2009-09-30,7715324.0,38.9833
2009-10-15,8184918.0,
2009-10-30,8229877.0,
2009-11-13,8721329.0,
2009-11-30,8574190.0,
2009-12-15,8758727.0,
2009-12-31,8521597.0,39.3153
2010-01-15,8012269.0,
2010-01-29,7908519.0,
2010-02-12,7949268.0,
2010-02-26,7992066.0,
2010-03-15,8085611.0,
2010-03-31,7915530.0,39.7922
2010-04-15,8252585.0,
2010-04-30,8270172.0,
2010-05-14,7966527.0,
2010-05-28,7520581.0,
2010-06-15,6956930.0,
2010-06-30,7182292.0,45.5898
2010-07-15,7352355.0,
2010-07-30,7181431.0,
2010-08-13,7696120.0,
2010-08-31,7887917.0,
2010-09-15,7026472.0,
2010-09-30,7291389.0,45.9944
2010-10-15,6244085.0,
2010-10-29,7174046.0,
2010-11-15,7657807.0,
2010-11-30,7468864.0,
2010-12-15,6256434.0,
2010-12-31,6621951.0,46.1667
2011-01-14,6785895.0,
2011-01-31,6305433.0,
2011-02-15,5965872.0,
2011-02-28,6082887.0,
2011-03-15,6252014.0,
2011-03-31,6561706.0,46.8079
2011-04-15,6384806.0,
2011-04-29,6158345.0,
2011-05-13,5932059.0,
2011-05-31,5332733.0,
2011-06-15,5648175.0,
2011-06-30,5409551.0,47.035
2011-07-15,5057003.0,
2011-07-29,4997917.0,
2011-08-15,4768091.0,
2011-08-31,4728135.0,
2011-09-15,4351927.0,
2011-09-30,4302166.0,47.4097
2011-10-14,4279824.0,
2011-10-31,4063851.0,
2011-11-15,4303641.0,
2011-11-30,4725683.0,
2011-12-15,4744979.0,
2011-12-30,4375460.0,
2011-12-31,,46.6712
2012-01-13,4932274.0,
2012-01-31,5457948.0,
2012-02-15,5862879.0,
2012-02-29,6815338.0,
2012-03-15,6404122.0,
2012-03-30,6846960.0,
2012-03-31,,47.4132
2012-04-13,6178692.0,
2012-04-30,5251487.0,
2012-05-15,5374755.0,
2012-05-31,5869046.0,
2012-06-15,6083266.0,
2012-06-29,5844531.0,
2012-06-30,,48.1848
2012-07-13,5686828.0,
2012-07-31,5863154.0,
2012-08-15,5881295.0,
2012-08-31,6543700.0,
2012-09-14,6579966.0,
2012-09-28,6377086.0,
2012-09-30,,48.6252
2012-10-15,6321208.0,
2012-10-31,6664453.0,
2012-11-15,7000339.0,
2012-11-30,7832573.0,
2012-12-14,7730286.0,
2012-12-31,7636553.0,48.7761
2013-01-15,7722781.0,
2013-01-31,7263353.0,
2013-02-15,7102415.0,
2013-02-28,7049070.0,
2013-03-15,7965852.0,
2013-03-28,8121100.0,
2013-03-31,,49.3399
