Date,SHORT_INT,BS_SH_OUT
2006-01-13,9445856.0,
2006-02-15,8346254.0,
2006-03-15,8699694.0,
2006-03-31,,251.6768
2006-04-13,7762888.0,
2006-05-15,7854387.0,
2006-06-15,7314278.0,
2006-06-30,,250.6764
2006-07-14,6291912.0,
2006-08-15,7101072.0,
2006-09-15,7562120.0,
2006-09-30,,251.6352
2006-10-13,8353327.0,
2006-11-15,7441606.0,
2006-12-15,8016668.0,
2006-12-31,,252.7747
2007-01-12,7583545.0,
2007-02-15,8639249.0,
2007-03-15,9963166.0,
2007-03-31,,255.8118
2007-04-13,8886301.0,
2007-05-15,10337729.0,
2007-06-15,9123423.0,
2007-06-30,,254.4945
2007-07-13,10508536.0,
2007-08-15,10436786.0,
2007-09-14,8990228.0,
2007-09-28,8837847.0,
2007-09-30,,254.5829
2007-10-15,8378152.0,
2007-10-31,9090650.0,
2007-11-15,12726273.0,
2007-11-30,14178984.0,
2007-12-14,13981557.0,
2007-12-31,15948629.0,254.6872
2008-01-15,19472212.0,
2008-01-31,22093463.0,
2008-02-15,25024023.0,
2008-02-29,26747209.0,
2008-03-14,31882996.0,
2008-03-31,29251809.0,276.6721
2008-04-15,29313448.0,
2008-04-30,27815292.0,
2008-05-15,27706790.0,
2008-05-30,28331528.0,
2008-06-13,30243897.0,
2008-06-30,31345989.0,279.5154
2008-07-15,35626682.0,
2008-07-31,35201655.0,
2008-08-15,33815104.0,
2008-08-29,36254045.0,
2008-09-15,37813415.0,
2008-09-30,30374902.0,280.1114
2008-10-15,21724085.0,
2008-10-31,28347531.0,
2008-11-14,31162623.0,
2008-11-28,36530022.0,
2008-12-15,32064531.0,
2008-12-31,36462631.0,280.799
2009-01-15,36231955.0,
2009-01-30,33690498.0,
2009-02-13,33317184.0,
2009-02-27,36112158.0,
2009-03-13,41162802.0,
2009-03-31,41772835.0,326.1316
2009-04-30,21804894.0,
2009-05-15,18223690.0,
2009-05-29,18170864.0,
2009-06-15,17985242.0,
2009-06-30,16824726.0,326.1717
2009-07-15,16324841.0,
2009-07-31,14343108.0,
2009-08-14,13497857.0,
2009-08-31,12662148.0,
2009-09-15,12532743.0,
2009-09-30,13275027.0,326.2013
2009-10-15,13026545.0,
2009-10-30,12309003.0,
2009-11-13,12927515.0,
2009-11-30,11115752.0,
2009-12-31,9865311.0,320.5837
2010-01-15,10191539.0,
2010-01-29,9352647.0,
2010-02-12,9614161.0,
2010-03-15,7850203.0,
2010-03-31,7303253.0,325.6434
2010-04-15,5658207.0,
2010-04-30,5381703.0,
2010-05-14,3387455.0,
2010-05-28,2303459.0,
2010-06-15,2133472.0,
2010-06-30,3597630.0,325.7267
2010-07-15,4010441.0,
2010-07-30,3601478.0,
2010-08-13,3832731.0,
2010-08-31,4213938.0,
2010-09-15,4357597.0,
2010-09-30,5214826.0,325.7259
2010-10-15,5144700.0,
2010-10-29,4920755.0,
2010-11-15,2866804.0,
2010-11-30,4882276.0,
2010-12-15,9415533.0,
2010-12-31,13346954.0,941.88
2011-01-14,13883356.0,
2011-01-31,13789253.0,
2011-02-15,12174969.0,
2011-02-28,11274389.0,
2011-03-15,9064370.0,
2011-03-31,10372100.0,964.0426
2011-04-15,10258377.0,
2011-04-29,9386526.0,
2011-05-13,8614061.0,
2011-05-31,9313883.0,
2011-06-15,11636707.0,
2011-06-30,15469086.0,936.2326
2011-07-15,15096675.0,
2011-07-29,13713910.0,
2011-08-15,17721113.0,
2011-08-31,16191522.0,
2011-09-15,15436645.0,
2011-09-30,17545688.0,933.8925
2011-10-14,17211678.0,
2011-10-31,19397561.0,
2011-11-15,19821391.0,
2011-11-30,17209317.0,
2011-12-15,14352840.0,
2011-12-30,16819706.0,
2011-12-31,,935.3075
2012-01-13,13654729.0,
2012-01-31,11277038.0,
2012-02-15,13934069.0,
2012-02-29,15185576.0,
2012-03-15,13950035.0,
2012-03-30,14045453.0,
2012-03-31,,937.6013
2012-04-13,13128152.0,
2012-04-30,12602089.0,
2012-05-15,11441638.0,
2012-05-31,10183235.0,
2012-06-15,10823887.0,
2012-06-29,10678411.0,
2012-06-30,,937.9782
2012-07-13,10714967.0,
2012-07-31,9703056.0,
2012-08-15,11106418.0,
2012-08-31,9658952.0,
2012-09-14,7102086.0,
2012-09-28,5876502.0,
2012-09-30,,938.6195
2012-10-15,5159091.0,
2012-10-31,4891671.0,
2012-11-15,5195442.0,
2012-11-30,5693545.0,
2012-12-14,6015491.0,
2012-12-31,5591107.0,939.0493
2013-01-15,4954638.0,
2013-01-31,3932860.0,
2013-02-15,5662443.0,
2013-02-28,5076948.0,
2013-03-15,5243895.0,
2013-03-28,4677882.0,
2013-03-31,,939.3789
2013-04-15,5416680.0,
2013-04-30,5465749.0,
2013-05-15,4881168.0,
2013-05-31,4197827.0,
2013-06-14,4121201.0,
2013-06-28,4746385.0,
2013-06-30,,939.4504
2013-07-15,4361386.0,
2013-07-31,5556815.0,
2013-08-15,5553673.0,
2013-08-30,6641116.0,
2013-09-13,9366732.0,
2013-09-30,9446611.0,911.1591
2013-10-15,8691023.0,
2013-10-31,8587422.0,
2013-11-15,6270847.0,
2013-11-29,6707654.0,
2013-12-13,16761104.0,
2013-12-31,14417981.0,911.1946
2014-01-15,14405637.0,
2014-01-31,14044351.0,
2014-02-14,10376134.0,
2014-02-28,10583901.0,
2014-03-14,10657878.0,
2014-03-31,9270585.0,883.6865
2014-04-15,7591361.0,
2014-04-30,7172465.0,
2014-05-15,7889852.0,
2014-05-30,7403439.0,
2014-06-13,7006997.0,
2014-06-30,7566046.0,883.7937
2014-07-15,8139743.0,
2014-07-31,7684371.0,
2014-08-15,8246970.0,
2014-08-29,8943904.0,
2014-09-15,9172421.0,
2014-09-30,11734896.0,884.0666
2014-10-15,10611686.0,
2014-10-31,9978960.0,
2014-11-14,9020899.0,
2014-11-28,9987247.0,
2014-12-15,10613875.0,
2014-12-31,11531240.0,884.912
2015-01-15,12916294.0,
2015-01-30,10956358.0,
2015-02-13,8923695.0,
2015-02-27,8486405.0,
2015-03-13,10200133.0,
2015-03-31,8596730.0,886.1146
2015-04-15,6519350.0,
2015-04-30,7031663.0,
2015-05-15,7304290.0,
2015-05-29,8343842.0,
2015-06-15,8824904.0,
2015-06-30,7824332.0,885.6484
2015-07-15,7734364.0,
2015-07-31,7360440.0,
2015-08-14,9115852.0,
2015-08-31,9126799.0,
2015-09-15,11715387.0,
2015-09-30,9504452.0,882.433
2015-10-15,9544712.0,
2015-10-30,10485255.0,
2015-11-13,9451355.0,
2015-11-30,10072245.0,
2015-12-15,9784488.0,
2015-12-31,10669396.0,882.3972
2016-01-15,9501253.0,
2016-01-29,10992553.0,
2016-02-12,8785377.0,
2016-02-29,9026913.0,
2016-03-15,8427759.0,
2016-03-31,6217671.0,883.123
2016-04-15,5931513.0,
2016-04-29,6480858.0,
2016-05-13,6942920.0,
2016-05-31,17821510.0,
2016-06-15,19454915.0,
2016-06-30,17070435.0,884.6279
2016-07-15,15861016.0,
2016-07-29,14336998.0,
2016-08-15,14058817.0,
2016-08-31,14015225.0,
2016-09-15,13742613.0,
2016-09-30,15327726.0,885.565
2016-10-14,16616977.0,
2016-10-31,15139289.0,
2016-11-15,16710725.0,
2016-11-30,16746733.0,
2016-12-15,16022090.0,
2016-12-30,17201026.0,
2016-12-31,,966.0967
2017-01-13,19543063.0,
2017-01-31,22059493.0,
2017-02-15,24977157.0,
2017-02-28,27285707.0,
2017-03-15,30152400.0,
2017-03-31,35666327.0,882.6057
2017-04-13,41812237.0,
2017-04-28,45067719.0,
