Date,BS_SH_OUT,SHORT_INT
2006-01-13,,40158105.0
2006-02-15,,39336303.0
2006-03-15,,31050303.0
2006-03-31,3472.9504,
2006-04-13,,27993778.0
2006-05-15,,36958586.0
2006-06-15,,26015344.0
2006-06-30,3470.5817,
2006-07-14,,31091246.0
2006-08-15,,30562530.0
2006-09-15,,32557158.0
2006-09-30,3467.5296,
2006-10-13,,26457840.0
2006-11-15,,26618325.0
2006-12-15,,30258443.0
2006-12-31,3461.6839,
2007-01-12,,24991780.0
2007-02-15,,24701019.0
2007-03-15,,28812190.0
2007-03-31,3416.2915,
2007-04-13,,27478727.0
2007-05-15,,28241144.0
2007-06-15,,31639855.0
2007-06-30,3398.5425,
2007-07-13,,33640163.0
2007-08-15,,45233952.0
2007-09-14,,37516866.0
2007-09-28,,32343742.0
2007-09-30,3358.8106,
2007-10-15,,31845048.0
2007-10-31,,35712989.0
2007-11-15,,34894028.0
2007-11-30,,33187514.0
2007-12-14,,30936347.0
2007-12-31,3367.3827,31076376.0
2008-01-15,,37992214.0
2008-01-31,,40482236.0
2008-02-15,,40096462.0
2008-02-29,,42456785.0
2008-03-14,,48063557.0
2008-03-31,3400.843,46710088.0
2008-04-15,,47127823.0
2008-04-30,,49419458.0
2008-05-15,,53202564.0
2008-05-30,,51092123.0
2008-06-13,,62988039.0
2008-06-30,3435.748,55601209.0
2008-07-15,,56841902.0
2008-07-31,,48849725.0
2008-08-15,,49494599.0
2008-08-29,,47373629.0
2008-09-15,,46806175.0
2008-09-30,3726.9471,40873965.0
2008-10-15,,41161432.0
2008-10-31,,42621312.0
2008-11-14,,41140631.0
2008-11-28,,42812248.0
2008-12-15,,55194432.0
2008-12-31,3732.8006,57677286.0
2009-01-15,,55865072.0
2009-01-30,,61097405.0
2009-02-13,,60551264.0
2009-02-27,,49361189.0
2009-03-13,,56025259.0
2009-03-31,3757.7322,70473350.0
2009-04-15,,65364876.0
2009-04-30,,57595984.0
2009-05-15,,57829018.0
2009-05-29,,55215197.0
2009-06-15,,48578665.0
2009-06-30,3924.1348,45017272.0
2009-07-15,,44523737.0
2009-07-31,,48076894.0
2009-08-14,,46314013.0
2009-08-31,,44352497.0
2009-09-15,,43446021.0
2009-09-30,3938.7491,39938029.0
2009-10-15,,39394118.0
2009-10-30,,37679029.0
2009-11-13,,32032969.0
2009-11-30,,31966036.0
2009-12-15,,32569924.0
2009-12-31,3941.9591,30053302.0
2010-01-15,,26780568.0
2010-01-29,,25306607.0
2010-02-12,,26206673.0
2010-02-26,,25746009.0
2010-03-15,,26449001.0
2010-03-31,3975.3565,30401335.0
2010-04-15,,27886560.0
2010-04-30,,28572607.0
2010-05-14,,28177726.0
2010-05-28,,30157839.0
2010-06-15,,34733270.0
2010-06-30,3975.8111,32041235.0
2010-07-15,,32184541.0
2010-07-30,,33182113.0
2010-08-13,,26531965.0
2010-08-31,,39315604.0
2010-09-15,,43657076.0
2010-09-30,3925.8482,41784921.0
2010-10-15,,39947112.0
2010-10-29,,38761268.0
2010-11-15,,39053761.0
2010-11-30,,37286916.0
2010-12-15,,39059074.0
2010-12-31,3910.2941,36030222.0
2011-01-14,,35146663.0
2011-01-31,,33881523.0
2011-02-15,,25317500.0
2011-02-28,,27440606.0
2011-03-15,,27311988.0
2011-03-31,3986.6255,28245222.0
2011-04-15,,30231725.0
2011-04-29,,33227502.0
2011-05-13,,35241949.0
2011-05-31,,29556056.0
2011-06-15,,34122723.0
2011-06-30,3910.1964,28933526.0
2011-07-15,,28757295.0
2011-07-29,,33557871.0
2011-08-15,,46382251.0
2011-08-31,,52714276.0
2011-09-15,,56431277.0
2011-09-30,3798.8805,46253574.0
2011-10-14,,45400164.0
2011-10-31,,47852556.0
2011-11-15,,41464544.0
2011-11-30,,38526401.0
2011-12-15,,35437910.0
2011-12-30,,33426569.0
2011-12-31,3772.6907,
2012-01-13,,40619899.0
2012-01-31,,34023037.0
2012-02-15,,28034303.0
2012-02-29,,31470171.0
2012-03-15,,32573235.0
2012-03-30,,38950250.0
2012-03-31,3822.0226,
2012-04-13,,28264796.0
2012-04-30,,28456078.0
2012-05-15,,28506017.0
2012-05-31,,41715292.0
2012-06-15,,47135438.0
2012-06-29,,46073341.0
2012-06-30,3796.8375,
2012-07-13,,43284322.0
2012-07-31,,43078606.0
2012-08-15,,42136602.0
2012-08-31,,39502457.0
2012-09-14,,43687822.0
2012-09-28,,46236969.0
2012-09-30,3799.5577,
2012-10-15,,45889003.0
2012-10-31,,46018717.0
2012-11-15,,50050581.0
2012-11-30,,46675618.0
2012-12-14,,43570583.0
2012-12-31,3803.9522,40896766.0
2013-01-15,,41631913.0
2013-01-31,,42380807.0
2013-02-15,,44625545.0
2013-02-28,,45263395.0
2013-03-15,,44664075.0
2013-03-28,,39477201.0
2013-03-31,3789.7784,
2013-04-15,,39601279.0
2013-04-30,,46374143.0
2013-05-15,,44368615.0
2013-05-31,,47339933.0
2013-06-14,,44150834.0
2013-06-28,,40220122.0
2013-06-30,3769.0177,
2013-07-15,,41663664.0
2013-07-31,,39744967.0
2013-08-15,,37465038.0
2013-08-30,,41311853.0
2013-09-13,,46154404.0
2013-09-30,3759.1893,47449846.0
2013-10-15,,43000097.0
2013-10-31,,39122537.0
2013-11-15,,43548828.0
2013-11-29,,49359370.0
2013-12-13,,45105592.0
2013-12-31,3756.1083,46917383.0
2014-01-15,,38611733.0
2014-01-31,,38314832.0
2014-02-14,,41432827.0
2014-02-28,,41083518.0
2014-03-14,,42660684.0
2014-03-31,3784.7128,43507233.0
2014-04-15,,35061123.0
2014-04-30,,35670934.0
2014-05-15,,36400140.0
2014-05-30,,34941957.0
2014-06-13,,39908346.0
2014-06-30,3761.2809,40994806.0
2014-07-15,,33073670.0
2014-07-31,,36644761.0
2014-08-15,,35833934.0
2014-08-29,,38378258.0
2014-09-15,,32388561.0
2014-09-30,3738.1887,34483819.0
2014-10-15,,32642820.0
2014-10-31,,35127410.0
2014-11-14,,38017143.0
2014-11-28,,36458471.0
2014-12-15,,39053950.0
2014-12-31,3714.7893,38469211.0
2015-01-15,,34233616.0
2015-01-30,,28347244.0
2015-02-13,,33422957.0
2015-02-27,,34605217.0
2015-03-13,,36203841.0
2015-03-31,3711.0872,29800548.0
2015-04-15,,30538067.0
2015-04-30,,32020016.0
2015-05-15,,34882210.0
2015-05-29,,37487921.0
2015-06-15,,44348311.0
