Date,SHORT_INT,BS_SH_OUT
2006-01-13,3126719.0,
2006-02-15,4103888.0,
2006-03-15,4082455.0,
2006-03-31,,380.4952
2006-04-13,3649844.0,
2006-05-15,3938931.0,
2006-06-15,5774016.0,
2006-06-30,,381.0
2006-07-14,6088498.0,
2006-08-15,8256357.0,
2006-09-15,5834053.0,
2006-09-30,,381.5656
2006-10-13,8041685.0,
2006-11-15,8020631.0,
2006-12-15,6871948.0,
2006-12-31,,380.754
2007-01-12,6622604.0,
2007-02-15,6752409.0,
2007-03-15,5200039.0,
2007-03-31,,385.0
2007-04-13,6533208.0,
2007-05-15,6470368.0,
2007-06-15,8224185.0,
2007-06-30,,385.0
2007-07-13,9524283.0,
2007-08-15,6630779.0,
2007-09-14,5707828.0,
2007-09-28,4953778.0,
2007-09-30,,375.0
2007-10-15,4991502.0,
2007-10-31,4757519.0,
2007-11-15,4779421.0,
2007-11-30,4805850.0,
2007-12-14,3923444.0,
2007-12-31,3419545.0,373.3714
2008-01-15,4275453.0,
2008-01-31,4146808.0,
2008-02-15,5493739.0,
2008-02-29,6308449.0,
2008-03-14,5467702.0,
2008-03-31,4492721.0,373.0
2008-04-15,4258625.0,
2008-04-30,3858406.0,
2008-05-15,6347277.0,
2008-05-30,5688055.0,
2008-06-13,5597547.0,
2008-06-30,7359231.0,374.4913
2008-07-15,6792292.0,
2008-07-31,6294324.0,
2008-08-15,7493837.0,
2008-08-29,7137656.0,
2008-09-15,6580488.0,
2008-09-30,5196247.0,375.0
2008-10-15,6299921.0,
2008-10-31,4878541.0,
2008-11-14,6695409.0,
2008-11-28,7113545.0,
2008-12-15,6245476.0,
2008-12-31,5765293.0,375.0
2009-01-15,6809970.0,
2009-01-30,6382540.0,
2009-02-13,5519114.0,
2009-02-27,6063000.0,
2009-03-13,6268066.0,
2009-03-31,5490208.0,376.0
2009-04-15,4650848.0,
2009-04-30,6538483.0,
2009-05-15,5830497.0,
2009-05-29,5417320.0,
2009-06-15,5337191.0,
2009-06-30,4036553.0,376.0
2009-07-15,4164576.0,
2009-07-31,3693681.0,
2009-08-14,4123550.0,
2009-08-31,3581826.0,
2009-09-15,4033411.0,
2009-09-30,4182431.0,376.639
2009-10-15,4320579.0,
2009-10-30,3479358.0,
2009-11-13,3493344.0,
2009-11-30,2807494.0,
2009-12-15,2528281.0,
2009-12-31,2629611.0,377.183
2010-01-15,2708872.0,
2010-01-29,2078505.0,
2010-02-12,1461162.0,
2010-02-26,1717241.0,
2010-03-15,2273035.0,
2010-03-31,2548651.0,378.131
2010-04-15,2153409.0,
2010-04-30,2346954.0,
2010-05-14,4931538.0,
2010-05-28,5657486.0,
2010-06-15,6394446.0,
2010-06-30,7262008.0,482.188
2010-07-15,7386562.0,
2010-07-30,7279852.0,
2010-08-13,7345746.0,
2010-08-31,8170668.0,
2010-09-15,8841621.0,
2010-09-30,8124923.0,482.813
2010-10-15,8143257.0,
2010-10-29,7372385.0,
2010-11-15,8039190.0,
2010-11-30,8017897.0,
2010-12-15,6155510.0,
2010-12-31,5426299.0,483.391
2011-01-14,5659468.0,
2011-01-31,7050685.0,
2011-02-15,6936737.0,
2011-02-28,7125295.0,
2011-03-15,9542211.0,
2011-03-31,7865235.0,484.618
2011-04-15,17215939.0,
2011-04-29,14508266.0,
2011-05-13,13601639.0,
2011-05-31,13350020.0,
2011-06-15,12785326.0,
2011-06-30,12231045.0,577.265
2011-07-15,13431107.0,
2011-07-29,14064793.0,
2011-08-15,12691512.0,
2011-08-31,14617588.0,
2011-09-15,18217543.0,
2011-09-30,16461628.0,577.844
2011-10-14,16528567.0,
2011-10-31,14567945.0,
2011-11-15,13668392.0,
2011-11-30,12898439.0,
2011-12-15,11198508.0,
2011-12-30,9805800.0,
2011-12-31,,578.405
2012-01-13,10114301.0,
2012-01-31,8088677.0,
2012-02-15,8800830.0,
2012-02-29,8605513.0,
2012-03-15,8614697.0,
2012-03-30,8151766.0,
2012-03-31,,579.52
2012-04-13,18206205.0,
2012-04-30,17441402.0,
2012-05-15,18886158.0,
2012-05-31,19337484.0,
2012-06-15,19828227.0,
2012-06-29,18412905.0,
2012-06-30,,580.213
2012-07-13,18905910.0,
