Date,SHORT_INT,BS_SH_OUT
2006-01-13,3090548.0,
2006-02-15,2179453.0,
2006-03-15,1599333.0,
2006-03-31,,277.6
2006-04-13,1713990.0,
2006-05-15,2357184.0,
2006-06-15,3161197.0,
2006-06-30,,269.1
2006-07-14,3614930.0,
2006-08-15,4080786.0,
2006-09-15,3534245.0,
2006-09-30,,269.6
2006-10-13,2663418.0,
2006-11-15,2674009.0,
2006-12-15,2205906.0,
2006-12-31,,268.4
2007-01-12,1968396.0,
2007-02-15,2314144.0,
2007-03-15,1720249.0,
2007-03-31,,267.4
2007-04-13,1742089.0,
2007-05-15,1667998.0,
2007-06-15,1906706.0,
2007-06-30,,266.0
2007-07-13,2479943.0,
2007-08-15,2767856.0,
2007-09-14,2308577.0,
2007-09-28,2822121.0,
2007-09-30,,262.5
2007-10-15,2612625.0,
2007-10-31,3000771.0,
2007-11-15,2914159.0,
2007-11-30,3008686.0,
2007-12-14,5532263.0,
2007-12-31,5576083.0,259.1
2008-01-15,4424890.0,
2008-01-31,5199093.0,
2008-02-15,6385396.0,
2008-02-29,9207699.0,
2008-03-14,9703465.0,
2008-03-31,10395002.0,258.6
2008-04-15,10702087.0,
2008-04-30,9936023.0,
2008-05-15,9218624.0,
2008-05-30,9043916.0,
2008-06-13,8896890.0,
2008-06-30,8504408.0,259.0
2008-07-15,8480253.0,
2008-07-31,8613675.0,
2008-08-15,8295329.0,
2008-08-29,8488209.0,
2008-09-15,8352455.0,
2008-09-30,6207559.0,259.2
2008-10-15,4701172.0,
2008-10-31,5572786.0,
2008-11-14,6483647.0,
2008-11-28,9644106.0,
2008-12-15,8759973.0,
2008-12-31,10082067.0,259.3
2009-01-15,10634364.0,
2009-01-30,11048373.0,
2009-02-13,14651610.0,
2009-02-27,15186705.0,
2009-03-13,16282704.0,
2009-03-31,20295457.0,260.0
2009-04-15,18641800.0,
2009-04-30,16755380.0,
2009-05-15,10079553.0,
2009-05-29,8537727.0,
2009-06-15,7673840.0,
2009-06-30,8308243.0,318.3
2009-07-15,10181745.0,
2009-07-31,8732874.0,
2009-08-14,8227821.0,
2009-08-31,8734877.0,
2009-09-15,9789820.0,
2009-09-30,9936336.0,318.9
2009-10-15,10630726.0,
2009-10-30,10826242.0,
2009-11-13,10943841.0,
2009-11-30,10597830.0,
2009-12-15,10111190.0,
2009-12-31,9727737.0,319.0
2010-01-15,10164590.0,
2010-01-29,9066905.0,
2010-02-12,8881587.0,
2010-02-26,8388932.0,
2010-03-15,9349176.0,
2010-03-31,12667463.0,319.7
2010-04-15,9822749.0,
2010-04-30,9569253.0,
2010-05-14,9754512.0,
2010-05-28,9747956.0,
2010-06-15,9235845.0,
2010-06-30,8013188.0,319.8
2010-07-15,8446352.0,
2010-07-30,9101478.0,
2010-08-13,6733166.0,
2010-08-31,7113474.0,
2010-09-15,7054965.0,
2010-09-30,9103213.0,320.3
