Date,BS_SH_OUT,SHORT_INT
2006-01-13,,3688581.0
2006-02-15,,3908196.0
2006-03-15,,5398261.0
2006-03-31,128.1626,
2006-04-13,,5034087.0
2006-05-15,,5359219.0
2006-06-15,,6240217.0
2006-06-30,128.2107,
2006-07-14,,6300905.0
2006-08-15,,6299124.0
2006-09-15,,4275324.0
2006-09-30,168.9862,
2006-10-13,,2776514.0
2006-11-15,,2651656.0
2006-12-15,,4030519.0
2006-12-31,169.1445,
2007-01-12,,4247472.0
2007-02-15,,4746299.0
2007-03-15,,3761743.0
2007-03-31,169.3106,
2007-04-13,,4431046.0
2007-05-15,,4253523.0
2007-06-15,,6136778.0
2007-06-30,169.361,
2007-07-13,,5885183.0
2007-08-15,,5991891.0
2007-09-14,,4967151.0
2007-09-28,,4789937.0
2007-09-30,169.4029,
2007-10-15,,4742874.0
2007-10-31,,5052628.0
2007-11-15,,5120148.0
2007-11-30,,6825153.0
2007-12-14,,6877747.0
2007-12-31,169.4225,6371231.0
2008-01-15,,7421726.0
2008-01-31,,7260025.0
2008-02-15,,6753289.0
2008-02-29,,7426000.0
2008-03-14,,8055445.0
2008-03-31,167.9931,8160682.0
2008-04-15,,8566389.0
2008-04-30,,9143637.0
2008-05-15,,8944795.0
2008-05-30,,9333947.0
2008-06-13,,10131408.0
2008-06-30,168.0745,10435450.0
2008-07-15,,10440672.0
2008-07-31,,10394662.0
2008-08-15,,10925466.0
2008-08-29,,11347143.0
2008-09-15,,11493283.0
2008-09-30,168.2392,10958710.0
2008-10-15,,10331682.0
2008-10-31,,10150239.0
2008-11-14,,9440567.0
2008-11-28,,10252811.0
2008-12-15,,9698812.0
2008-12-31,168.2797,8762165.0
2009-01-15,,9779136.0
2009-01-30,,8650171.0
2009-02-13,,9453195.0
2009-02-27,,8751961.0
2009-03-13,,9553551.0
2009-03-31,168.3438,10262141.0
2009-04-15,,10482311.0
2009-04-30,,10311453.0
2009-05-15,,8866957.0
2009-05-29,,8873299.0
2009-06-15,,8623580.0
2009-06-30,168.3557,8658987.0
2009-07-15,,9223132.0
2009-07-31,,9137172.0
2009-08-14,,8374964.0
2009-08-31,,7341799.0
2009-09-15,,7759599.0
2009-09-30,168.3924,7799802.0
2009-10-15,,7741959.0
2009-10-30,,8492691.0
2009-11-13,,8337913.0
2009-11-30,,6808285.0
2009-12-15,,6196232.0
2009-12-31,168.4055,6341666.0
2010-01-15,,6272462.0
2010-01-29,,6520004.0
2010-02-12,,6803445.0
2010-02-26,,5989924.0
2010-03-15,,5955860.0
2010-03-31,168.6576,6261232.0
2010-04-15,,5957135.0
2010-04-30,,5414002.0
2010-05-14,,5120963.0
2010-05-28,,4838863.0
2010-06-15,,4822145.0
