Date,SHORT_INT,BS_SH_OUT
2006-01-13,9251245.0,
2006-02-15,8228038.0,
2006-03-15,8688840.0,
2006-03-31,,118.4867
2006-04-13,9771781.0,
2006-05-15,11418810.0,
2006-06-15,11805534.0,
2006-06-30,,118.5185
2006-07-14,8435564.0,
2006-08-15,6719428.0,
2006-09-15,6752500.0,
2006-09-30,,117.153
2006-10-13,6203630.0,
2006-11-15,6946552.0,
2006-12-15,7780661.0,
2006-12-31,,117.6181
2007-01-12,7534329.0,
2007-02-15,6112435.0,
2007-03-15,8752472.0,
2007-03-31,,117.6181
2007-04-13,12809185.0,
2007-05-15,11869060.0,
2007-06-15,12954793.0,
2007-06-30,,119.147
2007-07-13,13499189.0,
2007-08-15,14576722.0,
2007-09-14,8515139.0,
2007-09-28,8809082.0,
2007-09-30,,169.4644
2007-10-15,8816983.0,
2007-10-31,9030945.0,
2007-11-15,9143127.0,
2007-11-30,9948701.0,
2007-12-14,9554291.0,
2007-12-31,10867583.0,170.2556
2008-01-15,12697722.0,
2008-01-31,10784357.0,
2008-02-15,14623402.0,
2008-02-29,17097556.0,
2008-03-14,16554994.0,
2008-03-31,17749410.0,170.9464
2008-04-15,23317298.0,
2008-04-30,17797682.0,
2008-05-15,16775610.0,
2008-05-30,16824696.0,
2008-06-13,18415248.0,
2008-06-30,18674558.0,172.1965
2008-07-15,19024831.0,
2008-07-31,17801662.0,
2008-08-15,17897796.0,
2008-08-29,17938430.0,
2008-09-15,17476424.0,
2008-09-30,12621447.0,172.4182
2008-10-15,11429692.0,
2008-10-31,11200330.0,
2008-11-14,9374841.0,
2008-11-28,12309983.0,
2008-12-15,15808013.0,
2008-12-31,15022958.0,196.9282
2009-01-15,13884694.0,
2009-01-30,15770214.0,
2009-02-13,13681292.0,
2009-02-27,14660961.0,
2009-03-13,15789335.0,
2009-03-31,12118132.0,197.6309
2009-04-15,11906132.0,
2009-04-30,11653011.0,
2009-05-15,9567823.0,
2009-05-29,9933127.0,
