Date,SHORT_INT,BS_SH_OUT
2006-01-13,2992595.0,
2006-02-15,3331845.0,
2006-03-15,3617865.0,
2006-03-31,,56.9221
2006-04-13,3440716.0,
2006-05-15,3079132.0,
2006-06-15,3314212.0,
2006-06-30,,56.9666
2006-07-14,3498723.0,
2006-08-15,3270820.0,
2006-09-15,3244023.0,
2006-09-30,,57.0814
2006-10-13,2943885.0,
2006-11-15,3011971.0,
2006-12-15,2580212.0,
2006-12-31,,65.4013
2007-01-12,2791402.0,
2007-02-15,2916140.0,
2007-03-15,3938932.0,
2007-03-31,,65.6655
2007-04-13,3752847.0,
2007-05-15,4724813.0,
2007-06-15,5752780.0,
2007-06-30,,66.0539
2007-07-13,7657571.0,
2007-08-15,8237956.0,
2007-09-14,7381552.0,
2007-09-28,7043487.0,
2007-09-30,,66.0856
2007-10-15,6591197.0,
2007-10-31,6619252.0,
2007-11-15,7038036.0,
2007-11-30,7155660.0,
2007-12-14,6679486.0,
2007-12-31,6804548.0,78.8525
2008-01-15,7839122.0,
2008-01-31,7169808.0,
2008-02-15,7370448.0,
2008-02-29,7351714.0,
2008-03-14,8478980.0,
2008-03-31,8965836.0,79.0966
2008-04-15,8345575.0,
2008-04-30,8682617.0,
2008-05-15,8434101.0,
2008-05-30,9113120.0,
2008-06-13,10787437.0,
2008-06-30,10134702.0,79.2613
2008-07-15,10851233.0,
2008-07-31,9706284.0,
2008-08-15,8755545.0,
2008-08-29,8402929.0,
2008-09-15,8309074.0,
2008-09-30,8309927.0,79.6224
2008-10-15,7513356.0,
2008-10-31,7621831.0,
2008-11-14,7008618.0,
2008-11-28,6529596.0,
2008-12-15,6456752.0,
2008-12-31,5961248.0,79.8909
2009-01-15,5701641.0,
2009-01-30,5517359.0,
2009-02-13,5353461.0,
2009-02-27,5283562.0,
2009-03-13,5395646.0,
2009-03-31,5329574.0,80.0882
2009-04-15,4948613.0,
2009-04-30,4984016.0,
2009-05-15,4847230.0,
2009-05-29,4610797.0,
2009-06-15,4873457.0,
2009-06-30,4888169.0,80.1677
2009-07-15,5294691.0,
2009-07-31,5788628.0,
2009-08-14,5999040.0,
2009-08-31,5769127.0,
2009-09-15,5791361.0,
2009-09-30,4922316.0,80.49
2009-10-15,3976285.0,
2009-10-30,4190294.0,
2009-11-13,4147968.0,
2009-11-30,4861822.0,
2009-12-15,5187430.0,
2009-12-31,6093707.0,81.1056
2010-01-15,5889908.0,
2010-01-29,6150577.0,
2010-02-12,6623150.0,
2010-02-26,6416301.0,
2010-03-15,6692458.0,
2010-03-31,6611234.0,81.9018
2010-04-15,6515428.0,
2010-04-30,6167715.0,
2010-05-14,6253811.0,
2010-05-28,6321277.0,
2010-06-15,6519824.0,
2010-06-30,6108623.0,82.1053
2010-07-15,6295626.0,
2010-07-30,5722438.0,
2010-08-13,5422332.0,
2010-08-31,5278368.0,
2010-09-15,5487373.0,
2010-09-30,5718934.0,80.0425
2010-10-15,3985948.0,
2010-10-29,4001091.0,
2010-11-15,4060043.0,
2010-11-30,5382489.0,
2010-12-15,6396302.0,
2010-12-31,6643274.0,89.4203
2011-01-14,6791563.0,
2011-01-31,7390931.0,
2011-02-15,7295442.0,
2011-02-28,6715555.0,
2011-03-15,6774695.0,
2011-03-31,6580473.0,90.7301
2011-04-15,5853012.0,
2011-04-29,5179656.0,
2011-05-13,5715544.0,
2011-05-31,6298735.0,
2011-06-15,6391474.0,
2011-06-30,6864193.0,91.5427
2011-07-15,7455627.0,
2011-07-29,7600808.0,
2011-08-15,8380195.0,
2011-08-31,8644714.0,
2011-09-15,9247900.0,
2011-09-30,8469051.0,92.5284
2011-10-14,8457350.0,
2011-10-31,8843967.0,
2011-11-15,8949781.0,
2011-11-30,8861647.0,
2011-12-15,9107892.0,
2011-12-30,8853523.0,
2011-12-31,,92.8016
2012-01-13,7464429.0,
2012-01-31,6592803.0,
2012-02-15,6663475.0,
2012-02-29,5155322.0,
2012-03-15,5263955.0,
2012-03-30,5008867.0,
2012-03-31,,95.0589
2012-04-13,5358553.0,
2012-04-30,5242843.0,
2012-05-15,5111653.0,
2012-05-31,4810541.0,
2012-06-15,5368975.0,
2012-06-29,4630485.0,
2012-06-30,,96.0313
2012-07-13,4630092.0,
2012-07-31,4966877.0,
2012-08-15,4976011.0,
2012-08-31,4790917.0,
2012-09-14,5193273.0,
2012-09-28,4985891.0,
