Date,BS_SH_OUT,SHORT_INT
2006-01-13,,1849400.0
2006-02-15,,1543279.0
2006-03-15,,2014340.0
2006-03-31,177.5,
2006-04-13,,2209924.0
2006-05-15,,2559089.0
2006-06-15,,3348218.0
2006-06-30,175.9,
2006-07-14,,4820710.0
2006-08-15,,3767108.0
2006-09-15,,1676433.0
2006-09-30,170.8,
2006-10-13,,1657944.0
2006-11-15,,1620511.0
2006-12-15,,1946453.0
2006-12-31,165.7,
2007-01-12,,1277785.0
2007-02-15,,2522260.0
2007-03-15,,3273849.0
2007-03-31,157.8,
2007-04-13,,3853510.0
2007-05-15,,3868087.0
2007-06-15,,5316504.0
2007-06-30,152.6,
2007-07-13,,4568867.0
2007-08-15,,2314878.0
2007-09-14,,2789653.0
2007-09-28,,2812008.0
2007-09-30,149.4,
2007-10-15,,3327052.0
2007-10-31,,2873250.0
2007-11-15,,3306381.0
2007-11-30,,2514505.0
2007-12-14,,2676623.0
2007-12-31,148.4,3003426.0
2008-01-15,,4481041.0
2008-01-31,,4482197.0
2008-02-15,,4568516.0
2008-02-29,,4204045.0
2008-03-14,,4232551.0
2008-03-31,146.8,4919979.0
2008-04-15,,4773861.0
2008-04-30,,5047906.0
2008-05-15,,4702012.0
2008-05-30,,3866622.0
2008-06-13,,3339669.0
2008-06-30,145.6,3494283.0
2008-07-15,,3439871.0
2008-07-31,,3217481.0
2008-08-15,,4257906.0
2008-08-29,,4102053.0
2008-09-15,,4147372.0
2008-09-30,143.2,3558746.0
2008-10-15,,3085333.0
2008-10-31,,2526485.0
2008-11-14,,2502024.0
2008-11-28,,3324941.0
2008-12-15,,2926009.0
2008-12-31,141.8,2882662.0
2009-01-15,,3389080.0
2009-01-30,,3874028.0
2009-02-13,,4648081.0
2009-02-27,,6795422.0
2009-03-13,,8000979.0
2009-03-31,141.8,9171022.0
2009-04-15,,9730194.0
2009-04-30,,8764016.0
2009-05-15,,9766033.0
2009-05-29,,9984941.0
2009-06-15,,9005866.0
2009-06-30,142.0,9817798.0
2009-07-15,,11271897.0
2009-07-31,,11405977.0
2009-08-14,,10024525.0
2009-08-31,,9651253.0
2009-09-15,,10633379.0
2009-09-30,142.1,10789763.0
2009-10-15,,11715060.0
2009-10-30,,11655484.0
2009-11-13,,11764583.0
2009-11-30,,12183729.0
2009-12-15,,12639048.0
2009-12-31,142.6,10894945.0
2010-01-15,,11242190.0
2010-01-29,,10001350.0
2010-02-12,,8838235.0
2010-02-26,,9570954.0
2010-03-15,,8714730.0
2010-03-31,142.6,7022610.0
2010-04-15,,7204927.0
2010-04-30,,5449116.0
2010-05-14,,4675552.0
2010-05-28,,4571528.0
2010-06-15,,4791108.0
2010-06-30,141.8571,5126813.0
2010-07-15,,5257500.0
2010-07-30,,4512474.0
2010-08-13,,4777195.0
2010-08-31,,4186595.0
2010-09-15,,5034385.0
2010-09-30,141.7,4495338.0
2010-10-15,,3935378.0
2010-10-29,,3466730.0
2010-11-15,,3422655.0
2010-11-30,,3743655.0
2010-12-15,,3372490.0
2010-12-31,142.4,3322768.0
2011-01-14,,3217344.0
2011-01-31,,3583577.0
2011-02-15,,4649728.0
2011-02-28,,5081515.0
2011-03-15,,4460688.0
2011-03-31,144.3,5212632.0
2011-04-15,,4622496.0
2011-04-29,,4803820.0
2011-05-13,,4360347.0
2011-05-31,,4790989.0
2011-06-15,,4075254.0
2011-06-30,141.7,4441368.0
2011-07-15,,4376394.0
2011-07-29,,3505733.0
2011-08-15,,2551895.0
2011-08-31,,2689278.0
2011-09-15,,2786850.0
2011-09-30,141.9,2979176.0
2011-10-14,,3047999.0
2011-10-31,,2414268.0
2011-11-15,,2189801.0
2011-11-30,,2326414.0
2011-12-15,,3194453.0
2011-12-30,,2526151.0
2011-12-31,142.4,
2012-01-13,,2298587.0
2012-01-31,,2178610.0
2012-02-15,,2165581.0
2012-02-29,,2672703.0
2012-03-15,,2654772.0
2012-03-30,,2403073.0
2012-03-31,142.7,
2012-04-13,,2417743.0
2012-04-30,,2498239.0
2012-05-15,,2585914.0
2012-05-31,,2677724.0
2012-06-15,,2517975.0
2012-06-29,,3218082.0
