Date,BS_SH_OUT,SHORT_INT
2006-01-13,,38690028.0
2006-01-31,442.0543,
2006-02-15,,28837692.0
2006-03-15,,36548960.0
2006-04-13,,38521828.0
2006-04-30,446.0,
2006-05-15,,44297372.0
2006-06-15,,38287800.0
2006-07-14,,40691636.0
2006-07-31,449.2,
2006-08-15,,41964564.0
2006-09-15,,30223512.0
2006-10-13,,31401944.0
2006-10-31,454.0,
2006-11-15,,31545212.0
2006-12-15,,30272440.0
2007-01-12,,32160360.0
2007-01-31,458.1502,
2007-02-15,,32095772.0
2007-03-15,,40917072.0
2007-04-13,,40994276.0
2007-04-30,462.0,
2007-05-15,,33296788.0
2007-06-15,,33758340.0
2007-07-13,,38321572.0
2007-07-31,467.2,
2007-08-15,,34223112.0
2007-09-14,,32427728.0
2007-09-28,,32581304.0
2007-10-15,,33862824.0
2007-10-31,472.4,28899296.0
2007-11-15,,28231824.0
2007-11-30,,29442416.0
2007-12-14,,28133404.0
2007-12-31,,24465312.0
2008-01-15,,29480196.0
2008-01-31,477.2201,31784332.0
2008-02-15,,29446644.0
2008-02-29,,28504892.0
2008-03-14,,31723536.0
2008-03-31,,33131372.0
2008-04-15,,35434720.0
2008-04-30,480.4,32839224.0
2008-05-15,,32980924.0
2008-05-30,,34556280.0
2008-06-13,,35289860.0
2008-06-30,,35163876.0
2008-07-15,,34297776.0
2008-07-31,484.0,34939908.0
2008-08-15,,34642648.0
2008-08-29,,34521956.0
2008-09-15,,36068024.0
2008-09-30,,39952280.0
2008-10-15,,38998496.0
2008-10-31,488.0,41464016.0
2008-11-14,,45934284.0
2008-11-28,,44194736.0
2008-12-15,,51551336.0
2008-12-31,,52243632.0
2009-01-15,,49087740.0
2009-01-30,,45502712.0
2009-01-31,491.4002,
2009-02-13,,54736624.0
2009-02-27,,64122572.0
2009-03-13,,60815064.0
2009-03-31,,52864136.0
2009-04-15,,50212908.0
2009-04-30,494.0,53387400.0
2009-05-15,,53456808.0
2009-05-29,,51163076.0
2009-06-15,,52022784.0
2009-06-30,,55640792.0
2009-07-15,,56987072.0
2009-07-31,496.0,51869424.0
2009-08-14,,47779548.0
2009-08-31,,40552856.0
2009-09-15,,41423052.0
2009-09-30,,36876536.0
2009-10-15,,41138184.0
2009-10-30,,39101864.0
2009-10-31,499.6,
2009-11-13,,40271844.0
2009-11-30,,41365064.0
2009-12-15,,36944948.0
2009-12-31,,39076376.0
2010-01-15,,38764460.0
2010-01-29,,36890964.0
2010-01-31,508.6098,
2010-02-12,,37391052.0
2010-02-26,,35621792.0
2010-03-15,,37240336.0
2010-03-31,,34443332.0
2010-04-15,,35842092.0
2010-04-30,514.8,39654828.0
2010-05-14,,37190540.0
2010-05-28,,38164124.0
2010-06-15,,41217460.0
2010-06-30,,37977260.0
2010-07-15,,39060152.0
2010-07-30,,39098812.0
2010-07-31,519.6,
2010-08-13,,37892352.0
2010-08-31,,36765912.0
2010-09-15,,41420160.0
2010-09-30,,43264764.0
2010-10-15,,41735896.0
2010-10-29,,40945260.0
2010-10-31,525.6,
2010-11-15,,42936744.0
2010-11-30,,45760712.0
2010-12-15,,40320420.0
2010-12-31,,36847556.0
2011-01-14,,39501708.0
2011-01-31,531.6846,39140784.0
2011-02-15,,40023308.0
2011-02-28,,38009520.0
2011-03-15,,41083608.0
2011-03-31,,38729404.0
2011-04-15,,43285900.0
2011-04-29,,41780708.0
2011-04-30,535.6,
2011-05-13,,40616072.0
2011-05-31,,43482932.0
2011-06-15,,42678028.0
2011-06-30,,41840336.0
2011-07-15,,41724392.0
2011-07-29,,39443112.0
2011-07-31,542.0,
2011-08-15,,38052636.0
2011-08-31,,36804628.0
2011-09-15,,43070516.0
2011-09-30,,43795328.0
2011-10-14,,45277572.0
2011-10-31,544.0,45927784.0
2011-11-15,,44651220.0
2011-11-30,,54609280.0
2011-12-15,,59754848.0
2011-12-30,,54859632.0
2012-01-13,,57087420.0
2012-01-31,548.1462,57880276.0
2012-02-15,,56030772.0
2012-02-29,,55047648.0
