Date,SHORT_INT,BS_SH_OUT
2011-12-31,,197.1
2012-01-13,7035521.0,
2012-01-31,4930458.0,
2012-02-15,4521645.0,
2012-02-29,3358387.0,
2012-03-15,3884026.0,
2012-03-30,4838040.0,
2012-03-31,,198.7
2012-04-13,4853092.0,
2012-04-30,5432082.0,
2012-05-15,7061261.0,
2012-05-31,9077386.0,
2012-06-15,11532734.0,
2012-06-29,13163981.0,
2012-06-30,,199.0
2012-07-13,12954345.0,
2012-07-31,12067368.0,
2012-08-15,13469315.0,
2012-08-31,13833341.0,
2012-09-14,13692049.0,
2012-09-28,13013786.0,
2012-09-30,,199.0
2012-10-15,12277235.0,
2012-10-31,10991671.0,
2012-11-15,11233371.0,
2012-11-30,11513784.0,
2012-12-14,11352583.0,
2012-12-31,10979022.0,199.3
2013-01-15,11611183.0,
2013-01-31,10341216.0,
2013-02-15,13664591.0,
2013-02-28,16455623.0,
2013-03-15,17332999.0,
2013-03-28,15417404.0,
2013-03-31,,200.3
2013-04-15,14779096.0,
2013-04-30,12855935.0,
2013-05-15,14225673.0,
2013-05-31,14679248.0,
2013-06-14,13534503.0,
2013-06-28,14807406.0,
2013-06-30,,200.6
2013-07-15,13517621.0,
2013-07-31,11702081.0,
2013-08-15,12527300.0,
2013-08-30,12246523.0,
2013-09-13,12609928.0,
2013-09-30,12684049.0,200.7
2013-10-15,13084267.0,
2013-10-31,12709506.0,
2013-11-15,10242759.0,
2013-11-29,10917794.0,
2013-12-13,10675377.0,
2013-12-31,9140993.0,201.0
2014-01-15,9472434.0,
2014-01-31,9249190.0,
2014-02-14,9934839.0,
2014-02-28,11304835.0,
2014-03-14,12340684.0,
2014-03-31,11725460.0,202.2
2014-04-15,7671448.0,
2014-04-30,8308927.0,
2014-05-15,8311178.0,
2014-05-30,8048593.0,
2014-06-13,8100243.0,
2014-06-30,7575812.0,203.1
2014-07-15,7253466.0,
2014-07-31,8329704.0,
2014-08-15,8776023.0,
2014-08-29,7465709.0,
2014-09-15,7069020.0,
2014-09-30,6975290.0,203.4
2014-10-15,7078472.0,
2014-10-31,5442564.0,
2014-11-14,6043596.0,
2014-11-28,4152965.0,
2014-12-15,5162666.0,
2014-12-31,8335295.0,203.7
2015-01-15,9460337.0,
2015-01-30,8114285.0,
2015-02-13,7846788.0,
2015-02-27,9242448.0,
2015-03-13,10117238.0,
2015-03-31,10264947.0,204.8
2015-04-15,11806480.0,
2015-04-30,11904885.0,
2015-05-15,12928230.0,
2015-05-29,13437181.0,
2015-06-15,14087050.0,
2015-06-30,10339911.0,205.2
2015-07-15,11237846.0,
2015-07-31,26628003.0,
2015-08-14,23952808.0,
2015-08-31,30092807.0,
2015-09-15,26233622.0,
2015-09-30,29669033.0,275.3
2015-10-15,29424346.0,
2015-10-30,28743223.0,
2015-11-13,31094370.0,
2015-11-30,35392836.0,
2015-12-15,35154019.0,
2015-12-31,35844843.0,275.4
2016-01-15,36219545.0,
2016-01-29,33535264.0,
2016-02-12,39339330.0,
2016-02-29,46239220.0,
2016-03-15,42728570.0,
2016-03-31,43188261.0,276.7
2016-04-15,41082666.0,
2016-04-29,36142161.0,
2016-05-13,41254335.0,
2016-05-31,40745526.0,
2016-06-15,37295916.0,
2016-06-30,37692843.0,334.0
2016-07-15,38701192.0,
2016-07-29,38757717.0,
2016-08-15,39172456.0,
2016-08-31,38347570.0,
2016-09-15,38505090.0,
2016-09-30,34217279.0,344.5356
2016-10-14,29746342.0,
2016-10-31,25708151.0,
2016-11-15,24301157.0,
2016-11-30,27754922.0,
2016-12-15,23466631.0,
2016-12-30,21070530.0,
2016-12-31,,344.7
2017-01-13,26480566.0,
2017-01-31,27970329.0,
2017-02-15,25830200.0,
2017-02-28,27801372.0,
2017-03-15,28297806.0,
2017-03-31,28973461.0,397.6
2017-04-13,22897907.0,
2017-04-28,23979162.0,
