Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-04-27,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2005-08-09,"Ameriprise Advisor Services, Inc",Not Provided,5.0,buy,-0.0
2006-01-23,A.G. Edwards & Sons Inc,Not Provided,5.0,buy,61.0
2006-04-26,UBS,Not Provided,5.0,buy 2,72.0
2006-05-11,Clear Asset Management LLC,Not Provided,5.0,buy,-0.0
2006-05-17,Scotia Howard Weil Inc,12 month,5.0,buy,68.0
2006-06-20,Tudor Pickering & Co,Not Provided,4.0,accumulate,-0.0
2006-08-29,Fearnley Securities,Not Provided,5.0,buy,65.0
2006-10-06,Weeden & Co,Not Provided,5.0,buy,78.0
2006-10-11,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-10-17,Aperion Group LLC,12 month,5.0,buy,96.88
2006-10-21,DNB Markets,Not Provided,5.0,buy,-0.0
2006-10-24,Oppenheimer & Co,12 month,5.0,buy,65.0
2006-10-24,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,74.0
2006-10-25,Raymond James,12 month,5.0,outperform,77.0
2006-10-25,Credit Suisse,12 month,3.0,neutral,63.0
2006-10-25,RBC Capital Markets,12 month,3.0,sector perform,76.0
2006-10-25,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2006-10-25,Barclays,Not Provided,5.0,overwt/positive,60.0
2006-10-25,Jefferies,12 month,5.0,buy,67.0
2006-11-15,Stanford Group,12 month,5.0,buy,60.0
2006-11-17,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2006-11-22,FBR Capital Markets,12 month,5.0,outperform,82.0
2006-12-04,Morgan Stanley,12 month,1.0,Underwt/Attractive,59.0
2006-12-05,Soleil Securities,Not Provided,5.0,buy,108.0
2006-12-27,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-01-03,Goldman Sachs,Not Provided,3.0,neutral/neutral,63.0
2007-01-04,Wells Fargo Securities,Not Provided,3.0,market perform,55.0
2007-01-05,Bernstein,Not Provided,1.0,underperform,31.0
2007-01-08,J.P. Morgan,Not Provided,1.0,underweight,-0.0
2007-01-11,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-01-12,Goldman Sachs,Not Provided,3.0,neutral/neutral,57.0
2007-01-16,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2007-01-17,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-01-22,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-01-23,Bear Stearns & Co,Not Provided,1.0,underperform,-0.0
2007-01-23,RBC Capital Markets,12 month,3.0,sector perform,57.0
2007-01-24,Bernstein,Not Provided,1.0,underperform,31.0
2007-01-25,Sterne Agee CRT,12 month,5.0,buy,60.0
2007-02-05,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-02-05,Bernstein,Not Provided,1.0,underperform,31.0
2007-02-16,Sterne Agee CRT,12 month,5.0,buy,60.0
2007-02-22,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,74.0
2007-02-22,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2007-02-23,Jefferies,12 month,5.0,buy,61.0
2007-02-23,Raymond James,12 month,5.0,outperform,73.0
2007-02-23,FBR Capital Markets,12 month,5.0,outperform,82.0
2007-02-23,Oppenheimer & Co,12 month,5.0,buy,65.0
2007-02-23,Wells Fargo Securities,Not Provided,3.0,market perform,55.0
2007-02-23,Goldman Sachs,Not Provided,3.0,neutral/neutral,59.0
2007-02-23,RBC Capital Markets,12 month,3.0,sector perform,57.0
2007-02-23,Credit Suisse,12 month,3.0,neutral,60.0
2007-02-23,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-02-23,Barclays,Not Provided,5.0,overwt/positive,60.0
2007-02-27,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2007-03-09,Morgan Stanley,12 month,1.0,Underwt/Attractive,64.0
2007-03-09,Bernstein,Not Provided,1.0,underperform,30.0
2007-03-15,Bernstein,Not Provided,1.0,underperform,30.0
2007-03-16,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2007-03-16,Raymond James,12 month,5.0,outperform,73.0
2007-03-16,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-03-19,FBR Capital Markets,12 month,5.0,outperform,79.0
2007-03-20,Sterne Agee CRT,12 month,5.0,buy,60.0
2007-03-29,Bernstein,Not Provided,1.0,underperform,30.0
2007-04-05,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-04-09,Credit Suisse,12 month,3.0,neutral,60.0
2007-04-09,Bernstein,Not Provided,1.0,underperform,30.0
2007-04-16,Barclays,12 month,3.0,equalwt/positive,60.0
2007-04-17,Raymond James,12 month,5.0,outperform,73.0
2007-04-17,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2007-04-23,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-04-24,Aperion Group LLC,12 month,5.0,buy,105.0
2007-04-24,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-04-24,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2007-04-25,Bernstein,Not Provided,1.0,underperform,30.0
2007-04-25,RBC Capital Markets,12 month,3.0,sector perform,62.0
2007-04-25,Raymond James,12 month,5.0,outperform,73.0
2007-04-25,Goldman Sachs,Not Provided,3.0,neutral/neutral,60.0
2007-04-25,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2007-04-25,Jefferies,12 month,5.0,buy,65.0
2007-04-25,Sterne Agee CRT,12 month,5.0,buy,67.0
2007-04-25,FBR Capital Markets,12 month,5.0,outperform,80.0
2007-04-25,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,70.0
2007-04-25,Barclays,12 month,3.0,equalwt/positive,60.0
2007-04-25,Oppenheimer & Co,12 month,5.0,buy,65.0
2007-04-25,Credit Suisse,12 month,3.0,neutral,60.0
2007-04-27,Tristone Capital,12 month,3.0,market perform,63.0
2007-05-03,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-05-08,Wells Fargo Securities,Not Provided,3.0,market perform,61.0
2007-05-10,Credit Suisse,12 month,3.0,neutral,60.0
2007-05-16,"Capital One Securities, Inc.",Not Provided,5.0,buy,77.0
2007-05-16,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2007-05-16,FBR Capital Markets,12 month,5.0,outperform,80.0
2007-05-16,Credit Suisse,12 month,3.0,neutral,60.0
2007-05-16,Morgan Stanley,12 month,1.0,Underwt/Attractive,67.0
2007-05-18,Bernstein,Not Provided,1.0,underperform,34.0
