Date,Firm Name,Period,Rating,Recommendation,Target Price
2003-09-09,Weeden & Co,Not Provided,3.0,hold,17.47
2004-12-31,Argus Research Corp,Not Provided,5.0,buy,-0.0
2005-06-20,"Burns, Gustus & Company",12 month,3.0,hold/buy,37.35
2005-07-07,Goldman Sachs,Not Provided,3.0,in-line,-0.0
2005-07-12,Morgan Stanley,Not Provided,1.0,Underwt/Attractive,31.01
2005-07-19,"Miller Tabak + Co., LLC",Not Provided,5.0,buy,-0.0
2005-07-20,Raymond James,Not Provided,5.0,outperform,34.07
2005-10-05,Credit Suisse,12 month,3.0,neutral,33.64
2005-10-24,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2005-10-24,Aperion Group LLC,12 month,5.0,buy,62.69
2005-10-25,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2005-11-16,EVA Dimensions,Not Provided,1.0,sell,-0.0
2005-12-08,FBR Capital Markets,Not Provided,5.0,outperform,39.31
2005-12-09,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,38.88
2005-12-13,Stanford Group,12 month,5.0,buy,37.13
2005-12-14,Jefferies,12 month,5.0,buy,40.63
2005-12-14,Barclays,Not Provided,5.0,overwt/positive,32.76
2005-12-21,Bear Stearns & Co,Not Provided,5.0,outperform,37.13
2005-12-22,UBS,Not Provided,5.0,buy 2,41.06
2005-12-23,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2005-12-23,"Capital One Securities, Inc.",Not Provided,5.0,buy,40.19
2006-01-04,RBC Capital Markets,12 month,3.0,sector perform,44.12
2006-01-09,FBR Capital Markets,Not Provided,5.0,outperform,48.92
2006-01-19,Morgan Stanley,12 month,3.0,Equalwt/Attractive,41.5
2006-01-24,Credit Suisse,12 month,3.0,neutral,42.37
2006-01-24,"Capital One Securities, Inc.",Not Provided,5.0,buy,41.06
2006-01-26,Raymond James,12 month,5.0,outperform,40.63
2006-01-26,Stanford Group,12 month,5.0,buy,41.5
2006-01-27,FBR Capital Markets,Not Provided,5.0,outperform,49.36
2006-01-30,Jefferies,12 month,5.0,buy,44.56
2006-01-30,"Capital One Securities, Inc.",Not Provided,5.0,buy,41.06
2006-01-30,UBS,Not Provided,5.0,buy 2,42.81
2006-01-30,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,48.05
2006-01-30,Credit Suisse,12 month,3.0,neutral,42.37
2006-01-30,Morgan Stanley,12 month,3.0,Equalwt/Attractive,41.94
2006-01-30,Raymond James,12 month,5.0,outperform,41.06
2006-01-30,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2006-01-30,RBC Capital Markets,12 month,3.0,sector perform,44.56
2006-01-30,Bear Stearns & Co,Not Provided,5.0,outperform,41.5
2006-01-30,Aperion Group LLC,12 month,5.0,buy,62.69
2006-01-31,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2006-02-01,Scotia Howard Weil Inc,Not Provided,5.0,buy,45.87
2006-02-01,Barclays,Not Provided,5.0,overwt/positive,42.81
