Date,Firm Name,Period,Rating,Recommendation,Target Price
2014-04-07,Barclays,Not Provided,-2147483648.0,suspended coverage,-0.0
2014-05-09,EVA Dimensions,Not Provided,3.0,hold,-0.0
2014-05-19,UBS,12 month,5.0,buy,94.0
2014-08-07,Oppenheimer & Co,12 month,5.0,outperform,104.0
2014-08-07,J.P. Morgan,3 month,3.0,neutral,85.0
2014-08-07,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2014-08-07,Piper Jaffray,12 month,5.0,overweight,105.0
2014-08-07,BMO Capital Markets,Not Provided,5.0,outperform,88.0
2014-08-08,Leerink Partners LLC,12 month,3.0,market perform,90.0
2014-08-08,Goldman Sachs,12 month,3.0,neutral/attractive,78.0
2014-08-08,CRT Capital Group,12 month,3.0,Fairly Valued,70.0
2014-08-13,Jefferies,12 month,5.0,buy,95.0
2014-08-13,"Morningstar, Inc",Not Provided,3.0,hold,-0.0
2014-08-18,Buckingham Research Group,12 month,5.0,buy,107.0
2014-08-20,"Morningstar, Inc",Not Provided,3.0,hold,-0.0
2014-08-21,BMO Capital Markets,Not Provided,5.0,outperform,88.0
2014-08-25,CRT Capital Group,12 month,3.0,Fairly Valued,70.0
2014-08-25,Buckingham Research Group,12 month,5.0,buy,107.0
2014-08-26,Leerink Partners LLC,12 month,3.0,market perform,90.0
2014-08-29,"Morningstar, Inc",Not Provided,1.0,sell,-0.0
2014-09-02,Goldman Sachs,12 month,3.0,neutral/attractive,76.0
2014-09-03,Buckingham Research Group,12 month,5.0,buy,107.0
2014-09-04,Leerink Partners LLC,12 month,3.0,market perform,90.0
2014-09-08,Buckingham Research Group,12 month,5.0,buy,107.0
2014-09-09,"Morningstar, Inc",Not Provided,1.0,sell,-0.0
2014-09-12,"Morningstar, Inc",Not Provided,1.0,sell,-0.0
2014-09-12,Goldman Sachs,12 month,3.0,neutral/attractive,80.0
2014-09-14,BMO Capital Markets,Not Provided,5.0,outperform,88.0
2014-09-17,Buckingham Research Group,12 month,5.0,buy,107.0
2014-09-21,Piper Jaffray,12 month,5.0,overweight,105.0
2014-09-22,Barclays,Not Provided,5.0,overweight,105.0
2014-09-23,CRT Capital Group,12 month,3.0,Fairly Valued,70.0
2014-09-23,Buckingham Research Group,12 month,5.0,buy,107.0
