Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-02-11,CIBC World Markets,Not Provided,1.0,sector underperform,32.0
2005-06-07,J.P. Morgan,Not Provided,1.0,underweight,-0.0
2005-07-28,Barclays,Not Provided,3.0,equalwt/neutral,34.0
2005-09-27,Goldman Sachs,Not Provided,1.0,underperf/attractive,-0.0
2005-10-13,Buckingham Research Group,Not Provided,4.0,accumulate,42.0
2005-10-20,Cowen,Not Provided,-2147483648.0,no rating system,-0.0
2005-10-24,Prudential Equity Group Inc,12 month,1.0,underweight,26.0
2005-10-25,Piper Jaffray,12 month,3.0,market perform,35.0
2005-10-31,Morgan Stanley,12 month,3.0,Equalwt/In-Line,32.0
2005-11-02,Pacific Growth Equities,Not Provided,3.0,neutral,-0.0
2005-11-03,Susquehanna Financial,Not Provided,2.0,negative,-0.0
2005-11-03,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2005-11-03,Lazard Capital Markets,Not Provided,3.0,hold,31.0
2005-11-03,Credit Suisse,12 month,5.0,outperform,39.0
2005-11-03,UBS,12 month,2.0,reduce 2,31.0
2005-11-03,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2005-11-07,Raymond James,Not Provided,3.0,market perform,-0.0
2005-11-11,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-01-10,Credit Suisse,12 month,5.0,outperform,39.0
2006-01-11,Morgan Stanley,Not Provided,1.0,Underwt/In-Line,-0.0
2006-01-23,Piper Jaffray,12 month,3.0,market perform,35.0
2006-01-31,Credit Suisse,12 month,5.0,outperform,39.0
2006-02-17,Credit Suisse,12 month,5.0,outperform,39.0
2006-02-17,Piper Jaffray,12 month,3.0,market perform,33.0
2006-02-17,Raymond James,Not Provided,3.0,market perform,-0.0
2006-02-17,Prudential Equity Group Inc,12 month,1.0,underweight,28.0
2006-02-17,Buckingham Research Group,Not Provided,4.0,accumulate,38.0
2006-02-17,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-02-17,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-02-17,Susquehanna Financial,Not Provided,2.0,negative,-0.0
2006-02-21,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2006-02-21,Barclays,Not Provided,3.0,equalwt/neutral,33.0
2006-02-21,Cowen,Not Provided,3.0,neutral,-0.0
2006-02-23,UBS,12 month,3.0,neutral 2,30.5
2006-02-28,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-03-02,Leerink Partners LLC,12 month,5.0,outperform,36.0
2006-03-13,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-03-13,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-03-13,Pacific Growth Equities,Not Provided,3.0,neutral,-0.0
2006-03-13,Susquehanna Financial,Not Provided,2.0,negative,-0.0
2006-03-13,Prudential Equity Group Inc,12 month,1.0,underweight,28.0
2006-03-14,Piper Jaffray,12 month,3.0,market perform,29.0
2006-03-14,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2006-03-14,Leerink Partners LLC,12 month,5.0,outperform,36.0
2006-03-14,Credit Suisse,12 month,3.0,neutral,31.5
2006-03-14,UBS,12 month,3.0,neutral 2,30.5
2006-03-14,Cowen,Not Provided,3.0,neutral,-0.0
2006-03-14,Raymond James,Not Provided,3.0,market perform,-0.0
2006-03-15,J.P. Morgan,Not Provided,1.0,underweight,-0.0
2006-03-22,Bernstein,12 month,3.0,market perform,29.0
2006-03-23,Prudential Equity Group Inc,12 month,1.0,underweight,28.0
2006-03-29,Bernstein,Not Provided,3.0,market perform,31.0
2006-03-30,Leerink Partners LLC,12 month,5.0,outperform,36.0
2006-04-21,Piper Jaffray,12 month,3.0,market perform,29.0
2006-04-25,Leerink Partners LLC,12 month,5.0,outperform,36.0
2006-05-08,Leerink Partners LLC,12 month,5.0,outperform,36.0
2006-05-09,Cowen,Not Provided,3.0,neutral,-0.0
2006-05-09,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-05-09,Leerink Partners LLC,12 month,5.0,outperform,36.0
2006-05-09,Pacific Growth Equities,Not Provided,3.0,neutral,-0.0
2006-05-09,Piper Jaffray,12 month,3.0,market perform,28.0
2006-05-09,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2006-05-10,Susquehanna Financial,Not Provided,2.0,negative,-0.0
2006-05-10,Buckingham Research Group,Not Provided,4.0,accumulate,33.0
2006-05-10,Prudential Equity Group Inc,12 month,1.0,underweight,28.0
2006-05-10,Barclays,Not Provided,3.0,equalwt/neutral,30.0
2006-05-10,Raymond James,Not Provided,3.0,market perform,-0.0
2006-05-10,UBS,12 month,3.0,neutral 2,30.5
2006-05-10,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-05-22,Cowen,Not Provided,3.0,neutral,-0.0
2006-05-23,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-06-09,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-06-15,Roth Capital Partners,12 month,5.0,buy,31.0
2006-06-20,Barclays,Not Provided,3.0,equalwt/neutral,28.0
2006-06-20,Raymond James,Not Provided,3.0,market perform,-0.0
2006-06-20,UBS,12 month,3.0,neutral 2,30.5
2006-06-22,Bernstein,Not Provided,3.0,market perform,31.0
2006-06-23,Pacific Growth Equities,Not Provided,3.0,neutral,-0.0
2006-06-26,Goldman Sachs,Not Provided,1.0,sell/attractive,24.0
2006-06-28,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2006-06-28,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-06-29,Credit Suisse,Not Provided,3.0,neutral,-0.0
2006-06-30,Piper Jaffray,12 month,3.0,market perform,24.0
2006-07-03,UBS,12 month,3.0,neutral 2,28.0
2006-07-11,Roth Capital Partners,12 month,5.0,buy,31.0
2006-07-14,Cowen,Not Provided,3.0,neutral,-0.0
2006-07-14,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-07-19,J.P. Morgan,Not Provided,1.0,underweight,-0.0
2006-07-19,Bernstein,Not Provided,3.0,market perform,31.0
2006-08-01,Bernstein,Not Provided,3.0,market perform,31.0
2006-08-07,Prudential Equity Group Inc,12 month,1.0,underweight,23.0
2006-08-09,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2006-08-09,Leerink Partners LLC,Not Provided,5.0,outperform,-0.0
2006-08-09,Credit Suisse,Not Provided,3.0,neutral,27.0
2006-08-09,Raymond James,Not Provided,3.0,market perform,-0.0
2006-08-09,Roth Capital Partners,12 month,5.0,buy,31.0
2006-08-09,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-08-09,Cowen,Not Provided,3.0,neutral,-0.0
2006-08-15,Barclays,Not Provided,3.0,equalwt/neutral,35.0
2006-08-17,Cowen,Not Provided,3.0,neutral,-0.0
2006-08-18,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-09-01,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-09-07,Prudential Equity Group Inc,12 month,1.0,underweight,23.0
2006-09-07,Leerink Partners LLC,Not Provided,5.0,outperform,-0.0
2006-09-08,Credit Suisse,12 month,3.0,neutral,27.0
2006-09-14,Cowen,Not Provided,3.0,neutral,-0.0
2006-09-14,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-09-14,Leerink Partners LLC,Not Provided,5.0,outperform,-0.0
2006-09-14,Roth Capital Partners,12 month,5.0,buy,31.0
2006-09-15,Roth Capital Partners,12 month,5.0,buy,31.0
2006-09-21,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-09-22,Bernstein,Not Provided,3.0,market perform,26.0
2006-09-22,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-10-06,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-10-11,Credit Suisse,12 month,3.0,neutral,27.0
2006-10-17,FTN Equity Capital Markets Corp.,Not Provided,5.0,buy,36.0
2006-10-19,Cowen,Not Provided,3.0,neutral,-0.0
2006-10-23,Cowen,Not Provided,3.0,neutral,-0.0
2006-10-24,Piper Jaffray,12 month,3.0,market perform,26.0
2006-10-26,Leerink Partners LLC,Not Provided,5.0,outperform,-0.0
2006-10-27,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-10-31,Roth Capital Partners,12 month,5.0,buy,31.0
2006-11-08,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-11-08,Raymond James,Not Provided,3.0,market perform,-0.0
2006-11-08,Leerink Partners LLC,Not Provided,5.0,outperform,-0.0
2006-11-08,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2006-11-08,Buckingham Research Group,Not Provided,3.0,neutral,-0.0
2006-11-08,Credit Suisse,12 month,3.0,neutral,27.0
2006-11-08,Piper Jaffray,12 month,3.0,market perform,26.0
2006-11-08,Pacific Growth Equities,Not Provided,3.0,neutral,-0.0
2006-11-08,Roth Capital Partners,12 month,5.0,buy,30.0
2006-11-08,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-11-13,Cowen,Not Provided,3.0,neutral,-0.0
2006-11-14,Pacific Growth Equities,Not Provided,3.0,neutral,-0.0
2006-11-16,Roth Capital Partners,12 month,5.0,buy,30.0
2006-11-17,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-11-20,CIBC World Markets,Not Provided,3.0,sector perform,-0.0
2006-12-07,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-12-20,WR Hambrecht + Co,Not Provided,3.0,hold,-0.0
2006-12-21,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,28.0
2007-01-08,Roth Capital Partners,12 month,5.0,buy,30.0
2007-01-11,Buckingham Research Group,Not Provided,1.0,underperform,22.0
2007-01-12,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2007-01-16,Credit Suisse,12 month,3.0,neutral,27.0
2007-01-16,Roth Capital Partners,12 month,5.0,buy,30.0
2007-01-16,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,28.0
2007-01-16,Bernstein,Not Provided,3.0,market perform,24.0
2007-01-22,Piper Jaffray,12 month,3.0,market perform,26.0
2007-01-24,Cowen,Not Provided,3.0,neutral,-0.0
2007-01-29,Bernstein,Not Provided,3.0,market perform,24.0
2007-01-30,Roth Capital Partners,12 month,5.0,buy,30.0
2007-02-09,Leerink Partners LLC,Not Provided,5.0,outperform,-0.0
2007-02-12,Roth Capital Partners,12 month,5.0,buy,30.0
2007-02-15,Bernstein,Not Provided,3.0,market perform,24.0
2007-02-21,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-02-28,Cowen,Not Provided,3.0,neutral,-0.0
2007-02-28,Credit Suisse,12 month,3.0,neutral,27.0
2007-02-28,FTN Equity Capital Markets Corp.,Not Provided,5.0,buy,36.0
2007-02-28,Natixis Securities Americas LLC,12 month,-2147483648.0,no rating system,28.0
