Date,Firm Name,Period,Rating,Recommendation,Target Price
2009-09-25,Collins Stewart,Not Provided,1.0,sell,15.14
2014-07-30,HSBC,Not Provided,3.0,neutral,65.0
2014-09-12,Tigress Financial Partners,Not Provided,3.0,neutral,-0.0
2014-10-14,Arctic Securities ASA,Not Provided,5.0,buy,79.17
2014-10-23,J.P. Morgan,Not Provided,3.0,neutral,71.0
2014-10-23,SunTrust Robinson Humphrey,12 month,5.0,buy,70.0
2014-10-24,Natixis,Not Provided,5.0,buy,69.73
2014-10-24,EVA Dimensions,Not Provided,3.0,hold,-0.0
2014-10-24,Susquehanna Financial,12 month,4.0,Positive,74.0
2014-10-24,UBS,12 month,5.0,buy,71.0
2014-10-24,Berenberg,Not Provided,5.0,buy,73.0
2014-10-24,Raymond James,Not Provided,3.0,market perform,-0.0
2014-10-24,DNB Markets,Not Provided,3.0,hold,62.15
2014-10-27,Norne Securities AS,12 month,5.0,buy,72.6
2014-11-03,Morgan Stanley,12 month,5.0,Overwt/In-Line,83.0
2014-11-04,SEB Equities,Not Provided,5.0,buy,76.56
2014-11-04,Argus Research Corp,Not Provided,5.0,buy,76.0
2014-11-11,Beringer Finance,Not Provided,5.0,buy,77.94
2014-11-17,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-11-17,Credit Suisse,Not Provided,5.0,outperform,70.0
2014-11-26,S&P Capital IQ,12 month,3.0,hold,73.32
2014-12-02,Barclays,Not Provided,5.0,overweight,94.0
2014-12-03,Pareto Securities,6 month,5.0,buy,84.0
2014-12-05,"Morningstar, Inc",Not Provided,3.0,hold,-0.0
2014-12-05,Handelsbanken,Not Provided,5.0,buy,80.0
2014-12-05,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2014-12-05,M Science,Not Provided,-2147483648.0,no rating system,-0.0
2014-12-08,Jefferies,12 month,5.0,buy,87.0
2014-12-08,Nomura,12 month,5.0,buy,91.0
2014-12-09,Goldman Sachs,6 month,3.0,neutral/neutral,70.0
2014-12-10,Stifel,12 month,5.0,buy,88.0
2014-12-10,Swedbank,12 month,3.0,neutral,80.0
2014-12-10,ABG Sundal Collier,6 month,5.0,buy,86.48
