Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-01-04,Argus Research Corp,Not Provided,5.0,buy,-0.0
2005-06-03,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2005-07-12,Barclays,Not Provided,5.0,overwt/positive,47.5
2005-09-09,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2005-10-21,Bear Stearns & Co,Not Provided,5.0,outperform,51.0
2005-10-26,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,46.5
2005-10-27,Goldman Sachs,Not Provided,5.0,outperf/neutral,-0.0
2005-10-27,Dowling & Partners,Not Provided,5.0,buy,-0.0
2005-10-28,Cowen,Not Provided,-2147483648.0,no rating system,-0.0
2005-10-28,Credit Suisse,12 month,5.0,outperform,50.0
2005-10-28,Prudential Equity Group Inc,Not Provided,5.0,overweight,47.5
2005-10-31,CIBC World Markets,Not Provided,5.0,sector outperform,47.0
2005-11-17,Raymond James,12 month,5.0,outperform,51.5
2005-11-29,FTN Equity Capital Markets Corp.,Not Provided,3.0,neutral,-0.0
2005-11-30,UBS,Not Provided,5.0,buy 2,60.0
2006-01-04,Bernstein,Not Provided,5.0,outperform,48.0
2006-01-05,Prudential Equity Group Inc,Not Provided,5.0,overweight,47.5
2006-01-06,A.G. Edwards & Sons Inc,Not Provided,5.0,buy,52.5
2006-01-06,Barclays,Not Provided,5.0,overwt/positive,55.0
2006-01-11,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-01-13,Goldman Sachs,Not Provided,5.0,outperf/cautious,-0.0
2006-01-17,Bernstein,Not Provided,5.0,outperform,55.0
2006-01-18,Bear Stearns & Co,Not Provided,5.0,outperform,-0.0
2006-01-18,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2006-01-26,Bernstein,Not Provided,5.0,outperform,55.0
2006-02-02,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,51.0
2006-02-09,Prudential Equity Group Inc,Not Provided,5.0,overweight,47.5
2006-02-09,FTN Equity Capital Markets Corp.,Not Provided,3.0,neutral,-0.0
2006-02-09,Barclays,Not Provided,5.0,overwt/positive,57.5
2006-02-09,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,56.0
2006-02-09,A.G. Edwards & Sons Inc,Not Provided,5.0,buy,52.5
2006-02-10,Dowling & Partners,Not Provided,5.0,buy,-0.0
2006-02-10,Bear Stearns & Co,Not Provided,5.0,outperform,56.5
2006-02-10,Prudential Equity Group Inc,Not Provided,5.0,overweight,26.25
2006-02-10,UBS,Not Provided,5.0,buy 2,61.5
2006-02-10,Raymond James,12 month,5.0,outperform,55.0
2006-02-10,Cowen,Not Provided,-2147483648.0,no rating system,-0.0
2006-02-10,Credit Suisse,12 month,5.0,outperform,57.5
2006-02-21,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,56.0
2006-02-21,Cowen,Not Provided,5.0,outperform,-0.0
2006-02-21,Barclays,Not Provided,5.0,overwt/positive,57.5
2006-02-27,Credit Suisse,12 month,5.0,outperform,57.5
2006-04-17,FTN Equity Capital Markets Corp.,Not Provided,3.0,neutral,-0.0
2006-04-17,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-04-19,Dowling & Partners,Not Provided,5.0,buy,-0.0
2006-04-27,Bear Stearns & Co,Not Provided,5.0,outperform,44.0
2006-04-28,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,51.0
2006-04-28,Dowling & Partners,Not Provided,5.0,buy,-0.0
2006-04-28,Raymond James,12 month,5.0,outperform,47.0
2006-04-28,Prudential Equity Group Inc,Not Provided,5.0,overweight,53.0
2006-04-28,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2006-04-28,FTN Equity Capital Markets Corp.,Not Provided,3.0,neutral,-0.0
2006-04-28,UBS,Not Provided,5.0,buy 2,50.0
2006-04-28,Cowen,Not Provided,5.0,outperform,-0.0
2006-05-04,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2006-05-04,Goldman Sachs,Not Provided,3.0,in-line/cautious,-0.0
2006-05-10,FTN Equity Capital Markets Corp.,Not Provided,5.0,buy,-0.0
2006-05-10,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-05-11,UBS,Not Provided,5.0,buy 2,50.0
2006-05-22,Cowen,Not Provided,5.0,outperform,-0.0
2006-05-25,UBS,Not Provided,5.0,buy 2,50.0
2006-06-12,Cowen,Not Provided,5.0,outperform,-0.0
2006-06-12,Dowling & Partners,Not Provided,5.0,buy,-0.0
2006-06-20,FTN Equity Capital Markets Corp.,Not Provided,5.0,buy,57.0
2006-06-26,Goldman Sachs,Not Provided,3.0,in-line/neutral,42.0
2006-07-20,Cowen,Not Provided,5.0,outperform,-0.0
2006-07-21,FTN Equity Capital Markets Corp.,Not Provided,5.0,buy,57.0
