Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-05-12,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2005-06-03,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2005-06-07,Goldman Sachs,Not Provided,3.0,in-line,-0.0
2005-07-29,Jefferies,Not Provided,3.0,hold,26.0
2005-10-11,Bear Stearns & Co,Not Provided,5.0,outperform,40.0
2005-10-27,EVA Dimensions,Not Provided,5.0,buy,-0.0
2005-10-27,Prudential Equity Group Inc,Not Provided,5.0,overweight,33.0
2005-10-31,CIBC World Markets,12 month,5.0,sector outperform,35.0
2006-01-25,CIBC World Markets,12 month,5.0,sector outperform,55.0
2006-01-26,Prudential Equity Group Inc,Not Provided,5.0,overweight,50.0
2006-01-26,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2006-01-26,Bear Stearns & Co,Not Provided,5.0,outperform,55.0
2006-01-27,Prudential Equity Group Inc,Not Provided,5.0,overweight,50.0
2006-01-27,Jefferies,Not Provided,3.0,hold,49.0
2006-01-30,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-02-23,Goldman Sachs,Not Provided,3.0,in-line/attractive,-0.0
2006-03-13,Goldman Sachs,Not Provided,3.0,in-line/attractive,-0.0
2006-03-16,CIBC World Markets,Not Provided,3.0,sector perform,-0.0
2006-03-16,Longbow Research,Not Provided,5.0,buy,60.0
2006-03-19,Bear Stearns & Co,Not Provided,5.0,outperform,63.0
2006-04-05,FTN Equity Capital Markets Corp.,Not Provided,5.0,buy,-0.0
2006-04-11,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-04-27,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2006-04-27,Prudential Equity Group Inc,Not Provided,5.0,overweight,60.0
2006-04-27,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2006-05-03,Jefferies,Not Provided,3.0,hold,70.0
2006-05-23,Bear Stearns & Co,Not Provided,5.0,outperform,80.0
2006-06-13,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-06-26,Goldman Sachs,Not Provided,3.0,in-line/attractive,57.0
2006-07-14,Longbow Research,Not Provided,3.0,neutral,-0.0
2006-07-26,Bear Stearns & Co,Not Provided,5.0,outperform,83.0
2006-07-27,Prudential Equity Group Inc,Not Provided,5.0,overweight,60.0
2006-07-27,Goldman Sachs,Not Provided,3.0,in-line/attractive,71.0
2006-07-27,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2006-07-27,CIBC World Markets,Not Provided,3.0,sector perform,-0.0
2006-08-07,Jefferies,Not Provided,3.0,hold,64.0
2006-08-09,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-08-14,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,60.0
2006-08-23,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,60.0
2006-10-25,Bear Stearns & Co,Not Provided,5.0,outperform,100.0
2006-10-26,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,60.0
2006-10-26,Goldman Sachs,Not Provided,3.0,neutral/attractive,72.0
2006-11-02,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-12-13,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,60.0
2006-12-19,Bear Stearns & Co,Not Provided,5.0,outperform,110.0
2006-12-21,Longbow Research,Not Provided,3.0,neutral,-0.0
2007-01-09,Goldman Sachs,Not Provided,3.0,neutral/attractive,80.0
2007-01-24,CIBC World Markets,Not Provided,3.0,sector perform,-0.0
2007-01-25,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2007-01-25,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,60.0
2007-01-25,Goldman Sachs,Not Provided,3.0,neutral/attractive,98.0
2007-01-25,Longbow Research,Not Provided,3.0,neutral,-0.0
2007-01-25,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2007-01-25,Bear Stearns & Co,Not Provided,5.0,outperform,120.0
2007-02-01,Jefferies,Not Provided,3.0,hold,100.0
2007-02-05,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-02-09,Davenport & Co,Not Provided,5.0,buy,131.0
2007-04-25,Bear Stearns & Co,Not Provided,5.0,outperform,140.0
2007-04-25,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,60.0
2007-04-26,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2007-04-26,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2007-04-29,Goldman Sachs,Not Provided,3.0,neutral/attractive,115.0
2007-05-03,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-05-15,Davenport & Co,Not Provided,5.0,buy,140.0
2007-05-21,Goldman Sachs,Not Provided,3.0,neutral/neutral,115.0
2007-07-25,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2007-07-26,Davenport & Co,Not Provided,5.0,buy,145.0
2007-07-26,Goldman Sachs,Not Provided,3.0,neutral/neutral,119.0
2007-08-13,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-08-14,Davenport & Co,Not Provided,5.0,strong buy,145.0
2007-09-19,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2007-09-28,Cowen,Not Provided,3.0,neutral,-0.0
2007-10-11,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-10-12,Bear Stearns & Co,Not Provided,5.0,outperform,120.0
2007-10-12,Goldman Sachs,Not Provided,3.0,neutral/neutral,113.0
2007-10-12,Jefferies,Not Provided,3.0,hold,100.0
2007-10-12,CIBC World Markets,Not Provided,3.0,sector perform,-0.0
2007-10-12,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2007-10-12,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2007-10-24,Bear Stearns & Co,Not Provided,5.0,outperform,130.0
2007-10-25,Goldman Sachs,Not Provided,3.0,neutral/neutral,114.0
2007-10-25,Davenport & Co,Not Provided,5.0,strong buy,145.0
2007-10-25,Jefferies,Not Provided,3.0,hold,93.0
2007-10-25,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2007-10-25,Cowen,Not Provided,5.0,outperform,-0.0
2007-11-30,Goldman Sachs,12 month,3.0,neutral/attractive,113.0
2007-12-26,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2008-01-14,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2008-01-23,Bear Stearns & Co,Not Provided,5.0,outperform,105.0
2008-01-23,Goldman Sachs,12 month,3.0,neutral/attractive,106.0
2008-01-24,Davenport & Co,Not Provided,5.0,strong buy,115.0
2008-01-24,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2008-01-24,Jefferies,Not Provided,3.0,hold,72.0
2008-01-25,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2008-02-11,Goldman Sachs,12 month,5.0,buy/attractive,106.0
2008-02-13,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2008-03-20,Goldman Sachs,12 month,5.0,buy/attractive,105.0
2008-04-03,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2008-04-04,Cowen,Not Provided,3.0,neutral,-0.0
2008-04-07,Longbow Research,Not Provided,3.0,neutral,-0.0
2008-04-23,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2008-04-24,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2008-04-24,Goldman Sachs,12 month,3.0,neutral/attractive,92.0
2008-04-24,Cowen,Not Provided,3.0,neutral,-0.0
2008-04-24,Davenport & Co,Not Provided,5.0,strong buy,105.0
2008-05-30,Goldman Sachs,12 month,3.0,neutral/attractive,81.0
2008-06-05,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2008-06-09,Davenport & Co,Not Provided,5.0,strong buy,105.0
2008-06-11,Cowen,Not Provided,3.0,neutral,-0.0
2008-07-14,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2008-07-15,Davenport & Co,Not Provided,5.0,strong buy,105.0
2008-07-23,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2008-07-24,Cowen,Not Provided,3.0,neutral,-0.0
2008-07-24,Davenport & Co,Not Provided,5.0,strong buy,35.0
2008-07-24,Goldman Sachs,12 month,3.0,neutral/attractive,68.0
2008-07-29,Jefferies,Not Provided,3.0,hold,55.0
2008-08-11,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2008-09-04,Goldman Sachs,12 month,3.0,neutral/neutral,56.0
2008-09-29,Cowen,Not Provided,3.0,neutral,-0.0
2008-10-09,Goldman Sachs,12 month,3.0,neutral/neutral,25.0
2008-10-22,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2008-10-23,Davenport & Co,Not Provided,5.0,strong buy,35.0
2008-10-23,Cowen,Not Provided,3.0,neutral,-0.0
2008-11-04,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2008-11-17,Goldman Sachs,12 month,3.0,neutral/neutral,24.0
2008-12-08,Goldman Sachs,6 month,3.0,neutral/neutral,23.0
2008-12-17,UBS,Not Provided,3.0,neutral,26.0
2009-01-07,Goldman Sachs,6 month,3.0,neutral/neutral,27.0
2009-01-12,Cowen,Not Provided,3.0,neutral,-0.0
2009-01-13,Cowen,Not Provided,3.0,neutral,-0.0
2009-01-22,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2009-01-22,Davenport & Co,Not Provided,5.0,strong buy,35.0
2009-01-22,Cowen,Not Provided,3.0,neutral,-0.0
2009-01-22,Goldman Sachs,6 month,3.0,neutral/neutral,25.0
2009-01-30,J.P. Morgan,9 month,3.0,neutral,29.5
2009-02-05,Cowen,Not Provided,3.0,neutral,-0.0
2009-02-06,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2009-02-09,Davenport & Co,Not Provided,5.0,buy,32.0
2009-03-10,Goldman Sachs,6 month,3.0,neutral/neutral,20.0
2009-03-23,Cowen,Not Provided,3.0,neutral,-0.0
2009-03-23,Davenport & Co,Not Provided,3.0,neutral,26.0
2009-03-24,UBS,Not Provided,3.0,neutral,24.0
2009-03-31,Longbow Research,Not Provided,3.0,neutral,-0.0
2009-03-31,Cowen,Not Provided,3.0,neutral,-0.0
2009-04-22,Cowen,Not Provided,3.0,neutral,-0.0
2009-04-22,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2009-04-23,Goldman Sachs,6 month,3.0,neutral/neutral,26.0
2009-04-23,UBS,Not Provided,3.0,neutral,30.0
2009-04-23,Davenport & Co,Not Provided,3.0,neutral,33.0
2009-04-23,J.P. Morgan,6 month,3.0,neutral,32.5
2009-04-27,Cowen,Not Provided,3.0,neutral,-0.0
2009-05-07,Goldman Sachs,6 month,3.0,neutral/neutral,33.0
2009-05-27,UBS,Not Provided,3.0,neutral,32.0
2009-06-15,UBS,Not Provided,3.0,neutral,42.0
2009-07-06,Davenport & Co,Not Provided,3.0,neutral,33.0
2009-07-09,Goldman Sachs,6 month,3.0,neutral/neutral,31.0
2009-07-09,Cowen,Not Provided,3.0,neutral,-0.0
2009-07-09,Davenport & Co,Not Provided,3.0,neutral,33.0
2009-07-10,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2009-07-15,J.P. Morgan,6 month,3.0,neutral,37.5
2009-07-20,UBS,Not Provided,3.0,neutral,42.0
2009-07-22,J.P. Morgan,15 month,3.0,neutral,34.5
2009-07-22,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2009-07-23,UBS,Not Provided,3.0,neutral,31.0
2009-07-23,Davenport & Co,Not Provided,5.0,buy,33.0
2009-07-23,Goldman Sachs,6 month,3.0,neutral/neutral,28.0
2009-07-23,Cowen,Not Provided,3.0,neutral,-0.0
2009-07-27,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-07-28,Goldman Sachs,6 month,3.0,neutral/attractive,28.0
2009-08-03,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-04,Davenport & Co,Not Provided,5.0,buy,33.0
2009-08-06,Stifel,12 month,5.0,buy,38.0
2009-08-10,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-11,Stifel,12 month,5.0,buy,38.0
