Date,Firm Name,Period,Rating,Recommendation,Target Price
2004-09-20,Bear Stearns & Co,12 month,3.0,peerperform,15.28
2004-12-22,A.G. Edwards & Sons Inc,Not Provided,3.0,hold,-0.0
2005-03-29,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2005-05-26,Goldman Sachs,Not Provided,1.0,underperform,-0.0
2005-11-08,Barclays,Not Provided,3.0,equalwt/neutral,18.92
2005-12-01,Raymond James,Not Provided,3.0,market perform,-0.0
2005-12-02,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2005-12-02,Thomas Weisel Partners,12 month,3.0,peerperform,16.5
2005-12-02,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2005-12-02,UBS,12 month,5.0,buy 2,23.05
2005-12-12,Baird,Not Provided,5.0,outperform,21.83
2005-12-16,EVA Dimensions,Not Provided,3.0,hold,-0.0
2005-12-29,Credit Suisse,12 month,5.0,outperform,21.1
2006-01-06,UBS,Not Provided,3.0,neutral 2,23.05
2006-01-09,Barclays,Not Provided,3.0,equalwt/neutral,20.38
2006-01-10,Raymond James,Not Provided,3.0,market perform,-0.0
2006-01-11,Thomas Weisel Partners,12 month,3.0,peerperform,16.5
2006-01-11,Baird,Not Provided,5.0,outperform,22.8
2006-01-17,EVA Dimensions,Not Provided,1.0,sell,-0.0
2006-01-25,A.G. Edwards & Sons Inc,Not Provided,3.0,hold,-0.0
2006-01-25,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2006-01-26,Raymond James,Not Provided,3.0,market perform,-0.0
2006-01-26,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2006-01-26,Barclays,Not Provided,3.0,equalwt/neutral,21.35
2006-01-26,Thomas Weisel Partners,12 month,3.0,peerperform,18.92
2006-01-26,Baird,Not Provided,5.0,outperform,24.74
2006-01-26,Credit Suisse,12 month,5.0,outperform,23.29
2006-01-31,Thomas Weisel Partners,12 month,3.0,peerperform,18.92
2006-02-13,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-03-02,Baird,Not Provided,5.0,outperform,24.74
2006-04-07,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2006-04-13,Barclays,Not Provided,3.0,equalwt/neutral,23.29
2006-04-18,Baird,Not Provided,5.0,outperform,25.23
2006-04-26,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2006-04-26,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2006-04-26,Credit Suisse,12 month,5.0,outperform,24.26
2006-04-27,Thomas Weisel Partners,12 month,3.0,peerperform,18.92
2006-04-27,Raymond James,Not Provided,3.0,market perform,-0.0
2006-04-27,UBS,Not Provided,3.0,neutral 2,22.32
2006-04-27,Baird,Not Provided,5.0,outperform,25.71
2006-05-19,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-06-09,UBS,Not Provided,3.0,neutral 2,21.83
2006-06-09,Credit Suisse,12 month,5.0,outperform,24.26
2006-06-10,Goldman Sachs,Not Provided,1.0,underperf/neutral,-0.0
2006-06-13,Baird,Not Provided,5.0,outperform,25.71
2006-06-26,Goldman Sachs,12 month,1.0,underperf/neutral,16.01
2006-07-06,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-07-14,Baird,Not Provided,5.0,outperform,25.71
2006-07-18,Thomas Weisel Partners,12 month,3.0,peerperform,18.92
2006-07-26,Goldman Sachs,12 month,1.0,underperf/neutral,15.77
2006-07-26,Baird,Not Provided,5.0,outperform,24.74
2006-07-26,Credit Suisse,12 month,5.0,outperform,24.26
2006-07-26,Thomas Weisel Partners,12 month,3.0,peerperform,18.92
2006-07-26,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2006-07-26,Raymond James,Not Provided,3.0,market perform,-0.0
2006-08-07,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2006-08-08,Raymond James,Not Provided,3.0,market perform,-0.0
2006-09-09,UBS,12 month,2.0,reduce 2,21.83
2006-09-13,Goldman Sachs,12 month,1.0,Sell/Neutral,19.65
2006-10-03,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-10-20,Baird,Not Provided,5.0,outperform,25.71
2006-10-23,Barclays,Not Provided,3.0,equalwt/neutral,24.26
2006-11-02,Raymond James,Not Provided,3.0,market perform,-0.0
2006-11-03,Credit Suisse,12 month,5.0,outperform,24.74
2006-11-03,Raymond James,Not Provided,3.0,market perform,-0.0
2006-11-03,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2006-11-03,Thomas Weisel Partners,12 month,3.0,peerperform,18.92
2006-11-03,Baird,Not Provided,5.0,outperform,26.68
2006-11-16,Thomas Weisel Partners,Not Provided,3.0,market weight,-0.0
2006-12-01,UBS,12 month,2.0,reduce 2,21.35
2006-12-01,Thomas Weisel Partners,Not Provided,3.0,market weight,-0.0
2006-12-13,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-12-14,Raymond James,Not Provided,3.0,market perform,-0.0
2006-12-14,Baird,Not Provided,5.0,outperform,26.68
2006-12-14,Thomas Weisel Partners,Not Provided,3.0,market weight,-0.0
2006-12-20,Thomas Weisel Partners,Not Provided,3.0,market weight,-0.0
2007-01-08,Raymond James,Not Provided,3.0,market perform,-0.0
2007-01-08,Credit Suisse,12 month,5.0,outperform,24.26
2007-01-09,Baird,Not Provided,5.0,outperform,26.68
2007-01-09,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2007-01-10,Thomas Weisel Partners,Not Provided,3.0,market weight,-0.0
2007-01-12,Baird,Not Provided,5.0,outperform,26.68
2007-01-12,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,-0.0
2007-01-12,Thomas Weisel Partners,Not Provided,3.0,market weight,-0.0
2007-01-24,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2007-01-24,A.G. Edwards & Sons Inc,Not Provided,3.0,hold,-0.0
2007-01-24,Credit Suisse,12 month,5.0,outperform,27.17
2007-01-25,Baird,Not Provided,5.0,outperform,28.62
2007-01-25,UBS,12 month,2.0,reduce 2,24.26
2007-01-25,Barclays,Not Provided,3.0,equalwt/neutral,25.71
2007-01-25,Thomas Weisel Partners,Not Provided,3.0,market weight,-0.0
2007-01-25,Raymond James,Not Provided,3.0,market perform,-0.0
2007-03-20,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-03-28,Goldman Sachs,12 month,1.0,Sell/Neutral,22.08
2007-03-28,Raymond James,Not Provided,3.0,market perform,-0.0
2007-03-29,CIBC World Markets,18 month,3.0,sector perform,27.65
2007-03-29,Baird,Not Provided,5.0,outperform,28.62
2007-04-18,Goldman Sachs,12 month,1.0,Sell/Neutral,24.26
2007-04-18,Bear Stearns & Co,Not Provided,3.0,peerperform,27.65
2007-04-18,Baird,Not Provided,5.0,outperform,29.6
2007-04-25,Credit Suisse,12 month,5.0,outperform,28.14
2007-04-25,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2007-04-26,Thomas Weisel Partners,12 month,3.0,market weight,24.26
2007-04-26,Baird,Not Provided,5.0,outperform,29.6
2007-04-26,Raymond James,Not Provided,3.0,market perform,-0.0
2007-04-26,Barclays,Not Provided,3.0,equalwt/neutral,26.2
2007-04-26,Bear Stearns & Co,Not Provided,3.0,peerperform,27.17
2007-05-03,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-05-11,UBS,12 month,2.0,reduce 2,24.26
2007-05-22,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-05-25,Baird,Not Provided,5.0,outperform,29.6
2007-05-25,Raymond James,Not Provided,3.0,market perform,-0.0
2007-05-25,UBS,12 month,1.0,sell,24.26
2007-05-31,Goldman Sachs,12 month,1.0,Sell/Neutral,26.2
2007-06-05,Thomas Weisel Partners,12 month,3.0,market weight,24.26
2007-06-06,Baird,Not Provided,5.0,outperform,29.6
2007-06-07,Thomas Weisel Partners,12 month,3.0,market weight,24.26
2007-06-11,Credit Suisse,12 month,5.0,outperform,28.14
2007-06-25,Baird,Not Provided,5.0,outperform,29.6
2007-07-18,Baird,Not Provided,5.0,outperform,29.6
2007-07-18,Raymond James,Not Provided,3.0,market perform,-0.0
2007-07-20,A.G. Edwards & Sons Inc,Not Provided,3.0,hold,-0.0
2007-07-26,A.G. Edwards & Sons Inc,Not Provided,3.0,hold,-0.0
2007-07-27,Thomas Weisel Partners,12 month,3.0,market weight,24.26
2007-07-27,Bear Stearns & Co,Not Provided,3.0,peerperform,24.26
2007-07-27,Baird,Not Provided,5.0,outperform,29.6
2007-07-27,Raymond James,Not Provided,3.0,market perform,-0.0
2007-07-27,Credit Suisse,12 month,5.0,outperform,26.68
2007-07-27,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2007-07-30,CIBC World Markets,18 month,3.0,sector perform,25.71
2007-08-02,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2007-08-06,CIBC World Markets,18 month,3.0,sector perform,25.5
2007-08-10,Baird,Not Provided,5.0,outperform,30.0
2007-08-21,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2007-08-23,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-09-05,Susquehanna Financial,Not Provided,3.0,neutral,-0.0
2007-09-06,UBS,12 month,1.0,sell,24.0
2007-09-17,Goldman Sachs,12 month,1.0,Sell/Neutral,25.0
2007-09-18,Baird,Not Provided,5.0,outperform,30.0
2007-10-02,Bear Stearns & Co,Not Provided,3.0,peerperform,28.5
2007-10-02,Raymond James,Not Provided,3.0,market perform,-0.0
2007-10-08,Baird,Not Provided,5.0,outperform,29.0
2007-10-17,Baird,Not Provided,5.0,outperform,29.0
2007-10-23,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-10-24,UBS,12 month,1.0,sell,22.5
2007-10-30,Thomas Weisel Partners,12 month,3.0,market weight,23.5
2007-11-01,Bear Stearns & Co,Not Provided,3.0,peerperform,29.0
2007-11-01,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,-0.0
2007-11-01,Raymond James,Not Provided,3.0,market perform,-0.0
2007-11-01,Credit Suisse,12 month,5.0,outperform,27.5
