Date,Firm Name,Period,Rating,Recommendation,Target Price
2006-10-03,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2007-10-11,Bear Stearns & Co,Not Provided,5.0,outperform,60.0
2007-11-01,Sterne Agee CRT,Not Provided,5.0,buy,57.5
2007-11-02,Stifel,Not Provided,3.0,hold,24.5
2007-11-02,Credit Suisse,12 month,3.0,neutral,50.0
2007-11-02,Jefferies,Not Provided,5.0,buy,56.0
2007-11-06,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2007-11-10,Argus Research Corp,Not Provided,5.0,buy,-0.0
2007-11-20,Scotia Howard Weil Inc,Not Provided,4.0,market outperform,52.5
2007-12-03,RBC Capital Markets,Not Provided,5.0,outperform,66.5
2007-12-11,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-12-31,Goldman Sachs,12 month,3.0,neutral/neutral,47.5
2007-12-31,Morgan Stanley,12 month,3.0,Equalwt/Attractive,65.0
2008-01-02,Raymond James,Not Provided,5.0,strong buy,52.0
2008-01-10,Tudor Pickering & Co,Not Provided,-2147483648.0,not rated,-0.0
2008-01-11,Barclays,Not Provided,5.0,overwt/positive,53.0
2008-01-11,Wells Fargo Securities,Not Provided,3.0,market perform,56.5
2008-01-29,Stanford Group,12 month,3.0,hold,53.0
2008-01-30,"Capital One Securities, Inc.",Not Provided,5.0,strong buy,57.0
2008-01-30,Natixis Securities Americas LLC,Not Provided,5.0,buy,110.0
2008-01-31,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2008-01-31,Stanford Group,Not Provided,3.0,hold,-0.0
2008-01-31,Morgan Stanley,12 month,5.0,Overwt/Attractive,60.0
2008-01-31,Wells Fargo Securities,Not Provided,3.0,market perform,49.5
2008-02-01,Natixis Securities Americas LLC,Not Provided,5.0,buy,55.0
2008-02-01,"Capital One Securities, Inc.",12 month,5.0,strong buy,54.0
2008-02-01,Goldman Sachs,12 month,3.0,neutral/neutral,45.0
2008-02-01,Scotia Howard Weil Inc,Not Provided,4.0,market outperform,50.0
2008-02-01,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2008-02-01,Jefferies,Not Provided,5.0,buy,56.0
2008-02-01,RBC Capital Markets,Not Provided,5.0,outperform,51.0
2008-02-01,Stifel,Not Provided,3.0,hold,-0.0
2008-02-04,Credit Suisse,12 month,3.0,neutral,50.0
2008-02-04,Barclays,Not Provided,5.0,overwt/positive,51.0
2008-02-05,Sterne Agee CRT,Not Provided,5.0,buy,58.0
2008-02-07,"Capital One Securities, Inc.",12 month,5.0,strong buy,54.0
2008-02-14,Scotia Howard Weil Inc,Not Provided,4.0,market outperform,50.0
2008-03-06,Goldman Sachs,12 month,3.0,neutral/neutral,46.0
2008-03-12,Natixis Securities Americas LLC,Not Provided,5.0,buy,55.0
2008-03-12,Stifel,Not Provided,3.0,hold,-0.0
2008-03-12,"Capital One Securities, Inc.",12 month,5.0,strong buy,54.0
2008-03-12,Morgan Stanley,12 month,5.0,Overwt/Attractive,60.0
2008-03-12,Bear Stearns & Co,Not Provided,5.0,outperform,60.0
2008-03-17,Morgan Stanley,12 month,5.0,Overwt/Attractive,65.0
2008-03-17,"Capital One Securities, Inc.",12 month,5.0,strong buy,54.0
2008-03-24,Wells Fargo Securities,Not Provided,5.0,outperform,49.5
2008-03-27,"Capital One Securities, Inc.",12 month,5.0,strong buy,54.0
2008-04-10,EVA Dimensions,Not Provided,5.0,buy,-0.0
2008-04-11,"Capital One Securities, Inc.",12 month,4.0,add,54.0
2008-04-11,Scotia Howard Weil Inc,Not Provided,4.0,market outperform,50.0
2008-05-01,Sterne Agee CRT,Not Provided,5.0,buy,63.0
2008-05-01,Stanford Group,Not Provided,3.0,hold,-0.0
2008-05-01,Morgan Stanley,12 month,5.0,Overwt/Attractive,65.0
2008-05-02,Jefferies,Not Provided,5.0,buy,56.0
2008-05-02,Raymond James,Not Provided,5.0,strong buy,62.0
2008-05-02,Scotia Howard Weil Inc,Not Provided,4.0,market outperform,60.0
2008-05-02,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2008-05-02,"Capital One Securities, Inc.",12 month,4.0,add,55.0
2008-05-02,Goldman Sachs,12 month,3.0,neutral/neutral,50.0
2008-05-02,RBC Capital Markets,Not Provided,5.0,outperform,63.0
2008-05-02,Natixis Securities Americas LLC,Not Provided,5.0,buy,55.0
2008-05-05,Stifel,Not Provided,3.0,hold,-0.0
2008-05-05,Barclays,Not Provided,5.0,overwt/positive,54.0
2008-05-13,Argus Research Corp,Not Provided,5.0,buy,62.0
2008-05-20,Barclays,Not Provided,5.0,overwt/positive,67.0
2008-05-20,Credit Suisse,12 month,3.0,neutral,60.0
2008-05-27,Morgan Stanley,12 month,5.0,Overwt/Attractive,70.0
2008-05-29,Natixis Securities Americas LLC,Not Provided,5.0,buy,70.0
2008-06-19,Goldman Sachs,12 month,3.0,neutral/neutral,60.0
2008-06-19,"Capital One Securities, Inc.",12 month,4.0,add,56.0
2008-06-26,RBC Capital Markets,Not Provided,5.0,outperform,63.0
2008-06-26,"Capital One Securities, Inc.",12 month,4.0,add,60.0
2008-06-30,Morgan Stanley,12 month,5.0,Overwt/Attractive,73.0
2008-07-02,Goldman Sachs,12 month,3.0,neutral/attractive,60.0
2008-07-03,Morgan Stanley,Not Provided,5.0,Overwt/Attractive,73.0
2008-07-07,"Capital One Securities, Inc.",12 month,4.0,add,60.0
2008-07-17,Morgan Stanley,12 month,5.0,Overwt/Attractive,80.0
2008-07-28,"Capital One Securities, Inc.",12 month,4.0,add,60.0
2008-07-28,Natixis Securities Americas LLC,Not Provided,5.0,buy,70.0
2008-07-28,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2008-07-30,Stanford Group,Not Provided,3.0,hold,-0.0
2008-07-30,Johnson Rice & Co,Not Provided,5.0,overweight,-0.0
2008-07-30,"Capital One Securities, Inc.",12 month,4.0,add,62.0
2008-07-31,Natixis Securities Americas LLC,Not Provided,5.0,buy,70.0
2008-07-31,RBC Capital Markets,Not Provided,5.0,outperform,63.0
2008-07-31,Goldman Sachs,12 month,3.0,neutral/attractive,62.0
