Date,Firm Name,Period,Rating,Recommendation,Target Price
2004-09-07,Argus Research Corp,Not Provided,5.0,buy,-0.0
2005-05-12,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2005-11-03,BB&T Capital Markets,Not Provided,3.0,hold,-0.0
2005-11-04,RBC Capital Markets,Not Provided,5.0,outperform,17.0
2005-11-07,Jefferies,12 month,3.0,hold,13.0
2005-11-07,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2005-11-11,Credit Suisse,12 month,3.0,neutral,13.5
2005-11-18,Atlantic Equities LLP,Not Provided,5.0,overweight,15.0
2005-12-05,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,13.0
2005-12-16,BMO Capital Markets,Not Provided,3.0,neutral,14.0
2006-01-13,BMO Capital Markets,Not Provided,3.0,neutral,14.0
2006-01-23,Credit Suisse,12 month,1.0,underperform,11.5
2006-01-27,Atlantic Equities LLP,Not Provided,5.0,overweight,15.0
2006-02-24,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-02-28,Atlantic Equities LLP,Not Provided,5.0,overweight,-0.0
2006-03-01,Jefferies,12 month,3.0,hold,13.0
2006-03-01,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,13.0
2006-03-01,RBC Capital Markets,Not Provided,5.0,outperform,17.0
2006-03-01,BMO Capital Markets,Not Provided,3.0,neutral,14.0
2006-03-17,Prudential Equity Group Inc,12 month,1.0,underweight,13.0
2006-03-24,BMO Capital Markets,Not Provided,3.0,neutral,14.0
2006-04-30,Cowen,Not Provided,3.0,hold,14.0
2006-05-04,Prudential Equity Group Inc,12 month,1.0,underweight,13.0
2006-05-05,BMO Capital Markets,Not Provided,3.0,neutral,14.0
2006-05-05,BB&T Capital Markets,Not Provided,3.0,hold,-0.0
2006-05-05,RBC Capital Markets,Not Provided,5.0,outperform,17.0
2006-05-08,Jefferies,12 month,3.0,hold,13.0
2006-05-08,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-06-16,BMO Capital Markets,Not Provided,3.0,neutral,13.0
2006-07-05,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2006-07-14,Jefferies,Not Provided,5.0,buy,14.0
2006-07-14,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2006-07-20,Atlantic Equities LLP,Not Provided,5.0,overweight,15.0
2006-07-21,RBC Capital Markets,Not Provided,5.0,outperform,17.0
2006-07-31,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2006-08-01,Atlantic Equities LLP,Not Provided,5.0,overweight,15.0
2006-08-01,Jefferies,Not Provided,5.0,buy,15.5
2006-08-04,Jefferies,Not Provided,5.0,buy,15.5
2006-08-04,RBC Capital Markets,Not Provided,5.0,outperform,17.0
2006-08-07,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-08-07,BMO Capital Markets,Not Provided,3.0,market perform,14.5
2006-08-14,Cowen,Not Provided,3.0,hold,16.0
2006-08-18,Cowen,Not Provided,3.0,hold,16.0
2006-09-25,Credit Suisse,12 month,3.0,neutral,15.0
2006-09-26,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2006-10-06,Jefferies,Not Provided,3.0,hold,15.5
2006-10-12,BMO Capital Markets,Not Provided,3.0,market perform,15.0
2006-10-19,BMO Capital Markets,Not Provided,3.0,market perform,15.0
2006-10-25,Cowen,Not Provided,3.0,hold,16.0
2006-10-25,Atlantic Equities LLP,Not Provided,3.0,neutral,15.5
2006-10-26,BMO Capital Markets,Not Provided,3.0,market perform,15.0
2006-10-30,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-10-31,Jefferies,Not Provided,3.0,hold,16.0
2006-11-02,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2006-11-03,Morgan Stanley,Not Provided,3.0,Equalwt/Cautious,16.0
2006-11-03,BB&T Capital Markets,Not Provided,3.0,hold,-0.0
2006-11-03,RBC Capital Markets,Not Provided,5.0,outperform,18.0
2006-11-06,Argus Research Corp,Not Provided,3.0,hold,-0.0
2006-11-06,Jefferies,Not Provided,3.0,hold,16.0
2006-11-10,BMO Capital Markets,Not Provided,3.0,market perform,15.0
2006-12-11,RBC Capital Markets,Not Provided,5.0,outperform,18.0
2007-01-09,Cowen,Not Provided,3.0,hold,19.0
2007-01-31,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2007-02-02,RBC Capital Markets,Not Provided,5.0,outperform,21.0
2007-02-28,Atlantic Equities LLP,Not Provided,3.0,neutral,15.5
2007-03-01,Jefferies,Not Provided,3.0,hold,18.0
2007-03-01,RBC Capital Markets,Not Provided,5.0,outperform,21.0
2007-03-02,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-03-16,Credit Suisse,12 month,3.0,neutral,18.0
2007-05-02,Cowen,Not Provided,3.0,hold,21.0
2007-05-03,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-05-04,Atlantic Equities LLP,Not Provided,3.0,neutral,15.5
2007-05-07,Credit Suisse,12 month,3.0,neutral,18.0
2007-05-07,Jefferies,Not Provided,3.0,hold,19.0
2007-05-07,RBC Capital Markets,Not Provided,5.0,outperform,23.0
2007-05-08,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-07-13,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2007-07-20,Morgan Stanley,Not Provided,3.0,Equalwt/Cautious,17.5
2007-07-31,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,17.5
2007-08-02,Atlantic Equities LLP,Not Provided,3.0,neutral,15.5
2007-08-03,RBC Capital Markets,Not Provided,5.0,outperform,23.0
2007-08-03,Argus Research Corp,Not Provided,5.0,buy,-0.0
2007-08-06,Jefferies,Not Provided,3.0,hold,16.5
2007-08-06,Credit Suisse,12 month,3.0,neutral,18.0
2007-08-08,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-09-05,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,18.0
2007-09-25,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,18.0
2007-09-26,RBC Capital Markets,Not Provided,5.0,outperform,-0.0
2007-10-05,EVA Dimensions,Not Provided,5.0,buy,-0.0
2007-10-08,Credit Suisse,12 month,5.0,outperform,20.0
2007-11-02,Morgan Stanley,12 month,3.0,Equalwt/Attractive,18.0
2007-11-05,Jefferies,Not Provided,5.0,buy,19.0
2007-11-05,RBC Capital Markets,Not Provided,5.0,outperform,23.0
2007-11-05,Credit Suisse,12 month,5.0,outperform,21.0
2007-12-05,RBC Capital Markets,Not Provided,5.0,outperform,-0.0
2007-12-21,Morgan Stanley,12 month,3.0,Equalwt/Attractive,18.0
2007-12-21,RBC Capital Markets,Not Provided,5.0,outperform,23.0
2007-12-21,Credit Suisse,12 month,5.0,outperform,19.0
2007-12-24,EVA Dimensions,Not Provided,5.0,buy,-0.0
2008-01-09,EVA Dimensions,Not Provided,3.0,hold,-0.0
2008-02-28,Atlantic Equities LLP,Not Provided,3.0,neutral,-0.0
2008-02-29,Jefferies,Not Provided,5.0,buy,17.0
2008-02-29,RBC Capital Markets,Not Provided,5.0,outperform,22.0
2008-03-03,EVA Dimensions,Not Provided,5.0,buy,-0.0
2008-04-23,Jefferies,Not Provided,5.0,buy,17.0
2008-04-30,Morgan Stanley,12 month,3.0,Equalwt/Attractive,18.0
2008-05-01,RBC Capital Markets,Not Provided,5.0,outperform,22.0
2008-05-01,Jefferies,Not Provided,5.0,buy,17.0
2008-06-02,EVA Dimensions,Not Provided,5.0,buy,-0.0
2008-06-26,BMO Capital Markets,12 month,3.0,market perform,18.0
2008-08-07,Jefferies,Not Provided,5.0,buy,17.5
2008-08-07,RBC Capital Markets,Not Provided,5.0,outperform,22.0
2008-09-15,BMO Capital Markets,Not Provided,3.0,market perform,18.0
2008-09-24,RBC Capital Markets,Not Provided,5.0,outperform,22.0
2008-10-15,Jefferies,Not Provided,5.0,buy,14.5
2008-10-16,EVA Dimensions,Not Provided,5.0,buy,-0.0
2008-11-06,RBC Capital Markets,Not Provided,5.0,outperform,16.0
2008-11-18,Atlantic Equities LLP,12 month,5.0,overweight,15.0
2009-01-05,Argus Research Corp,Not Provided,5.0,buy,-0.0
2009-01-05,EVA Dimensions,Not Provided,5.0,buy,-0.0
2009-01-08,Brean Capital LLC,Not Provided,3.0,hold,-0.0
2009-01-23,RBC Capital Markets,Not Provided,5.0,outperform,16.0
2009-01-23,Atlantic Equities LLP,Not Provided,5.0,overweight,15.0
2009-02-04,RBC Capital Markets,Not Provided,5.0,outperform,18.0
2009-02-06,Jefferies,Not Provided,3.0,hold,15.0
2009-02-24,Atlantic Equities LLP,Not Provided,5.0,overweight,14.0
2009-02-26,Jefferies,12 month,5.0,buy,12.0
2009-02-26,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2009-02-26,Atlantic Equities LLP,Not Provided,5.0,overweight,-0.0
2009-02-26,RBC Capital Markets,Not Provided,5.0,outperform,16.0
2009-03-02,Brean Capital LLC,Not Provided,3.0,hold,-0.0
2009-03-20,Argus Research Corp,Not Provided,5.0,buy,-0.0
2009-03-23,Brean Capital LLC,Not Provided,3.0,hold,-0.0
2009-04-15,Jefferies,12 month,5.0,buy,12.0
2009-04-29,Brean Capital LLC,Not Provided,3.0,hold,-0.0
2009-04-30,Jefferies,Not Provided,5.0,buy,12.0
2009-04-30,RBC Capital Markets,Not Provided,5.0,outperform,15.0
2009-04-30,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2009-05-04,Brean Capital LLC,Not Provided,3.0,hold,-0.0
2009-06-23,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2009-07-01,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2009-07-17,Brean Capital LLC,Not Provided,3.0,hold,-0.0
2009-07-27,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-03,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-06,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2009-08-07,Jefferies,12 month,5.0,buy,13.0
2009-08-10,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-13,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-09-10,BMO Capital Markets,Not Provided,3.0,market perform,13.0
2009-09-11,Jefferies,12 month,5.0,buy,13.5
2009-10-29,Brean Capital LLC,Not Provided,3.0,hold,-0.0
2009-10-29,RBC Capital Markets,12 month,5.0,outperform,16.0
2009-10-30,Jefferies,12 month,5.0,buy,14.0
2009-12-15,RBC Capital Markets,12 month,5.0,outperform,17.0
2010-01-11,BMO Capital Markets,Not Provided,3.0,market perform,16.0
2010-01-12,UBS,Not Provided,5.0,buy,17.0
2010-01-25,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,-0.0
2010-01-27,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,-0.0
2010-02-15,BMO Capital Markets,Not Provided,3.0,market perform,16.0
2010-02-28,RBC Capital Markets,12 month,5.0,outperform,17.0
2010-03-01,Jefferies,12 month,5.0,buy,15.0
2010-03-01,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,-0.0
2010-03-02,BMO Capital Markets,Not Provided,3.0,market perform,16.0
2010-03-08,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,-0.0
2010-03-16,BMO Capital Markets,Not Provided,3.0,market perform,16.0
2010-03-22,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,-0.0
2010-03-22,BMO Capital Markets,Not Provided,3.0,market perform,16.0
