Date,Firm Name,Period,Rating,Recommendation,Target Price
2004-11-05,Argus Research Corp,Not Provided,3.0,hold,-0.0
2005-02-08,A.G. Edwards & Sons Inc,Not Provided,3.0,hold,-0.0
2005-04-07,William Blair & Co,Not Provided,1.0,underperform,-0.0
2005-04-24,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2005-05-31,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2005-08-11,FTN Equity Capital Markets Corp.,Not Provided,3.0,neutral,49.0
2005-10-18,Buckingham Research Group,Not Provided,3.0,neutral,-0.0
2005-11-22,ThinkEquity LLC,12 month,5.0,buy,56.0
2005-12-01,KeyBanc Capital Markets,Not Provided,3.0,hold,-0.0
2005-12-02,Barclays,Not Provided,3.0,equalwt/neutral,55.0
2005-12-07,Edward Jones,Not Provided,5.0,buy,-0.0
2005-12-08,Piper Jaffray,12 month,3.0,market perform,45.0
2005-12-08,HSBC,Not Provided,1.0,underweight,45.93
2005-12-08,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,49.0
2005-12-09,Goldman Sachs,Not Provided,3.0,in-line/neutral,-0.0
2005-12-09,Credit Suisse,12 month,3.0,neutral,46.0
2005-12-09,Lazard Capital Markets,12 month,3.0,hold,47.0
2005-12-12,UBS,Not Provided,5.0,buy 2,59.0
2005-12-15,Stifel,Not Provided,3.0,hold,-0.0
2005-12-19,CIBC World Markets,Not Provided,3.0,sector perform,52.0
2005-12-22,Rochdale Securities,Not Provided,5.0,buy,60.08
2005-12-27,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2005-12-29,Bernstein,12 month,3.0,market perform,46.0
2006-01-05,Stifel,Not Provided,3.0,hold,-0.0
2006-01-16,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2006-01-18,Lazard Capital Markets,12 month,3.0,hold,47.0
2006-01-27,Lazard Capital Markets,12 month,3.0,hold,47.0
2006-02-02,Stifel,Not Provided,3.0,hold,-0.0
2006-02-06,Credit Suisse,12 month,3.0,neutral,46.0
2006-02-09,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2006-02-15,Rochdale Securities,Not Provided,5.0,buy,60.05
2006-02-23,ThinkEquity LLC,12 month,5.0,buy,60.0
2006-03-02,Goldman Sachs,Not Provided,3.0,in-line/neutral,-0.0
2006-03-02,Stifel,Not Provided,3.0,hold,-0.0
2006-03-02,UBS,Not Provided,5.0,buy 2,62.0
2006-03-03,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-03-03,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,49.0
2006-03-03,Barclays,Not Provided,3.0,equalwt/neutral,57.0
2006-03-03,Credit Suisse,12 month,3.0,neutral,55.0
2006-03-03,Piper Jaffray,12 month,3.0,market perform,52.0
2006-03-07,Edward Jones,Not Provided,5.0,buy,-0.0
2006-03-07,HSBC,Not Provided,1.0,underweight,45.93
2006-03-08,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-03-15,Rochdale Securities,Not Provided,5.0,buy,64.0
2006-03-17,ThinkEquity LLC,12 month,5.0,buy,60.0
2006-03-24,Piper Jaffray,12 month,3.0,market perform,52.0
2006-03-27,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-03-30,UBS,Not Provided,5.0,buy 2,66.0
2006-03-31,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-04-03,UBS,Not Provided,5.0,buy 2,66.0
2006-04-04,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-04-06,CIBC World Markets,Not Provided,3.0,sector perform,56.0
2006-04-06,Stifel,Not Provided,3.0,hold,-0.0
2006-04-07,HSBC,Not Provided,1.0,underweight,53.2
2006-04-10,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-04-13,UBS,Not Provided,5.0,buy 2,66.0
2006-04-28,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-05-01,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-05-02,Stifel,Not Provided,3.0,hold,-0.0
2006-05-04,CIBC World Markets,18 month,3.0,sector perform,57.0
2006-05-05,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-05-09,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-05-12,Rochdale Securities,12 month,3.0,hold,57.0
2006-05-19,Rochdale Securities,12 month,3.0,hold,53.0
2006-05-26,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-05-30,Stifel,Not Provided,3.0,hold,-0.0
2006-05-31,Stifel,Not Provided,3.0,hold,-0.0
2006-06-01,UBS,Not Provided,5.0,buy 2,66.0
2006-06-01,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-06-01,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-06-06,Rochdale Securities,12 month,3.0,hold,41.0
2006-06-08,Buckingham Research Group,Not Provided,3.0,neutral,-0.0
2006-06-12,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-06-12,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-06-13,Rochdale Securities,12 month,3.0,hold,46.0
2006-06-19,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-06-20,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2006-06-22,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2006-06-23,Stifel,Not Provided,3.0,hold,-0.0
2006-06-26,Goldman Sachs,Not Provided,3.0,in-line/neutral,58.0
2006-06-29,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-06-29,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-07-05,Stifel,Not Provided,3.0,hold,-0.0
2006-07-07,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-07-24,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-07-31,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-07-31,Stifel,Not Provided,3.0,hold,-0.0
2006-08-03,Stifel,Not Provided,3.0,hold,-0.0
2006-08-04,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-08-11,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-08-22,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-08-25,ThinkEquity LLC,12 month,5.0,buy,64.0
2006-08-28,Argus Research Corp,Not Provided,5.0,buy,-0.0
2006-08-28,Piper Jaffray,12 month,3.0,market perform,54.0
2006-08-30,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-08-30,Stifel,Not Provided,3.0,hold,-0.0
2006-08-30,HSBC,Not Provided,1.0,underweight,50.0
2006-08-31,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-08-31,ThinkEquity LLC,12 month,5.0,buy,60.0
2006-08-31,Piper Jaffray,12 month,3.0,market perform,49.0
2006-08-31,Barclays,Not Provided,3.0,equalwt/neutral,52.0
2006-08-31,Credit Suisse,12 month,3.0,neutral,51.0
2006-08-31,Goldman Sachs,Not Provided,3.0,in-line/neutral,53.0
2006-09-08,FTN Equity Capital Markets Corp.,Not Provided,3.0,neutral,-0.0
2006-09-13,ThinkEquity LLC,12 month,5.0,buy,60.0
2006-09-19,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2006-09-21,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-09-25,EVA Dimensions,Not Provided,5.0,strong buy,-0.0
2006-09-26,ThinkEquity LLC,12 month,5.0,buy,60.0
2006-09-28,Stifel,Not Provided,3.0,hold,-0.0
2006-09-28,HSBC,Not Provided,1.0,underweight,47.0
2006-09-28,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-09-29,HSBC,Not Provided,1.0,underweight,47.0
2006-10-03,Piper Jaffray,12 month,3.0,market perform,49.0
2006-10-05,Stifel,Not Provided,3.0,hold,-0.0
2006-10-05,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-10-11,ThinkEquity LLC,12 month,5.0,buy,60.0
2006-10-12,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-10-12,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2006-10-12,Stifel,Not Provided,3.0,hold,-0.0
2006-10-12,Credit Suisse,12 month,3.0,neutral,51.0
2006-10-13,Piper Jaffray,12 month,3.0,market perform,49.0
2006-10-13,Prudential Equity Group Inc,Not Provided,1.0,underweight,45.0
2006-10-13,Barclays,Not Provided,3.0,equalwt/neutral,57.0
2006-10-13,Goldman Sachs,Not Provided,3.0,neutral/neutral,55.0
2006-10-13,Credit Suisse,12 month,3.0,neutral,51.0
2006-10-13,ThinkEquity LLC,12 month,5.0,buy,63.0
2006-10-27,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-11-01,Piper Jaffray,12 month,3.0,market perform,49.0
2006-11-02,Prudential Equity Group Inc,Not Provided,1.0,underweight,45.0
2006-11-02,Stifel,Not Provided,3.0,hold,-0.0
2006-11-02,HSBC,Not Provided,1.0,underweight,47.0
2006-11-03,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-11-08,ThinkEquity LLC,12 month,5.0,buy,63.0
2006-11-20,UBS,Not Provided,5.0,buy 2,66.0
2006-11-20,Stifel,Not Provided,3.0,hold,-0.0
2006-11-30,Stifel,Not Provided,3.0,hold,-0.0
2006-11-30,Prudential Equity Group Inc,Not Provided,1.0,underweight,45.0
2006-12-01,Lazard Capital Markets,Not Provided,3.0,hold,-0.0
2006-12-05,ThinkEquity LLC,12 month,5.0,buy,63.0
2006-12-08,UBS,Not Provided,5.0,buy 2,66.0
2006-12-08,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2006-12-13,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2006-12-14,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2006-12-14,Prudential Equity Group Inc,Not Provided,1.0,underweight,45.0
