Date,Firm Name,Period,Rating,Recommendation,Target Price
2013-05-08,S&P Capital IQ,12 month,5.0,buy,24.0
2013-05-29,Imperial Capital LLC,12 month,5.0,outperform,23.0
2013-07-24,Evercore ISI,12 month,3.0,equalweight,21.0
2013-07-24,Goldman Sachs,6 month,5.0,Buy/Neutral,23.4
2013-07-25,EVA Dimensions,Not Provided,5.0,overweight,-0.0
2013-07-25,Raymond James,12 month,5.0,outperform,25.0
2013-08-14,J.P. Morgan,3 month,3.0,neutral,22.0
2013-08-16,Avondale Partners LLC,12 month,4.0,market outperform,26.0
2013-09-03,Sterne Agee CRT,Not Provided,5.0,buy,25.0
2013-09-05,Morgan Stanley,Not Provided,5.0,Overwt/Attractive,-0.0
2013-09-09,Barclays,Not Provided,5.0,overweight,25.0
2013-09-10,Buckingham Research Group,12 month,5.0,buy,30.0
2013-09-12,Cowen,12 month,5.0,outperform,28.0
2013-09-12,Wolfe Research,12 month,5.0,outperform,25.0
2013-09-13,Wolfe Research,12 month,5.0,outperform,26.0
2013-09-16,Buckingham Research Group,12 month,5.0,buy,33.0
2013-09-16,Cowen,12 month,5.0,outperform,28.0
2013-09-17,Imperial Capital LLC,12 month,5.0,outperform,26.0
2013-09-17,J.P. Morgan,15 month,5.0,overweight,26.0
2013-09-20,Wolfe Research,12 month,5.0,outperform,26.0
2013-09-20,Sterne Agee CRT,Not Provided,5.0,buy,25.0
2013-09-25,Cowen,12 month,5.0,outperform,28.0
2013-09-26,Morgan Stanley,Not Provided,5.0,Overwt/Attractive,-0.0
2013-09-30,Wolfe Research,12 month,5.0,outperform,26.0
2013-09-30,Buckingham Research Group,12 month,5.0,buy,30.0
2013-10-02,Cowen,12 month,5.0,outperform,28.0
2013-10-02,Evercore ISI,12 month,3.0,equalweight,24.0
2013-10-02,Raymond James,12 month,5.0,outperform,28.0
2013-10-03,Imperial Capital LLC,12 month,5.0,outperform,31.0
2013-10-03,J.P. Morgan,12 month,5.0,overweight,30.0
2013-10-03,Morgan Stanley,Not Provided,5.0,Overwt/Attractive,-0.0
2013-10-03,Goldman Sachs,6 month,5.0,Buy/Neutral,25.0
2013-10-03,Sterne Agee CRT,Not Provided,5.0,buy,28.0
2013-10-04,Barclays,Not Provided,5.0,overweight,33.0
2013-10-08,Calamatta Cuschieri,12 month,5.0,overweight,33.0
2013-10-09,Buckingham Research Group,12 month,5.0,buy,30.0
2013-10-10,Wolfe Research,12 month,5.0,outperform,30.0
2013-10-14,Cowen,12 month,5.0,outperform,28.0
2013-10-16,Avondale Partners LLC,12 month,4.0,market outperform,30.0
