Date,Firm Name,Period,Rating,Recommendation,Target Price
2016-06-15,Barclays,Not Provided,-2147483648.0,suspended coverage,-0.0
2016-11-01,J.P. Morgan,Not Provided,-2147483648.0,Rating Suspended,-0.0
2016-11-02,Cantor Fitzgerald,12 month,5.0,buy,90.0
2016-11-09,Mizuho Securities USA Inc,Not Provided,3.0,neutral,71.0
2016-11-09,Avondale Partners LLC,Not Provided,4.0,market outperform,94.0
2016-11-10,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2016-11-29,Raymond James,12 month,5.0,strong buy,100.0
2016-12-02,Stephens Inc,12 month,5.0,overweight,84.0
2016-12-02,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2016-12-02,Goldman Sachs,12 month,5.0,Buy/Neutral,86.0
2016-12-05,KeyBanc Capital Markets,12 month,5.0,overweight,90.0
2016-12-05,Baird,12 month,5.0,outperform,101.0
2016-12-05,SunTrust Robinson Humphrey,12 month,5.0,buy,100.0
2016-12-06,Jefferies,12 month,5.0,buy,90.0
2016-12-06,EVA Dimensions,Not Provided,1.0,underweight,-0.0
2016-12-07,Oppenheimer & Co,18 month,5.0,outperform,87.0
2016-12-07,J.P. Morgan,12 month,5.0,overweight,89.0
2016-12-09,Canaccord Genuity,Not Provided,5.0,buy,86.0
2016-12-09,Goldman Sachs,12 month,5.0,Buy/Neutral,90.0
2016-12-12,UBS,12 month,5.0,buy,92.0
2016-12-12,Cantor Fitzgerald,12 month,5.0,buy,90.0
2016-12-12,Stephens Inc,Not Provided,5.0,overweight,84.0
2016-12-12,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2016-12-13,Avondale Partners LLC,12 month,4.0,market outperform,90.0
2016-12-13,EVA Dimensions,Not Provided,5.0,overweight,-0.0
2016-12-13,Baird,12 month,5.0,outperform,101.0
2016-12-15,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2016-12-15,William Blair & Co,Not Provided,5.0,outperform,-0.0
2016-12-15,Barclays,Not Provided,5.0,overweight,85.0
2016-12-17,EVA Dimensions,Not Provided,5.0,overweight,-0.0
2016-12-19,Stephens Inc,Not Provided,5.0,overweight,84.0
2016-12-19,Baird,Not Provided,5.0,outperform,101.0
2016-12-19,Canaccord Genuity,12 month,5.0,buy,86.0
2016-12-23,Canaccord Genuity,Not Provided,5.0,buy,86.0
2016-12-27,Stephens Inc,Not Provided,5.0,overweight,84.0
2016-12-27,Baird,12 month,5.0,outperform,101.0
2016-12-28,Raymond James,12 month,5.0,strong buy,90.0
2016-12-30,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-01-02,EVA Dimensions,Not Provided,5.0,buy,-0.0
2017-01-03,Mizuho Securities USA Inc,12 month,3.0,neutral,27.0
2017-01-05,KeyBanc Capital Markets,Not Provided,5.0,overweight,90.0
2017-01-05,Barclays,Not Provided,5.0,overweight,85.0
2017-01-05,SunTrust Robinson Humphrey,12 month,5.0,buy,100.0
2017-01-05,Baird,Not Provided,5.0,outperform,101.0
2017-01-05,RBC Capital Markets,12 month,5.0,outperform,87.0
2017-01-06,Stephens Inc,Not Provided,5.0,overweight,84.0
2017-01-06,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2017-01-06,Oppenheimer & Co,18 month,5.0,outperform,87.0
2017-01-09,J.P. Morgan,12 month,5.0,overweight,89.0
2017-01-10,RBC Capital Markets,12 month,5.0,outperform,87.0
2017-01-10,Baird,12 month,5.0,outperform,101.0
2017-01-16,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-01-17,Oppenheimer & Co,Not Provided,5.0,outperform,87.0
2017-01-18,Baird,Not Provided,5.0,outperform,101.0
2017-01-23,Baird,Not Provided,5.0,outperform,101.0
2017-01-26,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-01-30,William Blair & Co,Not Provided,5.0,outperform,-0.0
2017-01-30,Baird,Not Provided,5.0,outperform,101.0
2017-02-03,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-02-03,Oppenheimer & Co,Not Provided,5.0,outperform,87.0
2017-02-10,Baird,Not Provided,5.0,outperform,101.0
2017-02-10,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-02-13,Baird,Not Provided,5.0,outperform,101.0
2017-02-17,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-02-17,Oppenheimer & Co,Not Provided,5.0,outperform,87.0
2017-02-21,Baird,Not Provided,5.0,outperform,101.0
2017-02-23,Stephens Inc,Not Provided,5.0,overweight,84.0
2017-02-24,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-02-27,Avondale Partners LLC,12 month,4.0,market outperform,90.0
2017-02-28,William Blair & Co,Not Provided,5.0,outperform,-0.0
2017-03-01,UBS,12 month,5.0,buy,75.0
2017-03-01,Oppenheimer & Co,12 month,5.0,outperform,80.0
2017-03-01,SunTrust Robinson Humphrey,Not Provided,5.0,buy,85.0
2017-03-01,Barclays,Not Provided,5.0,overweight,77.0
2017-03-01,J.P. Morgan,9 month,5.0,overweight,78.0
2017-03-01,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-03-01,Avondale Partners LLC,12 month,4.0,market outperform,77.0
2017-03-01,Jefferies,12 month,5.0,buy,82.0
2017-03-01,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2017-03-01,Stephens Inc,Not Provided,5.0,overweight,79.0
2017-03-01,RBC Capital Markets,12 month,5.0,outperform,80.0
2017-03-02,Cantor Fitzgerald,12 month,5.0,overweight,80.0
2017-03-03,KeyBanc Capital Markets,12 month,5.0,overweight,80.0
2017-03-06,Raymond James,12 month,5.0,strong buy,90.0
2017-03-06,Baird,Not Provided,5.0,outperform,83.0
2017-03-06,Mizuho Securities USA Inc,12 month,3.0,neutral,70.0
2017-03-07,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2017-03-07,Stephens Inc,12 month,5.0,overweight,79.0
2017-03-08,Jefferies,12 month,5.0,buy,82.0
2017-03-10,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-03-13,Baird,Not Provided,5.0,outperform,83.0
2017-03-14,RBC Capital Markets,12 month,5.0,outperform,80.0
2017-03-16,Cantor Fitzgerald,12 month,5.0,overweight,80.0
2017-03-17,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-03-20,Baird,Not Provided,5.0,outperform,81.0
2017-03-21,William Blair & Co,Not Provided,5.0,outperform,-0.0
2017-03-21,Barclays,Not Provided,5.0,overweight,77.0
2017-03-24,KeyBanc Capital Markets,12 month,5.0,overweight,80.0
2017-03-24,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-03-27,Cantor Fitzgerald,12 month,5.0,overweight,80.0
2017-03-27,Baird,Not Provided,5.0,outperform,81.0
2017-03-31,Cantor Fitzgerald,Not Provided,5.0,overweight,80.0
2017-04-03,Baird,Not Provided,5.0,outperform,81.0
2017-04-04,SunTrust Robinson Humphrey,Not Provided,5.0,buy,85.0
2017-04-06,Raymond James,12 month,5.0,strong buy,90.0
2017-04-07,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2017-04-07,Cantor Fitzgerald,Not Provided,5.0,overweight,80.0
2017-04-08,RBC Capital Markets,Not Provided,5.0,outperform,-0.0
2017-04-10,William Blair & Co,Not Provided,5.0,outperform,-0.0
2017-04-10,Baird,Not Provided,5.0,outperform,81.0
2017-04-13,Oppenheimer & Co,Not Provided,5.0,outperform,80.0
2017-04-13,Baird,Not Provided,5.0,outperform,81.0
2017-04-17,Cantor Fitzgerald,Not Provided,5.0,overweight,80.0
2017-04-17,Stephens Inc,12 month,5.0,overweight,79.0
2017-04-18,Raymond James,Not Provided,5.0,strong buy,90.0
2017-04-18,Canaccord Genuity,12 month,5.0,buy,86.0
2017-04-20,Jefferies,12 month,5.0,buy,75.0
2017-04-20,Baird,Not Provided,5.0,outperform,81.0
2017-04-21,Barclays,Not Provided,5.0,overweight,77.0
2017-04-21,Canaccord Genuity,Not Provided,5.0,buy,86.0
2017-04-24,RBC Capital Markets,Not Provided,5.0,outperform,-0.0
2017-04-24,Stephens Inc,Not Provided,5.0,overweight,79.0
2017-05-01,Stephens Inc,Not Provided,5.0,overweight,79.0
2017-05-02,Mizuho Securities USA Inc,12 month,3.0,neutral,70.0
2017-05-02,KeyBanc Capital Markets,12 month,5.0,overweight,78.0
2017-05-02,Baird,12 month,5.0,outperform,73.0
2017-05-02,William Blair & Co,Not Provided,5.0,outperform,-0.0
2017-05-02,Canaccord Genuity,12 month,5.0,buy,68.0
2017-05-03,Goldman Sachs,12 month,5.0,Buy/Neutral,85.0
2017-05-03,William Blair & Co,Not Provided,5.0,outperform,-0.0
2017-05-03,Jefferies,12 month,5.0,buy,71.0
2017-05-03,SunTrust Robinson Humphrey,Not Provided,5.0,buy,75.0
2017-05-03,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2017-05-03,Raymond James,12 month,5.0,strong buy,75.0
2017-05-03,RBC Capital Markets,12 month,5.0,outperform,72.0
2017-05-03,Oppenheimer & Co,12 month,5.0,outperform,77.0
2017-05-03,Barclays,Not Provided,5.0,overweight,77.0
2017-05-04,UBS,12 month,5.0,buy,72.0
2017-05-04,Cantor Fitzgerald,Not Provided,5.0,overweight,75.0
2017-05-05,J.P. Morgan,9 month,5.0,overweight,72.0
2017-05-05,Baird,Not Provided,5.0,outperform,73.0
2017-05-05,Canaccord Genuity,Not Provided,5.0,buy,68.0
2017-05-08,Stephens Inc,Not Provided,5.0,overweight,73.0
2017-05-12,Baird,Not Provided,5.0,outperform,73.0
2017-05-15,RBC Capital Markets,12 month,5.0,outperform,72.0
2017-05-15,Stephens Inc,12 month,5.0,overweight,73.0
2017-05-17,Barclays,Not Provided,5.0,overweight,77.0
2017-05-17,Cantor Fitzgerald,Not Provided,5.0,overweight,75.0
2017-05-19,Oppenheimer & Co,Not Provided,5.0,outperform,77.0
2017-05-19,Canaccord Genuity,Not Provided,5.0,buy,68.0
2017-05-19,Baird,Not Provided,5.0,outperform,73.0
2017-05-22,Stephens Inc,12 month,5.0,overweight,73.0
2017-05-22,Baird,Not Provided,5.0,outperform,73.0
