Date,Firm Name,Period,Rating,Recommendation,Target Price
2014-07-07,EVA Dimensions,Not Provided,1.0,underweight,-0.0
2015-01-23,CM Research,Not Provided,1.0,sell,179.0
2015-02-19,Canaccord Genuity,12 month,5.0,buy,260.0
2015-02-19,Pacific Crest Securities,12 month,5.0,outperform,255.0
2015-02-20,FBN Securities,12 month,5.0,outperform,260.0
2015-02-20,William Blair & Co,Not Provided,5.0,outperform,-0.0
2015-02-20,Stephens Inc,12 month,3.0,equalweight,252.0
2015-02-20,Jefferies,12 month,5.0,buy,240.0
2015-02-20,Nomura,12 month,5.0,buy,250.0
2015-02-20,Piper Jaffray,12 month,3.0,neutral,215.0
2015-02-20,Barclays,Not Provided,3.0,equalweight,230.0
2015-02-23,J.P. Morgan,Not Provided,-2147483648.0,Rating Suspended,-0.0
2015-02-27,Morgan Stanley,Not Provided,3.0,Equalwt/Cautious,-0.0
2015-03-11,Cowen,Not Provided,3.0,market perform,212.0
2015-03-16,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2015-03-16,Stifel,12 month,5.0,buy,270.0
2015-03-16,Oppenheimer & Co,Not Provided,5.0,outperform,240.0
2015-03-20,RBC Capital Markets,12 month,5.0,outperform,255.0
2015-03-24,Evercore ISI,Not Provided,5.0,buy,235.0
2015-03-25,Raymond James,12 month,5.0,strong buy,265.0
2015-03-25,Gabelli & Co,Not Provided,5.0,buy,-0.0
2015-03-27,Goldman Sachs,12 month,3.0,neutral/neutral,253.0
2015-03-27,Cowen,Not Provided,3.0,market perform,212.0
2015-03-29,Evercore ISI,Not Provided,5.0,buy,235.0
2015-03-30,Oppenheimer & Co,Not Provided,5.0,outperform,240.0
2015-04-02,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2015-04-09,Oppenheimer & Co,Not Provided,5.0,outperform,240.0
2015-04-13,Oppenheimer & Co,Not Provided,5.0,outperform,240.0
2015-04-14,Evercore ISI,12 month,5.0,buy,235.0
2015-04-15,Cowen,Not Provided,3.0,market perform,212.0
2015-04-16,Stifel,12 month,5.0,buy,270.0
2015-04-17,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2015-04-20,Stephens Inc,12 month,3.0,equalweight,252.0
2015-04-20,Raymond James,12 month,5.0,strong buy,265.0
2015-04-21,Cowen,Not Provided,3.0,market perform,212.0
2015-04-29,Canaccord Genuity,Not Provided,5.0,buy,300.0
2015-04-29,Raymond James,12 month,5.0,strong buy,275.0
2015-04-29,Pacific Crest Securities,Not Provided,5.0,overweight,275.0
2015-04-29,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
