Date,Firm Name,Period,Rating,Recommendation,Target Price
2005-04-25,Lehman Brothers,Not Provided,5.0,overwt/neutral,70.0
2005-06-03,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2005-09-15,Goldman Sachs,Not Provided,5.0,outperform,73.0
2005-11-09,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,75.0
2005-11-10,Leerink Partners LLC,Not Provided,5.0,outperform,-0.0
2005-11-10,Baird,Not Provided,5.0,outperform,73.0
2005-11-15,EVA Dimensions,Not Provided,5.0,buy,-0.0
2005-11-20,UBS,Not Provided,5.0,buy 2,78.0
2005-11-21,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2005-12-07,Infinium Securities,12 month,5.0,outperform,76.0
2006-01-17,First Analysis Corp,Not Provided,3.0,equalweight,-0.0
2006-01-23,Infinium Securities,12 month,5.0,outperform,76.0
2006-02-08,UBS,Not Provided,5.0,buy 2,83.0
2006-02-08,Lehman Brothers,Not Provided,5.0,overwt/neutral,76.0
2006-02-08,Baird,Not Provided,5.0,outperform,80.0
2006-02-08,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-02-09,Leerink Partners LLC,12 month,5.0,outperform,80.0
2006-02-10,Infinium Securities,12 month,5.0,outperform,81.0
2006-03-01,EVA Dimensions,Not Provided,5.0,buy,-0.0
2006-03-16,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-03-16,Infinium Securities,12 month,5.0,outperform,81.0
2006-03-17,Baird,Not Provided,5.0,outperform,80.0
2006-03-30,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-04-12,Leerink Partners LLC,12 month,5.0,outperform,80.0
2006-05-02,UBS,Not Provided,5.0,buy 2,84.0
2006-05-02,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-05-03,Baird,12 month,5.0,outperform,82.0
2006-05-03,Infinium Securities,12 month,5.0,outperform,81.0
2006-05-03,Leerink Partners LLC,12 month,5.0,outperform,83.0
2006-05-08,Lehman Brothers,Not Provided,-2147483648.0,suspended coverage,-0.0
2006-05-08,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,-0.0
2006-05-08,Goldman Sachs,Not Provided,-2147483648.0,not rated,-0.0
2006-05-09,UBS,Not Provided,3.0,neutral 2,82.0
2006-05-09,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2006-05-09,Infinium Securities,12 month,-2147483648.0,tender,84.0
2006-05-11,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-06-20,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-07-26,Baird,12 month,5.0,outperform,90.0
2006-08-03,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-08-07,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-09-05,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-09-08,UBS,12 month,3.0,neutral 2,84.0
2006-10-24,UBS,12 month,3.0,neutral 2,84.0
2006-10-24,Thomas Weisel Partners,Not Provided,3.0,peerperform,-0.0
2006-10-24,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-10-24,Baird,12 month,5.0,outperform,90.0
2006-10-27,Baird,12 month,5.0,outperform,96.0
