Date,Firm Name,Period,Rating,Recommendation,Target Price
2004-08-04,Soleil Securities,Not Provided,3.0,hold,13.0
2004-11-23,J.P. Morgan,Not Provided,5.0,overweight,-0.0
2005-03-23,CIBC World Markets,Not Provided,3.0,sector perform,-0.0
2005-05-05,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2005-08-31,Goldman Sachs,Not Provided,3.0,in-line/neutral,-0.0
2005-10-06,EVA Dimensions,Not Provided,1.0,sell,-0.0
2005-10-19,Barclays,Not Provided,5.0,overwt/positive,15.0
2005-11-02,UBS,Not Provided,3.0,neutral 2,13.0
2005-11-02,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2005-11-03,Raymond James,Not Provided,5.0,outperform,14.5
2005-11-03,Morgan Stanley,Not Provided,5.0,Overwt/Cautious,15.5
2005-11-04,Hilliard Lyons,Not Provided,5.0,buy,-0.0
2005-12-01,Stifel,Not Provided,5.0,buy,15.0
2006-01-06,Raymond James,Not Provided,5.0,outperform,14.5
2006-01-25,Soleil Securities,12 month,5.0,buy,14.0
2006-01-27,Bear Stearns & Co,Not Provided,5.0,outperform,13.5
2006-02-06,EVA Dimensions,Not Provided,1.0,sell,-0.0
2006-02-07,Raymond James,Not Provided,5.0,outperform,14.5
2006-02-07,Stifel,Not Provided,5.0,buy,15.0
2006-02-10,Stifel,Not Provided,5.0,buy,15.0
2006-02-23,Wells Fargo Securities,Not Provided,3.0,market perform,14.0
2006-02-24,Stifel,Not Provided,5.0,buy,15.0
2006-02-24,Raymond James,Not Provided,5.0,outperform,14.5
2006-03-03,Hilliard Lyons,12 month,5.0,buy,14.0
2006-03-14,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2006-03-17,Stifel,Not Provided,5.0,buy,15.0
2006-03-24,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-03-31,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-05-03,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-05-04,Stifel,Not Provided,5.0,buy,15.0
2006-05-04,Raymond James,Not Provided,5.0,outperform,15.0
2006-05-05,Hilliard Lyons,12 month,5.0,buy,14.0
2006-05-12,EVA Dimensions,Not Provided,1.0,sell,-0.0
2006-06-02,Raymond James,Not Provided,5.0,outperform,15.0
2006-06-26,Goldman Sachs,Not Provided,3.0,neutral/neutral,13.0
2006-08-02,Stifel,Not Provided,5.0,buy,15.0
2006-08-03,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-08-03,Raymond James,Not Provided,5.0,outperform,15.0
2006-08-09,EVA Dimensions,Not Provided,1.0,sell,-0.0
2006-08-11,Hilliard Lyons,12 month,5.0,buy,14.0
2006-09-15,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2006-09-18,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-09-19,Raymond James,Not Provided,5.0,outperform,15.0
2006-09-20,Hilliard Lyons,12 month,5.0,buy,14.0
2006-09-20,Credit Suisse,12 month,5.0,outperform,15.0
2006-09-21,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-10-13,UBS,Not Provided,3.0,neutral 2,14.0
2006-10-23,EVA Dimensions,Not Provided,3.0,hold,-0.0
2006-11-07,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2006-11-07,Stifel,Not Provided,5.0,buy,15.0
2006-11-08,Raymond James,Not Provided,5.0,outperform,15.0
2006-11-08,Soleil Securities,Not Provided,3.0,hold,15.0
2006-11-08,Credit Suisse,12 month,5.0,outperform,15.0
2006-12-14,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,14.0
2007-01-08,Raymond James,Not Provided,5.0,outperform,15.0
2007-01-23,EVA Dimensions,Not Provided,3.0,hold,-0.0
2007-01-24,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,15.5
2007-02-06,Soleil Securities,Not Provided,3.0,hold,15.0
2007-02-09,Stifel,Not Provided,3.0,hold,-0.0
2007-02-27,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,14.0
2007-02-27,Soleil Securities,Not Provided,3.0,hold,15.0
2007-02-27,Stifel,Not Provided,3.0,hold,-0.0
2007-02-28,Credit Suisse,12 month,5.0,outperform,15.0
2007-02-28,Raymond James,Not Provided,5.0,outperform,15.0
2007-02-28,Goldman Sachs,Not Provided,3.0,neutral/neutral,14.0
2007-02-28,Barclays,Not Provided,5.0,overwt/positive,16.0
2007-02-28,Wells Fargo Securities,Not Provided,3.0,market perform,14.5
2007-03-02,EVA Dimensions,Not Provided,1.0,sell,-0.0
2007-03-08,Credit Suisse,12 month,5.0,outperform,15.0
2007-04-09,Soleil Securities,Not Provided,3.0,hold,14.0
2007-04-23,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,14.0
2007-05-02,Prudential Equity Group Inc,Not Provided,3.0,neutral weight,14.0
2007-05-02,Stifel,Not Provided,3.0,hold,-0.0
2007-05-02,UBS,Not Provided,3.0,neutral 2,16.0
2007-05-03,Credit Suisse,12 month,5.0,outperform,16.0
2007-05-03,Wells Fargo Securities,Not Provided,3.0,market perform,16.0
2007-05-03,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2007-05-03,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2007-05-03,EVA Dimensions,Not Provided,1.0,sell,-0.0
2007-05-03,Raymond James,Not Provided,3.0,market perform,-0.0
2007-05-07,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,15.5
2007-05-07,Hilliard Lyons,Not Provided,3.0,neutral,-0.0
2007-05-09,Credit Suisse,12 month,3.0,neutral,16.0
2007-05-16,Soleil Securities,Not Provided,3.0,hold,15.0
2007-05-17,EVA Dimensions,Not Provided,1.0,sell,-0.0
2007-06-12,UBS,12 month,3.0,neutral,16.0
2007-07-05,Raymond James,Not Provided,3.0,market perform,-0.0
2007-07-20,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2007-08-01,Credit Suisse,12 month,3.0,neutral,16.0
2007-08-01,Soleil Securities,Not Provided,3.0,hold,14.0
2007-08-02,Wells Fargo Securities,Not Provided,3.0,market perform,16.5
2007-08-02,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2007-08-02,Raymond James,Not Provided,3.0,market perform,-0.0
2007-08-06,Soleil Securities,Not Provided,3.0,hold,13.0
2007-08-15,EVA Dimensions,Not Provided,1.0,sell,-0.0
2007-08-27,Hilliard Lyons,Not Provided,3.0,neutral,-0.0
2007-10-12,EVA Dimensions,Not Provided,1.0,sell,-0.0
2007-10-19,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2007-10-30,Soleil Securities,Not Provided,3.0,hold,14.0
2007-11-06,Morgan Stanley,12 month,3.0,Equalwt/In-Line,15.5
2007-11-06,Stifel,Not Provided,5.0,buy,15.0
2007-11-06,Soleil Securities,Not Provided,3.0,hold,14.0
2007-11-06,UBS,12 month,3.0,neutral,14.0
2007-11-06,Wells Fargo Securities,Not Provided,3.0,market perform,15.5
2007-11-07,Credit Suisse,12 month,3.0,neutral,16.0
2007-11-07,Raymond James,Not Provided,3.0,market perform,-0.0
2007-12-06,Hilliard Lyons,Not Provided,3.0,neutral,-0.0
2007-12-18,Raymond James,12 month,5.0,outperform,14.0
2007-12-19,UBS,12 month,3.0,neutral,13.5
2007-12-27,EVA Dimensions,Not Provided,1.0,sell,-0.0
2008-01-07,Soleil Securities,Not Provided,5.0,buy,14.0
2008-01-09,Goldman Sachs,Not Provided,3.0,neutral/neutral,12.0
2008-01-25,Raymond James,12 month,5.0,outperform,14.0
2008-01-25,Credit Suisse,12 month,3.0,neutral,16.0
2008-01-28,UBS,12 month,3.0,neutral,11.5
2008-02-11,Hilliard Lyons,12 month,5.0,buy,13.0
2008-02-21,Morgan Stanley,12 month,3.0,Equalwt/In-Line,15.5
2008-02-26,Soleil Securities,Not Provided,5.0,buy,14.0
2008-02-26,Wells Fargo Securities,Not Provided,3.0,market perform,10.5
2008-02-26,Stifel,Not Provided,5.0,buy,15.0
2008-02-26,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2008-02-27,Goldman Sachs,12 month,3.0,neutral/neutral,11.5
2008-02-27,Raymond James,12 month,5.0,outperform,14.0
2008-02-27,Credit Suisse,12 month,3.0,neutral,13.0
2008-02-27,Bear Stearns & Co,Not Provided,3.0,peerperform,-0.0
2008-02-29,Hilliard Lyons,12 month,5.0,buy,13.0
2008-03-27,Raymond James,12 month,5.0,outperform,14.0
2008-04-03,EVA Dimensions,Not Provided,3.0,hold,-0.0
2008-05-02,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2008-05-05,Wells Fargo Securities,Not Provided,3.0,market perform,10.5
2008-05-05,Stifel,Not Provided,5.0,buy,15.0
2008-05-05,Soleil Securities,Not Provided,5.0,buy,14.0
2008-05-05,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2008-05-05,Raymond James,12 month,5.0,outperform,12.0
2008-05-06,Goldman Sachs,12 month,3.0,neutral/neutral,10.5
2008-05-06,Credit Suisse,12 month,3.0,neutral,12.0
2008-05-27,Credit Suisse,12 month,5.0,outperform,12.5
2008-06-02,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2008-06-06,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2008-06-12,Goldman Sachs,12 month,3.0,neutral/neutral,9.5
2008-07-02,UBS,12 month,3.0,neutral,11.5
2008-07-03,Stanford Group,Not Provided,5.0,buy,13.0
2008-07-30,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2008-08-04,Stifel,Not Provided,5.0,buy,15.0
2008-08-05,Stanford Group,Not Provided,5.0,buy,13.0
2008-08-05,UBS,12 month,3.0,neutral,12.0
2008-08-05,Credit Suisse,12 month,5.0,outperform,12.5
2008-08-05,Barclays,Not Provided,5.0,overwt/positive,16.0
2008-08-05,Raymond James,12 month,5.0,outperform,12.5
2008-08-06,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2008-08-06,Hilliard Lyons,12 month,5.0,buy,13.0
2008-08-06,Soleil Securities,Not Provided,5.0,buy,14.0
2008-08-07,Goldman Sachs,18 month,3.0,neutral/neutral,9.5
2008-08-11,EVA Dimensions,Not Provided,3.0,hold,-0.0
2008-08-13,Credit Suisse,12 month,3.0,neutral,12.5
2008-09-24,Barclays,Not Provided,5.0,overwt/positive,16.0
2008-10-01,Stifel,Not Provided,5.0,buy,-0.0
2008-10-06,Stifel,Not Provided,5.0,buy,-0.0
2008-10-07,EVA Dimensions,Not Provided,1.0,sell,-0.0
2008-10-13,Soleil Securities,Not Provided,5.0,buy,14.0
2008-10-13,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,-0.0
2008-10-14,Goldman Sachs,12 month,3.0,neutral/neutral,7.5
2008-10-15,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2008-10-20,Stifel,Not Provided,5.0,buy,-0.0
2008-10-28,UBS,Not Provided,3.0,neutral,8.0
2008-11-10,Stifel,Not Provided,5.0,buy,12.5
2008-11-10,Hilliard Lyons,Not Provided,5.0,buy,11.0
2008-11-10,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2008-11-11,Gabelli & Co,Not Provided,3.0,hold,-0.0
2008-11-11,UBS,12 month,3.0,neutral,7.5
2008-11-11,Stanford Group,Not Provided,5.0,buy,11.0
2008-11-11,Raymond James,Not Provided,5.0,outperform,12.5
2008-11-12,Credit Suisse,Not Provided,3.0,neutral,11.0
2008-11-24,Stifel,Not Provided,5.0,buy,-0.0
2008-12-02,J.P. Morgan,15 month,3.0,neutral,9.0
2008-12-05,Soleil Securities,Not Provided,5.0,buy,13.0
2008-12-08,J.P. Morgan,15 month,3.0,neutral,9.0
2008-12-10,Stifel,Not Provided,5.0,buy,12.5
2008-12-22,EVA Dimensions,Not Provided,1.0,sell,-0.0
2009-01-01,J.P. Morgan,9 month,3.0,neutral,9.0
2009-01-06,UBS,Not Provided,3.0,neutral,8.0
2009-01-16,Stanford Group,Not Provided,5.0,buy,11.0
2009-01-20,Raymond James,Not Provided,5.0,outperform,12.5
2009-01-20,Stifel,Not Provided,5.0,buy,12.5
2009-01-26,Stifel,Not Provided,5.0,buy,12.5
2009-02-02,Stifel,Not Provided,5.0,buy,12.5
2009-02-09,Stifel,Not Provided,5.0,buy,12.5
2009-02-17,Stifel,Not Provided,5.0,buy,12.5
2009-02-18,Hudson Square Research,Not Provided,5.0,buy,-0.0
2009-02-25,Stifel,Not Provided,5.0,buy,12.5
2009-02-25,Hudson Square Research,Not Provided,5.0,buy,11.0
2009-02-26,Gabelli & Co,Not Provided,3.0,hold,-0.0
2009-02-26,Barclays,Not Provided,5.0,overwt/positive,11.0
2009-02-26,Raymond James,Not Provided,5.0,outperform,10.0
2009-02-26,Goldman Sachs,12 month,3.0,neutral/neutral,7.0
2009-02-26,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2009-02-26,Hilliard Lyons,Not Provided,5.0,buy,10.0
2009-03-17,Stifel,Not Provided,5.0,buy,-0.0
2009-03-18,D.A. Davidson & Co,18 month,3.0,neutral,6.5
2009-03-23,Stifel,Not Provided,5.0,buy,-0.0
2009-03-30,Raymond James,Not Provided,5.0,outperform,10.0
2009-03-30,Stifel,Not Provided,5.0,buy,-0.0
2009-04-06,Stifel,Not Provided,5.0,buy,-0.0
2009-04-13,UBS,Not Provided,3.0,neutral,7.5
2009-04-13,Stifel,Not Provided,5.0,buy,-0.0
2009-04-16,D.A. Davidson & Co,Not Provided,3.0,neutral,6.5
2009-04-20,Stifel,Not Provided,5.0,buy,-0.0
2009-04-23,Piper Jaffray,12 month,3.0,neutral,7.0
2009-04-27,Stifel,Not Provided,5.0,buy,-0.0
2009-05-01,UBS,Not Provided,3.0,neutral,7.5
2009-05-07,Stifel,Not Provided,5.0,buy,12.5
2009-05-07,Hilliard Lyons,12 month,5.0,buy,10.0
2009-05-08,D.A. Davidson & Co,Not Provided,3.0,neutral,8.0
2009-05-13,Stifel,12 month,5.0,buy,12.5
2009-05-13,Barclays,Not Provided,-2147483648.0,suspended coverage,-0.0
2009-05-13,J.P. Morgan,Not Provided,-2147483648.0,restricted,-0.0
2009-05-14,Raymond James,Not Provided,5.0,outperform,10.0
2009-05-14,Hilliard Lyons,12 month,5.0,buy,10.0
2009-05-14,UBS,Not Provided,3.0,neutral,7.5
2009-05-14,Gabelli & Co,Not Provided,3.0,hold,-0.0
2009-05-19,Stifel,12 month,5.0,buy,12.5
2009-05-26,Stifel,Not Provided,5.0,buy,-0.0
2009-06-01,Stifel,Not Provided,5.0,buy,-0.0
2009-06-08,Stifel,Not Provided,5.0,buy,-0.0
2009-06-12,Raymond James,Not Provided,5.0,outperform,-0.0
2009-06-15,Stifel,Not Provided,5.0,buy,-0.0
2009-06-22,Stifel,Not Provided,5.0,buy,-0.0
2009-06-24,UBS,Not Provided,3.0,neutral,7.0
2009-06-29,Stifel,Not Provided,5.0,buy,-0.0
2009-07-01,Piper Jaffray,12 month,1.0,underweight,7.0
2009-07-02,D.A. Davidson & Co,Not Provided,3.0,neutral,6.25
2009-07-07,Soleil Securities,12 month,3.0,hold,7.0
2009-07-13,Stifel,Not Provided,5.0,buy,-0.0
2009-07-27,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-03,Soleil Securities,12 month,3.0,hold,7.0
2009-08-03,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-04,Goldman Sachs,12 month,3.0,neutral/neutral,7.5
2009-08-04,Soleil Securities,12 month,3.0,hold,7.0
2009-08-04,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2009-08-04,Stifel,12 month,5.0,buy,12.5
2009-08-04,Hudson Square Research,Not Provided,3.0,hold,-0.0
2009-08-05,Raymond James,Not Provided,5.0,outperform,10.0
2009-08-05,UBS,Not Provided,3.0,neutral,7.0
2009-08-05,Gabelli & Co,Not Provided,3.0,hold,-0.0
2009-08-05,Hilliard Lyons,12 month,5.0,buy,8.5
2009-08-06,D.A. Davidson & Co,Not Provided,3.0,neutral,6.25
2009-08-10,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-12,Raymond James,Not Provided,5.0,outperform,10.0
2009-08-13,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-25,Soleil Securities,12 month,3.0,hold,7.0
2009-09-14,Stifel,12 month,5.0,buy,12.5
2009-09-23,Soleil Securities,12 month,3.0,hold,7.0
2009-10-07,Goldman Sachs,12 month,3.0,neutral/neutral,7.75
2009-10-08,Soleil Securities,12 month,3.0,hold,7.0
2009-10-26,Soleil Securities,12 month,3.0,hold,7.0
2009-10-28,Raymond James,12 month,5.0,outperform,10.0
