Date,Firm Name,Period,Rating,Recommendation,Target Price
2006-08-08,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2007-02-13,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2007-08-01,Credit Suisse,12 month,3.0,neutral,40.6
2007-08-01,FBR Capital Markets,Not Provided,5.0,outperform,56.11
2007-08-01,Bear Stearns & Co,Not Provided,5.0,outperform,38.39
2007-08-02,RBC Capital Markets,Not Provided,1.0,underperform,36.17
2007-08-02,Barclays,Not Provided,3.0,equalwt/neutral,38.39
2007-08-17,Stifel,Not Provided,3.0,hold,-0.0
2007-08-17,Morgan Stanley,Not Provided,1.0,Underwt/In-Line,36.54
2007-09-10,Goldman Sachs,12 month,3.0,neutral/neutral,39.87
2007-09-26,UBS,Not Provided,3.0,neutral,40.6
2007-10-23,Bear Stearns & Co,Not Provided,5.0,outperform,41.34
2007-10-31,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2007-11-01,Stifel,Not Provided,3.0,hold,-0.0
2007-11-01,Morgan Stanley,Not Provided,1.0,Underwt/In-Line,36.54
2007-11-01,RBC Capital Markets,Not Provided,1.0,underperform,36.17
2007-11-01,FBR Capital Markets,Not Provided,5.0,outperform,56.11
2007-11-02,Goldman Sachs,12 month,3.0,neutral/neutral,41.34
2007-11-07,Credit Suisse,12 month,3.0,neutral,40.6
2007-11-09,FBR Capital Markets,Not Provided,5.0,outperform,50.2
2007-11-09,Wells Fargo Securities,Not Provided,3.0,market perform,39.5
2007-11-09,Morgan Stanley,12 month,1.0,Underwt/In-Line,36.54
2007-11-13,RBC Capital Markets,Not Provided,1.0,underperform,36.17
2007-11-26,UBS,12 month,3.0,neutral,36.91
2007-11-27,Goldman Sachs,12 month,5.0,Buy/Cautious,34.7
2007-12-11,Wells Fargo Securities,Not Provided,3.0,market perform,39.5
2007-12-12,Morgan Stanley,12 month,1.0,Underwt/In-Line,31.38
2007-12-12,RBC Capital Markets,Not Provided,1.0,underperform,36.17
2007-12-12,Bear Stearns & Co,Not Provided,5.0,outperform,40.6
2007-12-18,Barclays,Not Provided,3.0,equalwt/neutral,34.7
2008-01-10,Goldman Sachs,12 month,5.0,Buy/Cautious,25.1
2008-01-10,Bear Stearns & Co,Not Provided,5.0,outperform,27.32
2008-01-14,FBR Capital Markets,Not Provided,5.0,outperform,35.44
2008-01-24,UBS,12 month,3.0,neutral,29.53
2008-02-01,Wells Fargo Securities,Not Provided,3.0,market perform,27.68
2008-02-12,RBC Capital Markets,Not Provided,1.0,underperform,36.17
2008-02-12,Stifel,Not Provided,3.0,hold,-0.0
2008-02-13,Goldman Sachs,12 month,5.0,Buy/Cautious,25.84
2008-02-13,Bear Stearns & Co,Not Provided,5.0,outperform,31.01
2008-02-22,Credit Suisse,12 month,3.0,neutral,40.6
2008-03-03,RBC Capital Markets,Not Provided,1.0,underperform,31.75
2008-03-06,Morgan Stanley,12 month,1.0,Underwt/In-Line,29.53
2008-03-11,Goldman Sachs,12 month,3.0,neutral/cautious,21.41
2008-03-25,UBS,12 month,5.0,buy,35.44
2008-03-25,Goldman Sachs,12 month,3.0,neutral/cautious,23.62
2008-03-25,Bear Stearns & Co,Not Provided,5.0,outperform,33.96
2008-03-25,RBC Capital Markets,Not Provided,1.0,underperform,31.75
2008-03-26,Stifel,Not Provided,3.0,hold,-0.0
2008-03-26,Barclays,Not Provided,3.0,equalwt/neutral,33.96
2008-03-26,Wells Fargo Securities,Not Provided,3.0,market perform,27.68
2008-04-03,Credit Suisse,12 month,3.0,neutral,29.53
2008-04-30,Bear Stearns & Co,Not Provided,5.0,outperform,31.01
2008-04-30,Stifel,Not Provided,3.0,hold,-0.0
2008-04-30,RBC Capital Markets,Not Provided,1.0,underperform,31.75
2008-04-30,Wells Fargo Securities,Not Provided,3.0,market perform,31.38
2008-04-30,FBR Capital Markets,Not Provided,5.0,outperform,35.44
2008-05-01,Barclays,Not Provided,3.0,equalwt/neutral,33.22
2008-05-02,UBS,12 month,5.0,buy,36.91
2008-05-06,Stifel,Not Provided,3.0,hold,-0.0
2008-05-13,RBC Capital Markets,Not Provided,1.0,underperform,31.75
2008-06-26,FBR Capital Markets,Not Provided,5.0,outperform,35.44
2008-07-14,FBR Capital Markets,Not Provided,5.0,outperform,35.44
2008-07-18,Goldman Sachs,12 month,3.0,neutral/cautious,20.67
2008-07-24,Barclays,Not Provided,5.0,overwt/neutral,24.36
2008-07-31,RBC Capital Markets,Not Provided,1.0,underperform,31.75
2008-07-31,FBR Capital Markets,Not Provided,3.0,market perform,26.58
2008-07-31,J.P. Morgan,Not Provided,3.0,neutral,-0.0
2008-07-31,Wells Fargo Securities,Not Provided,1.0,underperform,-0.0
2008-07-31,Stifel,Not Provided,3.0,hold,-0.0
2008-08-01,Goldman Sachs,12 month,3.0,neutral/cautious,18.46
2008-08-01,UBS,12 month,5.0,buy,33.22
2008-08-13,RBC Capital Markets,Not Provided,1.0,underperform,22.15
2008-08-14,UBS,12 month,5.0,buy,30.27
2008-09-10,Oscar Gruss & Son Inc,Not Provided,1.0,sell,-0.0
2008-09-18,Wells Fargo Securities,Not Provided,1.0,underperform,-0.0
2008-09-22,Oscar Gruss & Son Inc,Not Provided,1.0,sell,-0.0
2008-09-24,Barclays,Not Provided,5.0,overwt/neutral,24.36
2008-09-26,Barclays,Not Provided,5.0,overwt/neutral,18.46
2008-10-03,UBS,12 month,5.0,buy,16.24
2008-10-03,Goldman Sachs,Not Provided,-2147483648.0,not rated,-0.0
2008-10-03,RBC Capital Markets,Not Provided,5.0,outperform,9.6
2008-10-06,Stifel,Not Provided,3.0,hold,-0.0
2008-10-08,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2008-10-13,Credit Suisse,12 month,3.0,neutral,11.07
2008-10-15,UBS,12 month,5.0,buy,10.34
2008-10-27,RBC Capital Markets,Not Provided,5.0,outperform,9.6
2008-10-28,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2008-11-05,Credit Suisse,Not Provided,3.0,neutral,11.07
2008-11-05,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2008-11-05,RBC Capital Markets,Not Provided,5.0,outperform,9.6
2008-11-06,UBS,12 month,3.0,neutral,1.7
2008-11-12,RBC Capital Markets,Not Provided,5.0,outperform,3.69
2009-02-24,Argus Research Corp,Not Provided,3.0,hold,-0.0
2013-07-30,EVA Dimensions,Not Provided,1.0,underweight,-0.0
2013-09-19,Credit Suisse,Not Provided,3.0,neutral,21.0
2013-10-29,Stifel,12 month,5.0,buy,23.0
2013-10-29,BMO Capital Markets,Not Provided,3.0,market perform,21.0
2013-10-30,RBC Capital Markets,12 month,3.0,sector perform,23.0
2013-10-30,UBS,12 month,5.0,buy,25.0
2013-10-30,"Sandler O'Neill & Partners, LP",Not Provided,3.0,hold,23.0
2013-10-30,Evercore ISI,12 month,3.0,equalweight,23.0
2013-10-31,Goldman Sachs,12 month,3.0,neutral/neutral,22.0
2013-11-04,J.P. Morgan,12 month,3.0,neutral,23.0
2013-11-09,Evercore ISI,Not Provided,5.0,buy,24.0
2013-11-11,Imperial Capital LLC,12 month,3.0,in-line,21.0
2013-11-18,SunTrust Robinson Humphrey,12 month,5.0,buy,23.5
2013-11-26,Barclays,Not Provided,3.0,equalweight,23.0
2013-12-05,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2013-12-09,Janney Montgomery Scott LLC,12 month,3.0,neutral,21.0
2013-12-16,SunTrust Robinson Humphrey,12 month,5.0,buy,23.5
2013-12-17,Evercore ISI,Not Provided,5.0,buy,24.0
2014-01-02,BMO Capital Markets,Not Provided,3.0,market perform,21.0
2014-01-05,Stifel,12 month,5.0,buy,23.0
2014-01-06,Oppenheimer & Co,18 month,5.0,outperform,22.5
2014-01-07,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2014-01-16,S&P Capital IQ,Not Provided,5.0,buy,24.0
2014-01-16,J.P. Morgan,9 month,5.0,overweight,23.0
2014-01-22,Imperial Capital LLC,12 month,3.0,in-line,21.0
2014-01-27,Evercore ISI,Not Provided,5.0,buy,24.0
2014-01-28,Barclays,Not Provided,3.0,equalweight,23.0
2014-02-03,Oppenheimer & Co,12 month,5.0,outperform,22.5
2014-02-03,Stifel,12 month,5.0,buy,23.0
2014-02-03,SunTrust Robinson Humphrey,12 month,5.0,buy,23.5
2014-02-03,J.P. Morgan,9 month,5.0,overweight,23.0
2014-02-04,Evercore ISI,12 month,3.0,equalweight,23.5
2014-02-04,RBC Capital Markets,12 month,3.0,sector perform,23.0
2014-02-04,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2014-02-04,Janney Montgomery Scott LLC,12 month,3.0,neutral,21.0
2014-02-04,Evercore ISI,Not Provided,5.0,buy,24.0
2014-02-04,"Sandler O'Neill & Partners, LP",Not Provided,3.0,hold,23.0
2014-02-04,Credit Suisse,Not Provided,3.0,neutral,21.0
2014-02-05,Imperial Capital LLC,12 month,3.0,in-line,21.0
2014-02-07,J.P. Morgan,9 month,5.0,overweight,23.0
2014-02-11,Oppenheimer & Co,12 month,5.0,outperform,23.0
2014-02-11,Stifel,12 month,5.0,buy,23.0
2014-02-11,Credit Suisse,Not Provided,3.0,neutral,21.0
2014-02-11,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2014-02-11,Evercore ISI,Not Provided,5.0,buy,24.0
2014-02-11,"Sandler O'Neill & Partners, LP",12 month,3.0,hold,22.0
2014-02-14,BMO Capital Markets,Not Provided,3.0,market perform,21.0
2014-02-27,Evercore ISI,12 month,5.0,buy,24.0
2014-02-28,Wells Fargo Securities,Not Provided,3.0,market perform,-0.0
2014-03-10,J.P. Morgan,6 month,5.0,overweight,23.0
2014-03-10,Evercore ISI,Not Provided,5.0,buy,24.0
2014-03-10,Janney Montgomery Scott LLC,12 month,3.0,neutral,21.0
2014-03-12,Barclays,Not Provided,5.0,overweight,26.0
2014-03-13,Stifel,12 month,5.0,buy,23.0
2014-03-14,SunTrust Robinson Humphrey,12 month,5.0,buy,23.5
2014-03-17,Janney Montgomery Scott LLC,12 month,3.0,neutral,21.0
2014-03-17,Evercore ISI,Not Provided,5.0,buy,25.0
2014-03-19,Imperial Capital LLC,12 month,3.0,in-line,21.0
2014-03-24,SunTrust Robinson Humphrey,12 month,5.0,buy,23.5
