Date,Firm Name,Period,Rating,Recommendation,Target Price
2013-05-20,Makor Capital,Not Provided,1.0,sell,80.4
2013-11-21,Dougherty & Company LLC,Not Provided,3.0,neutral,-0.0
2014-01-14,S&P Capital IQ,12 month,1.0,sell,75.0
2014-02-06,Canaccord Genuity,Not Provided,5.0,buy,117.0
2014-02-07,Williams Capital,12 month,5.0,outperform,125.0
2014-02-12,Roth Capital Partners,12 month,5.0,buy,120.0
2014-02-19,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-03-14,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-03-18,Argus Research Corp,Not Provided,3.0,hold,-0.0
2014-03-18,Imperial Capital LLC,12 month,5.0,outperform,130.0
2014-03-18,Stifel,Not Provided,3.0,hold,-0.0
2014-03-20,Janney Montgomery Scott LLC,12 month,5.0,buy,108.0
2014-03-25,SunTrust Robinson Humphrey,12 month,3.0,neutral,115.0
2014-03-25,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-03-25,Buckingham Research Group,12 month,5.0,buy,133.0
2014-03-27,EVA Dimensions,Not Provided,3.0,hold,-0.0
2014-04-03,EVA Dimensions,Not Provided,3.0,hold,-0.0
2014-04-10,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-04-10,Stifel,Not Provided,3.0,hold,-0.0
2014-04-10,Buckingham Research Group,12 month,5.0,buy,133.0
2014-04-10,EVA Dimensions,Not Provided,3.0,hold,-0.0
2014-04-11,Stifel,Not Provided,3.0,hold,-0.0
2014-04-16,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-04-21,Stifel,Not Provided,3.0,hold,-0.0
2014-04-22,Williams Capital,12 month,5.0,outperform,125.0
2014-04-22,SunTrust Robinson Humphrey,12 month,3.0,neutral,115.0
2014-04-22,Buckingham Research Group,12 month,5.0,buy,133.0
2014-04-23,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-04-25,Imperial Capital LLC,12 month,5.0,outperform,130.0
2014-05-02,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-05-02,EVA Dimensions,Not Provided,5.0,overweight,-0.0
2014-05-07,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-05-07,SunTrust Robinson Humphrey,12 month,3.0,neutral,105.0
2014-05-08,Canaccord Genuity,12 month,5.0,buy,117.0
2014-05-08,Roth Capital Partners,12 month,5.0,buy,120.0
2014-05-08,Buckingham Research Group,12 month,5.0,buy,133.0
2014-05-08,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-05-08,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-05-08,Stifel,Not Provided,3.0,hold,-0.0
2014-05-08,Imperial Capital LLC,12 month,5.0,outperform,130.0
2014-05-08,Dougherty & Company LLC,Not Provided,3.0,neutral,-0.0
2014-05-09,EVA Dimensions,Not Provided,3.0,hold,-0.0
2014-05-13,Canaccord Genuity,12 month,5.0,buy,117.0
2014-05-13,Buckingham Research Group,12 month,5.0,buy,133.0
2014-05-13,SunTrust Robinson Humphrey,12 month,3.0,neutral,105.0
2014-05-14,Northcoast Research,12 month,1.0,sell,95.0
2014-05-20,Buckingham Research Group,12 month,5.0,buy,133.0
2014-05-20,SunTrust Robinson Humphrey,12 month,3.0,neutral,105.0
2014-05-22,Roth Capital Partners,12 month,3.0,neutral,120.0
2014-05-31,Williams Capital,12 month,5.0,outperform,125.0
2014-06-10,SunTrust Robinson Humphrey,12 month,3.0,neutral,105.0
2014-06-11,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-06-13,Buckingham Research Group,12 month,5.0,buy,133.0
2014-06-17,SunTrust Robinson Humphrey,12 month,3.0,neutral,105.0
2014-06-18,BTIG LLC,Not Provided,3.0,neutral,-0.0
2014-06-18,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-06-19,Buckingham Research Group,12 month,3.0,neutral,133.0
2014-06-27,Argus Research Corp,Not Provided,5.0,buy,140.0
2014-07-01,Buckingham Research Group,12 month,3.0,neutral,133.0
2014-07-01,BTIG LLC,Not Provided,3.0,neutral,-0.0
2014-07-10,BTIG LLC,Not Provided,3.0,neutral,-0.0
2014-07-15,SunTrust Robinson Humphrey,12 month,3.0,neutral,105.0
2014-07-15,Buckingham Research Group,12 month,3.0,neutral,133.0
2014-07-20,Buckingham Research Group,12 month,3.0,neutral,133.0
2014-07-20,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-07-20,Williams Capital,12 month,5.0,outperform,125.0
2014-07-20,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-07-23,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,105.0
2014-08-04,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-08-06,Stifel,Not Provided,3.0,hold,-0.0
2014-08-06,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-08-06,BTIG LLC,Not Provided,3.0,neutral,-0.0
2014-08-07,Canaccord Genuity,Not Provided,5.0,buy,122.0
2014-08-07,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-08-07,Dougherty & Company LLC,Not Provided,3.0,neutral,-0.0
2014-08-07,Roth Capital Partners,12 month,3.0,neutral,120.0
2014-08-08,Northcoast Research,12 month,1.0,sell,95.0
2014-08-10,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-08-12,Buckingham Research Group,12 month,3.0,neutral,128.0
2014-08-12,SunTrust Robinson Humphrey,12 month,3.0,neutral,115.0
2014-08-14,Stifel,Not Provided,3.0,hold,-0.0
2014-08-14,Buckingham Research Group,12 month,3.0,neutral,109.0
2014-08-15,Argus Research Corp,Not Provided,5.0,buy,140.0
2014-08-19,SunTrust Robinson Humphrey,12 month,3.0,neutral,110.0
2014-08-19,BTIG LLC,Not Provided,3.0,neutral,-0.0
2014-08-21,Williams Capital,12 month,5.0,outperform,131.0
2014-08-22,Canaccord Genuity,Not Provided,5.0,buy,134.0
2014-08-22,Stifel,Not Provided,3.0,hold,-0.0
2014-08-22,Buckingham Research Group,12 month,3.0,neutral,120.0
2014-08-25,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-08-25,SunTrust Robinson Humphrey,12 month,3.0,neutral,110.0
2014-08-26,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-08-27,Northcoast Research,12 month,1.0,sell,95.0
2014-09-03,SunTrust Robinson Humphrey,12 month,3.0,neutral,110.0
2014-09-03,Buckingham Research Group,12 month,3.0,neutral,120.0
2014-09-03,Roth Capital Partners,12 month,3.0,neutral,120.0
2014-09-05,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-09-09,SunTrust Robinson Humphrey,12 month,3.0,neutral,110.0
2014-09-09,Buckingham Research Group,12 month,3.0,neutral,120.0
2014-09-10,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-09-22,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,110.0
2014-09-23,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-09-25,Longbow Research,Not Provided,3.0,neutral,-0.0
2014-09-30,BTIG LLC,Not Provided,3.0,neutral,-0.0
2014-09-30,Stifel,Not Provided,3.0,hold,-0.0
2014-10-03,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-10-07,Goldman Sachs,12 month,5.0,Buy/Neutral,166.0
2014-10-07,Buckingham Research Group,12 month,3.0,neutral,120.0
2014-10-07,SunTrust Robinson Humphrey,12 month,3.0,neutral,110.0
2014-10-13,Buckingham Research Group,Not Provided,3.0,neutral,120.0
2014-10-20,William Blair & Co,Not Provided,5.0,outperform,-0.0
2014-10-21,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,110.0
2014-10-21,KeyBanc Capital Markets,12 month,5.0,buy,150.0
2014-11-03,KeyBanc Capital Markets,12 month,5.0,buy,175.0
2014-11-04,Buckingham Research Group,12 month,3.0,neutral,120.0
2014-11-04,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,110.0
