Date,Firm Name,Period,Rating,Recommendation,Target Price
2008-11-03,Morgan Stanley,Not Provided,3.0,Equalwt/In-Line,-0.0
2009-01-02,EVA Dimensions,Not Provided,1.0,sell,-0.0
2009-02-19,Credit Suisse,Not Provided,5.0,outperform,42.0
2009-02-19,William Blair & Co,Not Provided,3.0,market perform,-0.0
2009-02-19,Stifel,Not Provided,3.0,hold,-0.0
2009-02-20,Goldman Sachs,12 month,3.0,neutral/neutral,32.0
2009-02-20,BB&T Capital Markets,12 month,5.0,buy,37.0
2009-02-20,Gabelli & Co,Not Provided,5.0,buy,-0.0
2009-02-20,J.P. Morgan,9 month,5.0,overweight,39.0
2009-02-20,RBC Capital Markets,Not Provided,5.0,outperform,37.0
2009-02-23,Raymond James,Not Provided,5.0,strong buy,38.0
2009-02-27,Kansas City Capital Associates,Not Provided,5.0,outperform,-0.0
2009-03-02,FBR Capital Markets,12 month,5.0,outperform,38.0
2009-03-05,Rochdale Securities,Not Provided,1.0,sell,18.0
2009-03-18,Baird,12 month,5.0,outperform,40.0
2009-03-19,Sidoti & Company LLC,12 month,5.0,buy,43.0
2009-03-23,UBS,Not Provided,3.0,neutral,38.0
2009-03-31,Bernstein,Not Provided,3.0,market perform,28.0
2009-04-03,Bernstein,12 month,3.0,market perform,28.0
2009-04-15,Bernstein,12 month,3.0,market perform,28.0
2009-04-17,Rochdale Securities,12 month,3.0,hold,36.5
2009-04-22,Raymond James,Not Provided,5.0,strong buy,-0.0
2009-04-22,BB&T Capital Markets,12 month,5.0,buy,45.0
2009-04-22,J.P. Morgan,9 month,5.0,overweight,43.0
2009-04-23,Longbow Research,Not Provided,5.0,buy,45.0
2009-04-29,FBR Capital Markets,12 month,5.0,outperform,42.0
2009-04-30,Raymond James,Not Provided,5.0,strong buy,-0.0
2009-04-30,Stifel,Not Provided,3.0,hold,-0.0
2009-04-30,Bernstein,12 month,3.0,market perform,28.0
2009-04-30,Baird,12 month,5.0,outperform,40.0
2009-04-30,Sidoti & Company LLC,12 month,5.0,buy,50.0
2009-04-30,Credit Suisse,Not Provided,5.0,outperform,45.0
2009-04-30,Rochdale Securities,Not Provided,3.0,hold,36.5
2009-04-30,Longbow Research,Not Provided,5.0,buy,47.0
2009-04-30,RBC Capital Markets,Not Provided,5.0,outperform,37.0
2009-04-30,William Blair & Co,Not Provided,3.0,market perform,-0.0
2009-05-01,Baird,12 month,5.0,outperform,44.0
2009-05-01,Goldman Sachs,12 month,3.0,neutral/neutral,38.0
2009-05-01,FBR Capital Markets,12 month,3.0,market perform,42.0
