Date,Firm Name,Period,Rating,Recommendation,Target Price
2007-10-31,KeyBanc Capital Markets,12 month,5.0,buy,35.0
2008-01-03,Soleil Securities,Not Provided,5.0,buy,34.0
2008-02-12,Soleil Securities,Not Provided,5.0,buy,36.0
2008-02-13,KeyBanc Capital Markets,12 month,5.0,buy,35.0
2008-04-21,KeyBanc Capital Markets,12 month,5.0,buy,35.0
2008-05-08,Soleil Securities,Not Provided,5.0,buy,37.0
2008-05-09,KeyBanc Capital Markets,12 month,5.0,buy,35.0
2008-05-12,Pacific Crest Securities,Not Provided,1.0,underperform,-0.0
2008-06-06,Soleil Securities,Not Provided,5.0,buy,37.0
2008-08-07,Soleil Securities,Not Provided,5.0,buy,39.0
2008-08-08,KeyBanc Capital Markets,12 month,5.0,buy,35.0
2008-08-08,Pacific Crest Securities,Not Provided,1.0,underperform,-0.0
2008-10-06,Soleil Securities,Not Provided,5.0,buy,29.0
2008-10-16,Pacific Crest Securities,Not Provided,3.0,sector perform,-0.0
2008-10-20,KeyBanc Capital Markets,12 month,5.0,buy,25.0
2008-11-04,Soleil Securities,Not Provided,5.0,buy,29.0
2008-11-05,KeyBanc Capital Markets,12 month,5.0,buy,25.0
2008-11-10,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2008-12-29,Soleil Securities,12 month,5.0,buy,24.0
2009-01-07,Soleil Securities,12 month,5.0,buy,24.0
2009-01-22,KeyBanc Capital Markets,12 month,5.0,buy,22.0
2009-01-28,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-02-12,Soleil Securities,12 month,5.0,buy,25.0
2009-02-12,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-02-13,Pacific Crest Securities,Not Provided,3.0,sector perform,-0.0
2009-02-13,KeyBanc Capital Markets,12 month,5.0,buy,22.0
2009-03-18,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-04-03,Thomas Weisel Partners,12 month,1.0,underweight,13.0
2009-04-13,Thomas Weisel Partners,12 month,1.0,underweight,13.0
2009-04-14,KeyBanc Capital Markets,12 month,5.0,buy,22.0
2009-05-07,Thomas Weisel Partners,12 month,3.0,market weight,22.0
2009-05-07,Soleil Securities,Not Provided,5.0,buy,25.0
2009-05-07,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-05-07,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,23.0
2009-05-08,Thomas Weisel Partners,12 month,3.0,market weight,22.0
2009-05-08,KeyBanc Capital Markets,12 month,5.0,buy,26.0
2009-05-22,Merriman Capital,Not Provided,3.0,neutral,-0.0
2009-05-28,Soleil Securities,Not Provided,5.0,buy,25.0
2009-06-02,Soleil Securities,12 month,4.0,Gradually Accumulate,25.0
2009-06-04,Merriman Capital,Not Provided,3.0,neutral,-0.0
2009-06-09,KeyBanc Capital Markets,12 month,5.0,buy,26.0
2009-06-15,Thomas Weisel Partners,12 month,3.0,market weight,22.0
2009-06-24,Thomas Weisel Partners,12 month,3.0,market weight,22.0
2009-06-24,KeyBanc Capital Markets,12 month,5.0,buy,26.0
2009-07-13,KeyBanc Capital Markets,12 month,5.0,buy,26.0
2009-07-13,Merriman Capital,Not Provided,3.0,neutral,-0.0
2009-07-27,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-03,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-03,Merriman Capital,Not Provided,3.0,neutral,-0.0
2009-08-06,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,30.0
2009-08-06,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-08-07,Soleil Securities,Not Provided,4.0,Gradually Accumulate,28.0
2009-08-07,Thomas Weisel Partners,12 month,3.0,market weight,26.0
2009-08-10,Merriman Capital,Not Provided,3.0,neutral,-0.0
2009-08-10,KeyBanc Capital Markets,12 month,5.0,buy,32.0
2009-08-10,EVA Dimensions,Not Provided,5.0,buy,-0.0
2009-08-12,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-08-15,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-21,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-26,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-08-31,Merriman Capital,Not Provided,3.0,neutral,-0.0
2009-09-01,EVA Dimensions,Not Provided,5.0,buy,-0.0
2009-09-08,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,30.0
2009-09-09,Morgan Stanley,Not Provided,3.0,Equalwt/Attractive,-0.0
2009-09-10,Wedbush,12 month,1.0,underperform,22.5
2009-09-15,National Securities,Not Provided,5.0,buy,31.5
2009-09-17,National Securities,Not Provided,5.0,buy,-0.0
2009-09-22,Thomas Weisel Partners,12 month,3.0,market weight,26.0
2009-10-08,National Securities,Not Provided,5.0,buy,-0.0
2009-10-21,Pacific Crest Securities,Not Provided,3.0,sector perform,-0.0
2009-10-22,Soleil Securities,12 month,4.0,Gradually Accumulate,30.0
2009-10-22,Wedbush,12 month,1.0,underperform,22.5
2009-10-23,KeyBanc Capital Markets,12 month,5.0,buy,32.0
2009-11-01,National Securities,12 month,5.0,buy,31.5
2009-11-03,Wedbush,12 month,1.0,underperform,24.5
2009-11-05,Wedbush,12 month,1.0,underperform,24.5
2009-11-05,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-11-05,National Securities,12 month,5.0,buy,32.5
2009-11-05,Soleil Securities,12 month,5.0,buy,32.0
2009-11-05,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-11-06,Merriman Capital,Not Provided,3.0,neutral,-0.0
2009-11-06,KeyBanc Capital Markets,12 month,5.0,buy,32.0
2009-11-06,Thomas Weisel Partners,Not Provided,3.0,market weight,29.0
2009-11-12,Wedbush,12 month,1.0,underperform,24.5
2009-11-18,Oppenheimer & Co,Not Provided,3.0,market perform,-0.0
2009-11-21,EVA Dimensions,Not Provided,5.0,buy,-0.0
2009-12-11,Soleil Securities,12 month,5.0,buy,32.0
2009-12-18,Soleil Securities,12 month,5.0,buy,36.0
2009-12-18,National Securities,12 month,5.0,buy,32.5
2009-12-29,National Securities,12 month,5.0,buy,32.5
2010-01-15,Wedbush,12 month,1.0,underperform,24.5
2010-01-26,Wedbush,Not Provided,1.0,underperform,24.5
