Date,Firm Name,Period,Rating,Recommendation,Target Price
2015-07-10,Jefferies,Not Provided,5.0,buy,40.0
2015-07-28,Goldman Sachs,12 month,5.0,Buy/Neutral,42.0
2015-08-10,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2015-09-25,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2015-09-30,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2015-10-05,Goldman Sachs,12 month,5.0,Buy/Neutral,30.0
2015-10-29,Goldman Sachs,12 month,5.0,Buy/Neutral,33.0
2015-11-05,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-01-07,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-01-14,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-02-08,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-02-09,Goldman Sachs,12 month,5.0,Buy/Neutral,31.0
2016-04-20,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-04-26,Goldman Sachs,12 month,5.0,Buy/Neutral,32.0
2016-05-05,Goldman Sachs,12 month,5.0,Buy/Neutral,35.0
2016-05-05,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-06-28,Goldman Sachs,12 month,5.0,Buy/Neutral,33.0
2016-07-21,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-08-04,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-09-09,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-09-26,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-09-28,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-10-17,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-10-20,Goldman Sachs,12 month,5.0,Buy/Neutral,32.0
2016-11-03,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2016-11-03,Goldman Sachs,12 month,5.0,Buy/Neutral,34.0
2016-12-09,Goldman Sachs,Not Provided,-2147483648.0,not rated,-0.0
2016-12-09,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2017-02-06,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2017-03-19,Evercore ISI,Not Provided,5.0,outperform,35.0
2017-04-13,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
2017-05-01,MoffettNathanson,12 month,5.0,buy,35.0
2017-05-03,MoffettNathanson,12 month,5.0,buy,35.0
2017-05-10,"Morningstar, Inc",Not Provided,5.0,buy,-0.0
