Date,Firm Name,Period,Rating,Recommendation,Target Price
2008-11-03,UBS,Not Provided,5.0,buy,37.0
2013-05-29,Argus Research Corp,Not Provided,3.0,hold,-0.0
2013-06-14,Summer Street Research Partners,12 month,5.0,buy,95.0
2013-07-29,Canaccord Genuity,12 month,5.0,buy,96.0
2013-07-29,Credit Suisse,Not Provided,3.0,neutral,80.0
2013-07-29,Lazard Capital Markets,Not Provided,3.0,neutral,-0.0
2013-07-29,UBS,12 month,3.0,neutral,84.0
2013-07-29,J.P. Morgan,15 month,5.0,overweight,100.0
2013-07-30,Piper Jaffray,12 month,3.0,neutral,87.5
2013-07-30,HC Wainwright & Co LLC,12 month,5.0,buy,105.0
2013-07-30,Janney Montgomery Scott LLC,12 month,5.0,buy,88.0
2013-07-30,Morgan Stanley,12 month,3.0,Equalwt/In-Line,91.0
2013-08-02,EVA Dimensions,Not Provided,5.0,overweight,-0.0
2013-08-26,Cowen,12 month,3.0,market perform,87.94
2013-08-30,Leerink Partners LLC,12 month,5.0,outperform,100.0
2013-09-03,JMP Securities,12 month,4.0,market outperform,115.0
2013-09-03,Baird,12 month,5.0,outperform,88.0
2013-09-03,Oppenheimer & Co,18 month,5.0,outperform,105.0
2013-09-04,Maxim Group LLC,12 month,5.0,buy,88.0
2013-09-12,William Blair & Co,12 month,5.0,outperform,94.0
2013-09-12,Barclays,Not Provided,5.0,overweight,95.0
2013-09-12,S&P Capital IQ,12 month,5.0,buy,104.0
2013-09-17,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2013-09-18,Goldman Sachs,12 month,3.0,neutral/attractive,85.0
2013-09-25,Bernstein,12 month,5.0,outperform,82.0
2013-09-26,Needham & Co,12 month,5.0,buy,95.0
2013-09-26,RBC Capital Markets,12 month,5.0,outperform,95.0
2013-09-26,Evercore ISI,Not Provided,3.0,neutral,91.0
2013-09-30,William Blair & Co,12 month,5.0,outperform,94.0
2013-10-01,HC Wainwright & Co LLC,12 month,5.0,buy,105.0
2013-10-01,JMP Securities,12 month,4.0,market outperform,115.0
2013-10-01,Baird,12 month,5.0,outperform,88.0
2013-10-02,Bernstein,12 month,5.0,outperform,82.0
2013-10-02,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2013-10-02,Maxim Group LLC,12 month,5.0,buy,88.0
2013-10-08,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2013-10-09,Bernstein,12 month,5.0,outperform,82.0
2013-10-09,Argus Research Corp,Not Provided,3.0,hold,-0.0
2013-10-09,Baird,12 month,5.0,outperform,88.0
2013-10-11,J.P. Morgan,12 month,5.0,overweight,100.0
2013-10-14,Bernstein,12 month,5.0,outperform,82.0
2013-10-15,JMP Securities,12 month,4.0,market outperform,115.0
2013-10-15,Oppenheimer & Co,18 month,5.0,outperform,105.0
2013-10-17,Barclays,Not Provided,5.0,overweight,92.0
2013-10-17,Cowen,12 month,3.0,market perform,87.94
2013-10-17,Baird,12 month,5.0,outperform,88.0
2013-10-17,RBC Capital Markets,12 month,5.0,outperform,95.0
2013-10-17,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2013-10-18,Cowen,12 month,3.0,market perform,87.94
2013-10-18,William Blair & Co,12 month,5.0,outperform,94.0
2013-10-21,Barclays,Not Provided,5.0,overweight,92.0
2013-10-21,HC Wainwright & Co LLC,12 month,5.0,buy,105.0
2013-10-21,Goldman Sachs,12 month,3.0,neutral/attractive,83.0
2013-10-21,S&P Capital IQ,Not Provided,5.0,buy,104.0
2013-10-21,JMP Securities,12 month,4.0,market outperform,115.0
2013-10-21,Summer Street Research Partners,12 month,5.0,buy,95.0
2013-10-21,Leerink Partners LLC,12 month,5.0,outperform,100.0
2013-10-21,Oppenheimer & Co,12 month,5.0,outperform,105.0
2013-10-21,Needham & Co,12 month,5.0,buy,95.0
2013-10-21,J.P. Morgan,12 month,5.0,overweight,100.0
