Date,Firm Name,Period,Rating,Recommendation,Target Price
2008-10-16,Portales Partners,Not Provided,3.0,hold,-0.0
2009-08-13,EVA Dimensions,Not Provided,3.0,hold,-0.0
2009-10-27,Credit Suisse,Not Provided,5.0,outperform,22.0
2009-10-28,Jefferies,Not Provided,5.0,buy,21.5
2009-10-28,J.P. Morgan,15 month,5.0,overweight,23.5
2009-10-28,RBC Capital Markets,Not Provided,5.0,top pick,22.25
2009-10-28,Piper Jaffray,12 month,5.0,overweight,24.5
2009-10-28,Barclays,Not Provided,3.0,equalwt/neutral,21.0
2009-10-28,SunTrust Robinson Humphrey,Not Provided,3.0,neutral,-0.0
2009-10-28,Morgan Keegan,Not Provided,5.0,outperform,-0.0
2009-10-28,Goldman Sachs,12 month,5.0,Buy/Neutral,23.5
2009-10-28,Wells Fargo Securities,Not Provided,5.0,outperform,-0.0
2009-11-06,Argus Research Corp,Not Provided,5.0,buy,-0.0
2009-11-13,HSBC,Not Provided,3.0,neutral,22.25
2009-11-17,Raymond James,12 month,5.0,outperform,21.25
2009-11-20,Cowen,Not Provided,5.0,outperform,-0.0
2009-12-02,UBS,Not Provided,5.0,buy,23.25
2009-12-03,Oppenheimer & Co,18 month,5.0,outperform,23.75
2009-12-10,Duncan Williams,12 month,5.0,buy,22.5
2009-12-11,Buckingham Research Group,12 month,4.0,accumulate,25.0
2009-12-14,Susquehanna Financial,Not Provided,4.0,Positive,26.5
2009-12-14,William Blair & Co,Not Provided,5.0,outperform,-0.0
2009-12-14,Edward Jones,Not Provided,3.0,hold,-0.0
2009-12-14,Janney Montgomery Scott LLC,12 month,5.0,buy,23.75
2009-12-14,Baird,12 month,5.0,outperform,25.0
2009-12-15,"Keefe, Bruyette & Woods",Not Provided,5.0,outperform,23.5
2009-12-16,Macquarie,12 month,3.0,neutral,20.75
2009-12-17,Stifel,12 month,5.0,buy,25.0
2009-12-18,Lazard Capital Markets,12 month,5.0,buy,24.5
2009-12-21,Thomas Weisel Partners,12 month,5.0,overweight,25.5
2009-12-31,"Signal Hill Capital Group, LLC",Not Provided,5.0,buy,-0.0
2010-01-04,Oppenheimer & Co,18 month,5.0,outperform,23.75
2010-01-04,Macquarie,12 month,3.0,neutral,20.75
2010-01-05,Barclays,Not Provided,3.0,equalwt/neutral,22.75
2010-01-05,Janney Montgomery Scott LLC,Not Provided,5.0,buy,-0.0
2010-01-05,Duncan Williams,12 month,5.0,buy,22.5
2010-01-05,Buckingham Research Group,12 month,5.0,buy,25.0
2010-01-05,Edward Jones,Not Provided,3.0,hold,-0.0
2010-01-05,RBC Capital Markets,12 month,5.0,outperform,24.25
2010-01-06,Lazard Capital Markets,12 month,5.0,buy,24.5
2010-01-07,Credit Suisse,Not Provided,5.0,outperform,22.0
2010-01-08,J.P. Morgan,12 month,5.0,overweight,27.25
2010-01-10,Goldman Sachs,12 month,5.0,Buy/Neutral,24.75
2010-01-12,Duncan Williams,12 month,5.0,strong buy,25.0
2010-01-12,Baird,12 month,5.0,outperform,25.0
2010-01-14,William Blair & Co,Not Provided,5.0,outperform,-0.0
2010-01-14,"Signal Hill Capital Group, LLC",Not Provided,5.0,buy,-0.0
2010-01-14,Morgan Stanley,Not Provided,5.0,Overwt/In-Line,30.0
2010-01-15,RBC Capital Markets,12 month,5.0,outperform,24.25
2010-01-15,Macquarie,12 month,3.0,neutral,20.75
